 	la	femme	balaye	autour	de	la	case	</S>
o	0.842695	0.0909229	0.0515616	0.00738106	0.00356032	0.0037146	9.97461e-05	6.42402e-05
y	0.287986	0.687781	0.0166774	0.00181397	0.00155012	0.00119276	0.000921591	0.00207724
ú	0.944471	0.0327585	0.0105201	0.00201885	0.00259287	0.00170434	0.00476688	0.00116737
u	0.910321	0.0734936	0.00607995	0.0021216	0.00197046	0.00182796	0.00172776	0.00245745
r	0.484031	0.0320293	0.302047	0.0269518	0.0213112	0.00533171	0.00141029	0.126888
l	0.354429	0.078935	0.33436	0.0646263	0.0347999	0.0212834	0.0100075	0.101559
á	0.187308	0.0305557	0.623641	0.0345814	0.0222631	0.0365584	0.0123472	0.0527459
a	0.116211	0.0181133	0.550315	0.13165	0.0617598	0.036969	0.00445345	0.0805278
b	0.0555304	0.0102667	0.164089	0.458184	0.230321	0.0260337	0.00492388	0.0506517
h	0.0438175	0.00538644	0.115393	0.467293	0.299411	0.0492276	0.00119998	0.0182708
ώ	0.0457414	0.00465756	0.170169	0.543253	0.209843	0.0130999	0.000692633	0.0125434
m	0.0442988	0.00521909	0.320827	0.271964	0.185485	0.102481	0.0106673	0.0590576
b	0.0200103	0.0810939	0.105879	0.428237	0.186483	0.0784961	0.0207598	0.0790416
ώ	0.0121816	0.0156629	0.240438	0.513616	0.158408	0.0408137	0.00465784	0.0142231
i	0.0034337	0.000610817	0.14819	0.486187	0.273434	0.0694315	0.00611334	0.0126001
p	0.00598631	0.000508096	0.0265986	0.1903	0.359119	0.262886	0.0617094	0.0928922
ε	0.0068887	0.000307806	0.016805	0.21444	0.48424	0.0647063	0.0905277	0.122085
l	0.0117588	0.00142836	0.0713192	0.162335	0.339096	0.123395	0.052119	0.238549
έ	0.00210354	0.000356315	0.0420383	0.131795	0.289231	0.0797323	0.0889378	0.365806
m	0.00476107	7.97989e-05	0.0155808	0.0586176	0.174572	0.364677	0.0600123	0.3217
á	0.0319229	0.00119292	0.0446674	0.107278	0.319986	0.230615	0.108792	0.155545
n	0.0159726	0.00189405	0.0275331	0.0272152	0.0460943	0.154695	0.610931	0.115665
d	0.000839969	0.000779681	0.00401941	0.00562796	0.0141774	0.0866901	0.846624	0.0412409
é	0.000996777	0.00203512	0.00201131	0.00167416	0.00504309	0.027994	0.764594	0.195652
e	0.000499486	0.000171778	0.0163147	0.0452442	0.126936	0.116643	0.187129	0.507062
</S>	0.00309832	0.000467233	0.0214491	0.0348938	0.10741	0.140676	0.0248338	0.667171
