 	cette	manière	de	t'	énivrer	te	tuera	un	jour	</S>
e	0.344364	0.376806	0.186947	0.0307726	0.0212708	0.0198169	0.00277887	0.0106517	0.00123677	0.00535487
l	0.0007249	0.000752554	0.000394047	0.0012839	0.00130195	0.0674416	0.790927	0.079491	0.0515787	0.00610453
á	0.000357061	0.000462298	0.000109022	0.00047787	0.000466946	0.00770661	0.936343	0.0241138	0.0194426	0.0105204
n	0.000126225	0.000559066	0.00030506	0.00791869	0.0129146	0.117077	0.533991	0.15638	0.0413836	0.129345
g	0.003759	0.011944	0.00651674	0.0398572	0.0442818	0.412802	0.252459	0.205673	0.00976604	0.0129408
í	0.016788	0.0549069	0.0172851	0.0880723	0.0586321	0.225278	0.126666	0.258068	0.0557267	0.0985765
l	0.00894283	0.00818702	0.0350951	0.0374503	0.0202493	0.0567499	0.0982051	0.372509	0.175877	0.186734
í	0.173901	0.128744	0.0802492	0.0879579	0.0314948	0.0686355	0.0835731	0.0752925	0.0264274	0.243725
y	0.184816	0.0846676	0.180706	0.0996192	0.0687196	0.0434268	0.0499626	0.211293	0.0351951	0.0415936
á	0.319676	0.118855	0.220854	0.0621972	0.0222126	0.0231961	0.0708696	0.0424966	0.0213952	0.098247
a	0.0157601	0.0116106	0.0674956	0.14054	0.227666	0.157247	0.172907	0.127495	0.0303202	0.0489584
l	0.00189099	0.00181973	0.00560246	0.0278501	0.0212723	0.15236	0.464114	0.104691	0.095191	0.125208
ω	0.00343177	0.00171482	0.00228751	0.0206708	0.00938226	0.16138	0.488632	0.0846274	0.188419	0.0394546
i	0.00190787	0.00247829	0.00460114	0.0174378	0.00964825	0.11824	0.371937	0.235187	0.175873	0.0626897
y	0.00390914	0.0037535	0.0861674	0.134092	0.173339	0.154258	0.0686723	0.303872	0.0270436	0.0448933
é	0.0455741	0.0388511	0.0726283	0.22543	0.215217	0.121096	0.0874593	0.0844455	0.0419096	0.0673901
y	0.00623106	0.00465951	0.0716473	0.367342	0.297925	0.0819022	0.0302396	0.0808114	0.0354192	0.0238222
é	0.0565325	0.055093	0.0446317	0.195728	0.132394	0.171312	0.212016	0.0732779	0.0376034	0.0214113
e	0.0151951	0.00785916	0.063913	0.305434	0.247395	0.0783427	0.0682404	0.0926093	0.0290605	0.0919513
s	0.000900296	0.00224698	0.00162208	0.00482774	0.0023937	0.0492085	0.189796	0.149237	0.344803	0.254965
i	0.00113214	0.00526581	0.00195946	0.0122825	0.00442689	0.0433328	0.439101	0.240976	0.106735	0.144789
á	0.00124801	0.00209842	0.00461605	0.00458245	0.00246109	0.0105407	0.0711923	0.267967	0.153132	0.482162
o	0.00551053	0.00409066	0.0661893	0.110696	0.148424	0.111829	0.0324946	0.258314	0.0807774	0.181673
b	0.00160507	0.00517804	0.00178904	0.00188709	0.000547636	0.0112915	0.122246	0.229472	0.499119	0.126865
o	0.000848206	0.00403389	0.00464998	0.00315076	0.000632209	0.00409221	0.0347812	0.20332	0.668946	0.075546
m	0.000191386	0.000275516	0.000825787	0.00131125	0.000433647	0.00170954	0.0290799	0.203175	0.276545	0.486454
á	0.05699	0.0165439	0.0182006	0.00462786	0.00426488	0.00459113	0.00909129	0.343396	0.264084	0.278211
n	0.00891845	0.0087888	0.0393143	0.0407071	0.0493678	0.0417957	0.014914	0.232129	0.105431	0.458633
ω	0.0464015	0.0508547	0.0383712	0.165487	0.0725083	0.114964	0.0226913	0.0705227	0.0485628	0.369638
</S>	0.000899601	0.0027509	0.00345168	0.0184326	0.0204556	0.0449736	0.0473802	0.103189	0.0210182	0.737449
