 	il	marchait	sur	le	bord	de	la	rivière	</S>
w	0.996763	0.000296956	0.000977312	0.00131079	0.000295408	0.000186702	0.000147941	1.94803e-05	2.58168e-06
a	0.992252	0.000199129	0.00176377	0.00386475	6.7875e-05	0.000594435	0.0012111	4.06193e-05	6.39683e-06
á	0.505469	0.425423	0.0353782	0.014712	0.00148379	0.00561529	0.00618522	0.00341932	0.00231389
d	0.145116	0.364992	0.258873	0.0284184	0.0188271	0.0472912	0.0647005	0.0262171	0.0455646
z	0.0210766	0.715823	0.088714	0.0061196	0.00296583	0.0137053	0.00907621	0.00368147	0.138839
a	0.556236	0.43205	0.00805337	0.00115127	0.000302294	0.00051611	0.00025334	0.000267977	0.00116977
l	0.0642637	0.244411	0.0476992	0.0264171	0.0125408	0.0490932	0.0505833	0.0189446	0.486047
á	0.10345	0.0655107	0.142503	0.0829298	0.0296762	0.0782652	0.0488575	0.0189673	0.429841
a	0.513058	0.03828	0.133569	0.092061	0.0623193	0.0458368	0.0276992	0.0104248	0.0767519
b	0.00660234	0.373731	0.54225	0.0163747	0.016493	0.00623888	0.00384427	0.016242	0.0182236
h	0.00235695	0.0314949	0.890416	0.0242713	0.0158567	0.00501206	0.00271832	0.0085228	0.0193514
é	0.000417949	0.0464327	0.90242	0.0165105	0.00947384	0.00391901	0.00209806	0.00436356	0.0143643
m	0.00366473	0.0495078	0.640439	0.0483011	0.0684178	0.0257995	0.0176616	0.0190466	0.127161
b	0.00671595	0.000662012	0.501778	0.33097	0.0656521	0.0420509	0.00767011	0.00200395	0.0424978
á	0.00712921	0.00354307	0.276832	0.275023	0.246072	0.0462659	0.00731754	0.00325044	0.134567
m	0.0137552	0.000817837	0.157338	0.43724	0.231565	0.107999	0.0279773	0.00524782	0.01806
ó	0.00503633	3.80921e-05	0.0602104	0.561062	0.112801	0.124517	0.0472312	0.00468849	0.084416
p	0.000997702	0.000682833	0.052366	0.383312	0.218032	0.184209	0.064097	0.0733813	0.0229216
ε	0.00063256	0.000124183	0.0118078	0.0907176	0.749108	0.0772642	0.013432	0.0414119	0.0155021
l	0.00150618	0.000238322	0.0346412	0.197053	0.456343	0.16025	0.0383101	0.054088	0.0575697
έ	0.000329645	0.000345965	0.0378019	0.0873461	0.439134	0.227209	0.0575352	0.0356513	0.114647
m	0.0020768	0.000155447	0.0128559	0.0758777	0.0514828	0.430222	0.348121	0.0347859	0.0444222
á	0.00304138	9.30574e-05	0.0233228	0.0782007	0.0168504	0.105041	0.195302	0.0377934	0.540355
o	0.0026034	0.000649518	0.00925475	0.0403092	0.014903	0.105471	0.229974	0.56034	0.0364952
k	0.000105792	0.00577048	0.0230129	0.00801794	0.00335971	0.0532149	0.19537	0.672679	0.0384688
y	2.44675e-05	0.00266081	0.047744	0.00743237	0.00885295	0.0320147	0.108765	0.751949	0.0405568
ε	8.18436e-05	0.000207576	0.00712398	0.0134169	0.0358868	0.0590141	0.0541458	0.762694	0.0674287
s	3.10031e-05	6.28374e-05	0.00898757	0.0202096	0.0228147	0.113142	0.193643	0.547247	0.0938615
í	9.29365e-05	0.000209601	0.00727768	0.0366546	0.112519	0.153169	0.0786959	0.195348	0.416033
</S>	0.000582914	5.65567e-05	0.00485205	0.0168037	0.0169824	0.0870966	0.183143	0.173808	0.516675
