 	le	féticheur	confectionna	un	breuvage	</S>
n	0.924404	0.0715706	0.00258484	0.000449812	0.000958839	3.24037e-05
g	0.0769455	0.922908	7.96886e-05	5.51834e-05	6.35685e-06	5.29462e-06
a	0.0112008	0.988474	0.000233647	4.94545e-05	3.87209e-05	3.46527e-06
n	0.160187	0.822095	0.0152497	0.00105787	0.000136713	0.00127366
g	0.422278	0.533265	0.0185654	0.00436997	0.000487976	0.0210344
a	0.0805878	0.586514	0.246389	0.0210959	0.0056057	0.0598076
l	0.202137	0.124922	0.401821	0.172397	0.0128414	0.0858816
á	0.251439	0.175917	0.315392	0.0603666	0.0152746	0.181612
a	0.529772	0.0209511	0.164233	0.182126	0.0282426	0.0746756
b	0.0058778	0.00987358	0.795692	0.154241	0.0102951	0.0240202
ω	0.00206418	6.99418e-05	0.918398	0.0475959	0.015267	0.0166051
n	0.00193773	0.000299821	0.690379	0.165043	0.0244285	0.117912
g	0.0578682	0.00176782	0.361315	0.382228	0.0382709	0.158551
ώ	0.533216	0.00399844	0.100469	0.10468	0.141926	0.115712
b	0.00514979	0.000591817	0.0108144	0.390886	0.522443	0.0701143
v	0.00323225	1.04212e-05	0.0131645	0.0222628	0.926793	0.0345372
e	0.000518797	1.03821e-06	0.00865931	0.0199535	0.958995	0.0118721
r	0.000945516	1.47332e-05	0.00523597	0.0817137	0.534262	0.377828
é	0.00244041	0.000863275	0.00942974	0.221893	0.305447	0.459927
b	0.00321345	0.000126432	0.0501068	0.103833	0.0784487	0.764271
i	0.00952406	9.76762e-05	0.00784296	0.109946	0.727919	0.14467
n	0.00326218	0.000131073	0.0202522	0.0315412	0.409193	0.535621
y	0.00328605	0.000298765	0.032572	0.0729493	0.562677	0.328217
w	0.00399282	0.00087325	0.0374604	0.150506	0.239982	0.567186
á	0.00101606	0.000161995	0.00738122	0.116223	0.143262	0.731956
a	0.000593745	3.96027e-05	0.00151068	0.0217359	0.021247	0.954873
</S>	0.0066487	0.000185684	0.0478451	0.110412	0.071003	0.763906
