 	on	ramasse	les	fruits	de	l'	arbre	obaaré	en	début	de	la	grande	saison	des	pluies	</S>
a	0.69997	0.064139	0.124132	0.051068	0.0133244	0.00414148	0.0232291	0.00456387	0.00330833	0.000818222	0.0027352	0.00225441	0.0013084	0.000614671	0.00397144	0.000392504	2.86326e-05
b	0.0700527	0.105702	0.0966732	0.509272	0.0715121	0.0283222	0.0380779	0.00213543	0.00651835	0.0135262	0.00797947	0.00392301	0.00150142	0.0008098	0.00177582	0.0411741	0.00104446
a	0.00826662	0.0225944	0.0607792	0.790368	0.0370022	0.0191183	0.0349608	0.00264443	0.00281626	0.000746262	0.00282779	0.00235284	0.00261919	0.00184379	0.00238248	0.0050002	0.00367656
a	0.0178884	0.0789433	0.228692	0.396619	0.0781471	0.0525876	0.0382272	0.0159926	0.00670138	0.0119233	0.0108192	0.00628396	0.00399417	0.00242131	0.00198093	0.0109839	0.0377948
r	0.0803918	0.0761746	0.587681	0.108444	0.0643857	0.0186832	0.013051	0.00378777	0.00865548	0.00159591	0.00490156	0.00326803	0.00295889	0.00319608	0.00336668	0.00125072	0.0182076
é	0.100754	0.215613	0.278432	0.0323099	0.0390823	0.0288398	0.00623292	0.111664	0.0406274	0.0430884	0.0112167	0.0157492	0.00719575	0.0149279	0.0147896	0.000983148	0.0384941
b	0.0375499	0.17525	0.484479	0.063881	0.100086	0.0343071	0.0190177	0.0382428	0.0124018	0.00458339	0.00361976	0.00302144	0.00229446	0.00320835	0.00622884	0.000965167	0.010863
á	0.0556366	0.0402534	0.156652	0.286275	0.114129	0.0985029	0.139513	0.0213461	0.0148008	0.00260682	0.0159386	0.00973372	0.015985	0.00672791	0.00549925	0.0117182	0.00468293
a	0.199849	0.0446996	0.335393	0.0504163	0.0520243	0.0447547	0.0324373	0.014702	0.00917624	0.00315022	0.0232683	0.0212097	0.0276021	0.0259463	0.0165317	0.0276828	0.0711568
t	0.00265131	0.0122959	0.0432054	0.171532	0.317316	0.263517	0.0846642	0.0569251	0.0179187	0.00841629	0.00240108	0.00177934	0.00112628	0.00151408	0.00125346	0.00238806	0.0110968
ώ	0.000668924	0.0130356	0.0197614	0.223679	0.166281	0.107467	0.13327	0.0970815	0.0179828	0.0319504	0.0294461	0.0167688	0.0122885	0.0182239	0.00353764	0.0260927	0.0824655
ώ	0.000508085	0.0235672	0.0350446	0.132085	0.142023	0.114499	0.215161	0.171087	0.019762	0.0197886	0.0186407	0.0126619	0.0130255	0.00887764	0.00464367	0.0120617	0.0565639
n	0.00491388	0.00655074	0.083786	0.0148813	0.14134	0.274489	0.248075	0.0882164	0.0854413	0.00625133	0.0109999	0.00764875	0.00649877	0.00679825	0.00780891	0.00115229	0.00514777
g	0.0136601	0.0149982	0.0239041	0.00431293	0.0150534	0.0842449	0.0646279	0.582656	0.0542608	0.0372451	0.0174218	0.0199503	0.0136987	0.016859	0.00858301	0.00176115	0.0267628
ώ	0.0024534	0.00237895	0.0191328	0.00199587	0.0104155	0.0338812	0.0265772	0.791109	0.0262794	0.0513855	0.00806238	0.00638049	0.00499052	0.00410094	0.00307996	0.00195187	0.00582471
m	0.000470876	0.00136443	0.0138459	0.00346949	0.0180163	0.0383759	0.0975915	0.530185	0.114793	0.0728959	0.0322692	0.0189172	0.0156389	0.0117478	0.00926191	0.00307012	0.0180861
ó	0.000957789	0.000231235	0.00187863	0.0038561	0.00886328	0.0328605	0.0664703	0.0295063	0.23774	0.0422821	0.119625	0.145135	0.132323	0.0723844	0.0230599	0.00670428	0.076122
o	0.000842026	0.000400574	0.00446483	0.00696891	0.014945	0.027804	0.0725476	0.0572103	0.329711	0.313697	0.0718681	0.0297957	0.021686	0.0141343	0.00678059	0.0119813	0.0151628
n	0.000588717	0.00200474	0.00580335	0.00802079	0.0129326	0.0289312	0.0827039	0.117778	0.180741	0.446175	0.0494347	0.0161906	0.0106668	0.00795233	0.00342336	0.0170307	0.0096222
d	0.000410847	0.000784925	0.000766216	0.000382968	0.00180568	0.00709617	0.00339293	0.0716841	0.069452	0.804555	0.0124953	0.00789133	0.00320613	0.00353026	0.00102623	0.000863821	0.010656
i	3.39961e-05	0.000486931	0.000411337	0.00109536	0.0020565	0.00625872	0.00442662	0.183848	0.0475247	0.645846	0.0433465	0.0238499	0.0134791	0.0103406	0.00197953	0.00334217	0.0116738
e	2.40437e-05	0.000273411	0.000498099	0.000480146	0.00449326	0.014849	0.0067162	0.0491418	0.0652961	0.483725	0.108182	0.104149	0.0451867	0.0592082	0.0139396	0.00479905	0.0390377
m	0.00013788	0.000304285	0.00204663	0.00102359	0.00593186	0.0112521	0.00974986	0.0178529	0.154506	0.0955611	0.258404	0.161345	0.111999	0.0860912	0.0627243	0.00819781	0.0128726
ó	0.000946923	0.000206398	0.00370478	0.00157024	0.00605757	0.00662628	0.00611067	0.00333475	0.101091	0.0595946	0.0886219	0.137167	0.108473	0.113641	0.101351	0.0337754	0.227728
ó	0.00138289	0.000942712	0.00982587	0.00394939	0.00616233	0.00527237	0.0149685	0.0150164	0.0472456	0.0981666	0.0999421	0.101252	0.109705	0.0665925	0.071207	0.328522	0.0198466
t	0.000422394	0.00272724	0.0119281	0.00998167	0.0112804	0.0157703	0.033914	0.025313	0.0323613	0.148494	0.041953	0.0555381	0.0435109	0.0469305	0.0975928	0.386231	0.0360514
u	4.68401e-05	0.00199518	0.00168534	0.00537872	0.00424813	0.00584528	0.0121866	0.00667701	0.0106219	0.070327	0.0475033	0.051894	0.0356826	0.0491741	0.0302162	0.540449	0.126068
