 	j'	ai	attrapé	un	grillon	oeuvé	</S>
n	0.756463	0.235763	0.000182899	0.00359387	0.0013483	0.00191217	0.000736855
g	0.992508	0.00689062	1.88162e-07	0.00024919	0.000306353	3.58954e-05	9.51224e-06
á	0.856732	0.130018	0.000369475	0.00371907	0.00811236	0.000925673	0.000123565
í	0.163788	0.521538	0.014983	0.073523	0.0694386	0.0300445	0.126685
p	0.0373098	0.413543	0.496936	0.0172795	0.00997242	0.00285194	0.0221071
i	0.00025273	0.0362381	0.933714	0.00703249	0.00695484	0.00859333	0.00721404
i	0.00599685	0.0724091	0.724628	0.138254	0.042891	0.0128295	0.0029923
y	0.054787	0.112243	0.0461079	0.44572	0.155316	0.0546011	0.131224
w	0.00182808	0.00923983	0.298009	0.0835677	0.443115	0.0502589	0.113982
ω	0.00194625	0.00577374	0.0781472	0.104402	0.678914	0.0380482	0.0927682
ω	0.000245888	0.00215839	0.0367343	0.264792	0.352742	0.195978	0.14735
y	0.000126359	0.00115576	0.00477623	0.485186	0.228466	0.113941	0.16635
i	0.00238322	0.00885388	0.0787669	0.0802702	0.289417	0.331589	0.20872
l	0.00302296	0.00401012	0.00298442	0.0586938	0.174399	0.478083	0.278807
a	0.000758634	0.00173114	0.00490037	0.0371269	0.06878	0.556692	0.330011
k	7.70952e-05	0.000327979	0.00296857	0.033585	0.0869282	0.766487	0.109626
y	1.81674e-05	0.000195075	0.00236033	0.0139176	0.0128234	0.910393	0.060293
ε	1.58721e-05	0.000215136	0.0111633	0.0521489	0.080652	0.740244	0.115561
</S>	5.90724e-06	8.27961e-05	0.00115235	0.0921818	0.194656	0.380407	0.331515
