 	le	féticheur	lui	a	soigné	sa	brûlure	</S>
n	0.682245	0.262794	0.0315077	0.00952289	0.00694318	0.00658306	0.000221787	0.000182753
g	0.100572	0.876617	0.00321056	0.00111231	0.0176043	0.00076458	0.000107435	1.19457e-05
a	0.00802495	0.983856	0.000869111	0.000313242	0.00620364	0.00012365	0.000585525	2.44776e-05
n	0.0704264	0.861472	0.0110997	0.00376661	0.0395329	0.00116363	0.00318069	0.009358
g	0.165412	0.702647	0.0384896	0.00844729	0.0148381	0.00712079	0.00297755	0.0600683
a	0.225991	0.645542	0.0613539	0.0140283	0.020132	0.00446687	0.00500315	0.0234829
l	0.153266	0.0733075	0.510168	0.139618	0.0699859	0.0338815	0.00340545	0.0163682
á	0.147726	0.117184	0.224441	0.0780088	0.130405	0.0561485	0.035287	0.210801
a	0.493758	0.0259307	0.212569	0.155165	0.0318038	0.0491574	0.00908142	0.0225338
y	0.0087458	0.023436	0.270583	0.454661	0.0914409	0.0126864	0.0187456	0.119701
w	0.0280741	0.0360976	0.156319	0.38318	0.163741	0.0126581	0.0598837	0.160046
ω	0.0569948	0.00109804	0.246979	0.370037	0.0327127	0.0554527	0.020232	0.216494
ω	0.00184566	0.00494489	0.252888	0.605456	0.0588268	0.0299479	0.00171705	0.0443739
s	0.00232233	0.000784643	0.133488	0.458183	0.240889	0.143438	0.00431279	0.0165822
ώ	0.00538883	0.000972399	0.123875	0.339983	0.33423	0.0812009	0.0056953	0.108655
w	0.00189799	0.000838089	0.0769101	0.201428	0.307643	0.195196	0.0820962	0.133992
a	0.0282597	0.00476564	0.236977	0.422331	0.0904528	0.186169	0.0093856	0.0216592
m	0.00324922	0.000744364	0.0339486	0.118596	0.293117	0.440317	0.0295971	0.0804319
ó	0.0160002	0.0011164	0.0172371	0.0345376	0.0721354	0.345477	0.218982	0.294515
m	0.00474668	0.00303902	0.00957605	0.0638103	0.141136	0.405595	0.326777	0.0453206
í	0.000848995	0.000210827	0.00222128	0.00639772	0.0213216	0.075875	0.817565	0.0755597
á	0.00114222	0.000460823	0.0146714	0.0358697	0.062327	0.255032	0.543146	0.0873508
m	0.000457914	7.15834e-05	0.00933773	0.0146175	0.0377232	0.201831	0.1533	0.582661
í	0.0026029	0.000533235	0.0114856	0.0232837	0.0226986	0.500703	0.281845	0.156848
í	0.00104256	0.000665006	0.00645187	0.0125017	0.0377736	0.196032	0.499116	0.246417
b	0.00185259	0.000470042	0.0102282	0.034349	0.0979022	0.167845	0.202837	0.484516
o	0.003533	0.000937455	0.0338608	0.152301	0.062948	0.495199	0.0537296	0.197491
n	0.0011825	0.00017446	0.00534357	0.0323307	0.0830324	0.284843	0.094749	0.498344
g	0.0167767	0.00303296	0.0277264	0.0429626	0.0449687	0.291307	0.0352547	0.537971
í	0.00905926	0.0302268	0.0193804	0.0168787	0.148653	0.165624	0.0419102	0.568268
w	0.00738232	0.000411976	0.0174716	0.0254967	0.0233753	0.532268	0.0198863	0.373708
a	0.0145375	0.00100105	0.0236509	0.044609	0.0177609	0.545435	0.0224734	0.330532
</S>	0.00786879	0.000615889	0.00463844	0.0140855	0.0476841	0.361949	0.129187	0.433971
