 	dans	ce	village	que	tu	sois	pauvre	ou	riche	on	t'	enterre	avec	un	drap	blanc	</S>
s	0.33409	0.404277	0.171335	0.0757039	0.00599108	0.00092199	6.27738e-05	0.00287374	0.00129446	0.00131294	0.00100459	0.000367642	0.000324847	0.000187179	0.000138405	9.22784e-05	2.18577e-05
á	0.102597	0.474664	0.22272	0.0293223	0.0860047	0.0026394	0.000526715	0.0125338	0.0312064	0.00315436	0.025411	0.00123769	0.00200963	0.00248011	0.000300745	0.000842736	0.00234931
p	0.0218538	0.104943	0.82623	0.00737708	0.0155279	0.00366757	0.00086799	0.00246567	0.0133329	0.000526887	0.00244549	0.00032145	8.70567e-05	9.58803e-05	0.000122292	4.30489e-05	9.14922e-05
o	0.00196281	0.00423238	0.951903	0.00467451	0.000446191	0.000880585	0.0045968	0.00374771	0.00734573	0.00339494	0.000519051	0.00419315	0.00155624	0.000592897	0.00245205	0.00284534	0.00465693
o	0.00564226	0.0243094	0.94729	0.0166824	0.000451283	0.000532425	0.00197477	0.000742566	5.91963e-05	0.000307212	0.000223798	0.000868395	0.000158446	0.00010386	0.000197197	9.50544e-05	0.000361401
b	0.372942	0.363803	0.012843	0.188181	0.0173768	0.00275699	0.00170805	0.00649849	0.000643931	0.0055696	0.00328153	0.00333022	0.00419796	0.00369721	0.00175069	0.000985175	0.0104346
h	0.109539	0.119168	0.0272486	0.431191	0.0275441	0.00729753	0.00740207	0.0325673	0.007635	0.060792	0.0124203	0.0408965	0.0270195	0.0186825	0.00488451	0.0180279	0.0476834
á	0.207402	0.161397	0.0813243	0.270001	0.0169942	0.0125305	0.00730551	0.0223267	0.00974018	0.0361688	0.0117683	0.0344831	0.0131262	0.011952	0.00690203	0.00537748	0.0912004
o	0.108891	0.151407	0.0287232	0.531417	0.0767452	0.0251918	0.00519684	0.00878269	0.0044996	0.0108362	0.00666453	0.00401381	0.00463434	0.0046229	0.00110807	0.00219332	0.0250727
d	0.0222739	0.010704	0.0245488	0.31776	0.126924	0.319733	0.136697	0.00674719	0.00333845	0.00559444	0.00252134	0.00955763	0.00250957	0.00133024	0.00484144	0.000772362	0.00414701
z	0.00912549	0.0021534	0.00205313	0.11082	0.0265959	0.5053	0.277739	0.00774612	0.00228474	0.00273624	0.00252901	0.0141004	0.00278001	0.00181805	0.00483128	0.00108116	0.0263063
a	0.00668277	0.00837344	0.0144196	0.0598831	0.0312405	0.663427	0.198916	0.00265775	0.00861366	0.000723969	0.000237138	0.00226721	0.000147752	8.4717e-05	0.000621913	8.87061e-05	0.00161476
e	0.0147902	0.0112828	0.0026074	0.288943	0.122694	0.290955	0.116952	0.0236345	0.00759242	0.0151859	0.00778633	0.0115343	0.00695649	0.007796	0.00809765	0.00601649	0.057176
y	0.0245314	0.0134144	0.00205626	0.330906	0.211005	0.225784	0.0433629	0.0254968	0.00526795	0.0188854	0.0056216	0.0235133	0.00864301	0.00454674	0.00620617	0.00328414	0.0474748
o	0.00961566	0.0118796	0.00201163	0.103891	0.227655	0.10129	0.369769	0.0621463	0.00780273	0.00904187	0.0225028	0.00969169	0.00874593	0.00842712	0.00496352	0.00204359	0.0385225
ó	0.000807922	0.000964274	0.00137268	0.0245853	0.032419	0.0361844	0.647074	0.0594368	0.00293423	0.00710718	0.0162437	0.0241662	0.0125271	0.0075923	0.0248939	0.0058777	0.0958134
ó	0.00342337	0.00230457	0.000414391	0.109423	0.116264	0.0977679	0.395743	0.101495	0.00492225	0.0509995	0.0138695	0.013043	0.0147176	0.00911358	0.00655266	0.00789467	0.0520519
