 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
o	0.676623	0.235892	0.0363301	0.0273443	0.0153977	0.00215649	0.00219348	0.00200861	0.0015975	0.000324905	0.000132489
k	0.0427182	0.790793	0.0132571	0.142627	0.00107401	0.000494228	0.000605768	0.000716311	0.000867872	0.0049871	0.00185967
o	0.011063	0.693512	0.00545847	0.271071	0.00124501	0.00130423	0.00189653	0.00275653	0.00143604	0.0074233	0.00283326
n	0.0103741	0.64767	0.025751	0.28946	0.00454077	0.0019236	0.00482251	0.00329548	0.0032345	0.00533503	0.00359323
d	0.0917084	0.634261	0.0206142	0.225411	0.00455949	0.00402017	0.00440089	0.00305202	0.00117057	0.00625631	0.00454582
z	0.133946	0.767055	0.0111464	0.0792628	0.00181838	0.00206285	0.00102991	0.000801438	0.000149032	0.00021926	0.00250828
i	0.158405	0.678369	0.0112551	0.109381	0.00238977	0.00530913	0.00191269	0.00381258	0.00047135	0.00114076	0.0275535
y	0.0565427	0.0279957	0.743458	0.0804569	0.0615096	0.0139564	0.00555202	0.00276693	0.00269555	0.000255386	0.00481045
a	0.218526	0.0127092	0.184033	0.427998	0.0991073	0.014688	0.0145982	0.00506188	0.00670549	0.00387689	0.0126958
p	0.027379	0.00314	0.0978178	0.815426	0.0428106	0.00512462	0.00384839	0.00107772	0.00191363	0.000543175	0.000918777
o	0.00196632	0.00114828	0.0124153	0.950416	0.0174316	0.0130526	0.00161482	0.00075315	0.000155614	0.000506713	0.000539408
o	0.00337612	0.000259215	0.0059674	0.962129	0.0222752	0.00453426	0.000973775	0.000162042	5.66433e-05	6.07612e-05	0.000205541
á	0.00763262	0.0011767	0.183333	0.0379858	0.605204	0.078286	0.0581607	0.0113375	0.00849306	0.000640932	0.00775039
m	0.00582278	0.00602347	0.0650467	0.00787876	0.133943	0.339694	0.286866	0.0796561	0.0319047	0.00741803	0.0357467
i	0.00431791	0.000384229	0.0186002	0.00208615	0.124068	0.201774	0.361999	0.100005	0.110517	0.0195648	0.0566823
b	0.00558913	0.00884967	0.0140563	0.0293227	0.0653756	0.439092	0.275677	0.0695762	0.0291288	0.0210705	0.0422621
é	0.00111377	0.002942	0.0121548	0.00191068	0.0245909	0.575269	0.204456	0.0777583	0.0413997	0.013129	0.0452764
á	0.000807468	0.000708968	0.008472	0.0206686	0.0265099	0.550368	0.16381	0.0957336	0.0276912	0.0222423	0.0829879
a	0.00265561	0.000508773	0.0165686	0.00416669	0.0395985	0.106755	0.21482	0.262809	0.27957	0.0376905	0.034857
k	0.00225173	0.00120712	0.00567744	0.00258108	0.00573207	0.0723496	0.167539	0.356462	0.100917	0.223477	0.0618064
á	0.00118476	0.00212412	0.00412095	0.0019403	0.00223119	0.0821689	0.0976347	0.420927	0.0449379	0.270889	0.0718412
n	0.000638263	0.00015735	0.00142086	0.00310413	0.0042764	0.198265	0.113123	0.34332	0.0319805	0.0884375	0.215277
i	0.000601415	0.0035561	0.00496774	0.0046426	0.0121996	0.114065	0.187038	0.417007	0.0763194	0.0399138	0.139689
e	0.000921382	0.000184619	0.0114035	0.00120016	0.023261	0.0257797	0.11673	0.297419	0.315453	0.0722421	0.135406
y	0.00382349	0.00107624	0.0110791	0.00242881	0.00519136	0.00776673	0.0470011	0.289217	0.221759	0.246862	0.163796
ú	0.000474885	0.000198214	0.00722169	0.00355085	0.00189116	0.00322377	0.0653085	0.211685	0.158375	0.393477	0.154593
m	0.000254658	2.46474e-05	0.00125679	0.000781724	0.00239362	0.00129477	0.0538223	0.0861496	0.199501	0.36636	0.288161
b	0.000604253	2.76697e-05	0.0016989	0.000987079	0.00969308	0.00760243	0.096854	0.14285	0.204344	0.419532	0.115807
u	0.00587918	0.000106915	0.00212173	0.000560643	0.00655492	0.00720368	0.121651	0.139851	0.10403	0.435181	0.17686
</S>	0.000389465	7.64152e-05	0.00148824	0.000498061	0.00237991	0.000784672	0.0257672	0.0908693	0.200056	0.177691	0.5
