 	le	bourdon	fait	du	bruit	dans	le	bois	</S>
i	0.45697	0.311975	0.099681	0.0222153	0.0303548	0.0510453	0.0241095	0.00248581	0.00116371
b	0.235105	0.339263	0.0969994	0.0482963	0.105781	0.102369	0.0462599	0.011464	0.0144627
h	0.0266275	0.578737	0.191088	0.0483576	0.0951714	0.00907329	0.0101682	0.0377594	0.00301816
a	0.0364176	0.662583	0.121134	0.0405324	0.106009	0.0118366	0.00593692	0.00928683	0.00626331
n	0.151705	0.788156	0.0365781	0.00710562	0.00882505	0.00197576	0.00192616	0.000809763	0.00291855
d	0.311284	0.435054	0.0900873	0.0355471	0.0440082	0.0208159	0.00722613	0.00259596	0.0533812
o	0.180824	0.503903	0.0606427	0.0467397	0.0500109	0.00701477	0.00176358	0.0013368	0.147765
l	0.166589	0.097546	0.487294	0.135855	0.0610551	0.0240395	0.00870871	0.00151617	0.0173967
í	0.501203	0.0691161	0.165862	0.104392	0.0333856	0.0368576	0.0178294	0.00433333	0.0670206
i	0.488201	0.0737418	0.1407	0.170873	0.0755057	0.0228976	0.0105683	0.0022965	0.0152163
k	0.0232191	0.0204039	0.245098	0.36289	0.295074	0.0201573	0.00619273	0.00640427	0.0205601
y	0.0104911	0.0212191	0.210864	0.228706	0.496469	0.0115389	0.00437045	0.00661215	0.00972873
á	0.042488	0.0333243	0.0966923	0.213313	0.481345	0.0426436	0.0198463	0.027084	0.0432632
l	0.00877967	0.0113974	0.0997155	0.293943	0.283546	0.177797	0.0435478	0.0221857	0.0590877
o	0.00884293	0.00439706	0.0334429	0.228021	0.490925	0.0968231	0.048869	0.0397433	0.0489356
b	0.0129181	0.00458862	0.035642	0.121687	0.431647	0.108282	0.103924	0.138668	0.0426431
h	0.0289047	0.00699851	0.0284118	0.130003	0.471206	0.035559	0.0318953	0.226484	0.0405383
ó	0.0121781	0.0324958	0.0869043	0.0853025	0.436245	0.0461611	0.0387644	0.106925	0.155024
s	0.00831643	0.00416354	0.040787	0.0636038	0.114489	0.239322	0.247803	0.143435	0.138079
í	0.0320045	0.00934016	0.0217428	0.0828353	0.142001	0.0800331	0.145443	0.251524	0.235076
b	0.00878478	0.00312932	0.00717956	0.0154548	0.0207962	0.0734895	0.204832	0.571462	0.0948716
v	0.00675611	0.00755547	0.016405	0.0366148	0.0582409	0.0310286	0.0812454	0.741603	0.0205503
ú	0.00471336	0.0025074	0.00387869	0.0108761	0.0320002	0.0158463	0.065061	0.829232	0.0358851
a	0.0117897	0.00218868	0.00134416	0.0127199	0.0415609	0.0469291	0.160034	0.610621	0.112813
</S>	0.00352586	0.000728468	0.00623919	0.00998453	0.00492197	0.100466	0.230054	0.0659651	0.578115
