 	c'	est	un	bon	remède	pour	les	maux	de	ventre	</S>
é	0.430622	0.109605	0.0611247	0.0990469	0.0519278	0.0915402	0.0526003	0.0626082	0.026076	0.00711259	0.00773572
d	0.158469	0.628461	0.0611418	0.0343796	0.0186889	0.0219725	0.0273365	0.0150977	0.0254719	0.0056314	0.00335075
í	0.022754	0.69968	0.118848	0.0372584	0.0267787	0.0162184	0.0232879	0.00793198	0.0145127	0.00731407	0.0254155
ω	0.0285282	0.207286	0.187504	0.153017	0.0813448	0.0394002	0.0347887	0.0380679	0.0569238	0.0520013	0.121138
n	0.00641929	0.0427341	0.196004	0.377712	0.147317	0.0727274	0.0383365	0.0225326	0.0300993	0.0387214	0.0273961
g	0.00771721	0.0474714	0.11853	0.0807607	0.0811617	0.085012	0.0862915	0.0546249	0.0609872	0.0959074	0.281536
a	0.0258472	0.158568	0.324336	0.0704538	0.148286	0.0284449	0.0310074	0.0290398	0.0259714	0.0697307	0.0883152
n	0.0100485	0.029749	0.0888644	0.0403479	0.173449	0.0842397	0.113424	0.0498016	0.101808	0.125941	0.182326
g	0.0232562	0.0383339	0.183441	0.112738	0.150147	0.130934	0.135716	0.0345906	0.0466669	0.0396872	0.104489
a	0.146682	0.0455668	0.115785	0.0741222	0.27088	0.119267	0.0501539	0.0377919	0.0113117	0.0647515	0.0636879
ω	0.0138912	0.00821018	0.0575581	0.083496	0.167564	0.135612	0.173986	0.1488	0.144933	0.0208218	0.0451276
b	0.00341179	0.0113603	0.0157223	0.0354129	0.0797613	0.110321	0.21361	0.147766	0.296792	0.0473869	0.0384552
v	0.000983308	0.00778845	0.0221705	0.10905	0.0859929	0.123245	0.172751	0.198809	0.137441	0.107768	0.0340008
έ	0.00114504	0.001353	0.0152795	0.160145	0.0805937	0.19231	0.146932	0.238639	0.065227	0.0757464	0.0226298
m	0.00162442	0.00153399	0.0244308	0.0494856	0.0727662	0.093753	0.13176	0.139534	0.214812	0.0806117	0.189689
ó	0.0116249	0.00674028	0.0333315	0.0273011	0.109931	0.148753	0.13433	0.0476795	0.145448	0.0497532	0.285107
i	0.00572883	0.0048927	0.0121759	0.0251869	0.103004	0.0986959	0.144685	0.119454	0.282969	0.161907	0.041301
f	0.00142029	0.00446039	0.00909651	0.0130156	0.0136977	0.0212533	0.051625	0.0768838	0.224457	0.48437	0.0997195
ú	0.000792556	0.0065735	0.016509	0.048659	0.0286148	0.0433978	0.112988	0.159526	0.182794	0.362564	0.0375805
n	8.18116e-05	0.000291196	0.0024976	0.00672809	0.0245099	0.0160515	0.0505076	0.0663034	0.134694	0.508159	0.190175
d	0.00187485	0.000729722	0.00638296	0.0129221	0.0524567	0.0584149	0.105325	0.0567908	0.136677	0.501298	0.0671281
ú	0.00558848	0.00157307	0.0157245	0.0213925	0.128283	0.0859345	0.148362	0.0948963	0.154807	0.243642	0.0997975
b	0.00473205	0.00133319	0.00670912	0.0101179	0.0425707	0.0228927	0.0433731	0.166749	0.239546	0.240208	0.221768
v	0.000475163	0.000432557	0.00193888	0.0217207	0.0407986	0.0566303	0.0972866	0.456759	0.184488	0.0886656	0.050804
ú	0.00169362	0.00031881	0.00451393	0.0157176	0.0511009	0.0155398	0.0317781	0.244603	0.173572	0.393667	0.0674945
a	7.83982e-05	0.000290812	0.00264606	0.00606977	0.0159066	0.0118101	0.0454634	0.0893233	0.231505	0.32515	0.271756
</S>	0.00131863	0.00155628	0.0162436	0.0194888	0.0221962	0.0224442	0.0359443	0.0962203	0.301703	0.172901	0.309983
