 	on	arrache	les	arachides	</S>
l	0.967702	0.0254528	0.00572851	0.000907614	0.000209064
é	0.801385	0.0691991	0.0839493	0.0283957	0.0170708
e	0.556984	0.157956	0.0578111	0.150944	0.0763045
b	0.0517709	0.706216	0.0629969	0.012116	0.1669
í	0.00765156	0.96215	0.0177465	0.000610596	0.0118411
l	0.0453555	0.564925	0.0739883	0.00571635	0.310015
á	0.104318	0.535032	0.274552	0.00885146	0.0772468
n	0.139492	0.0303086	0.315367	0.46736	0.0474721
d	0.0442797	0.0166533	0.109719	0.791175	0.0381734
z	0.00259362	0.00147094	0.00740758	0.981746	0.00678145
o	0.00908301	0.00807847	0.0207853	0.950341	0.0117119
ó	0.00682167	0.0121832	0.020203	0.394877	0.565915
</S>	0.0229331	0.0849593	0.267889	0.0777962	0.546423
