 	cette	sauterelle	est	différente	des	autres	</S>
m	0.584261	0.369903	0.0323193	0.00302033	0.00435131	0.00601346	0.000132122
b	0.101172	0.890081	0.00511811	0.000677753	0.000583389	0.000356114	0.00201234
á	0.00437163	0.994491	0.00048748	0.000136144	3.07256e-05	0.000448629	3.46752e-05
s	0.0220786	0.975414	0.000630175	0.000121955	3.46533e-05	0.000613136	0.00110793
i	0.572058	0.320364	0.0437241	0.013266	0.00246064	0.000831468	0.0472957
w	0.487323	0.0567135	0.372114	0.0235182	0.0209697	0.00314046	0.0362214
ó	0.310275	0.0156672	0.27821	0.104711	0.0828853	0.0218398	0.186411
a	0.0810991	0.00352799	0.511551	0.0642541	0.0364284	0.0029562	0.300183
d	0.0492514	0.00664977	0.602146	0.0942233	0.0755857	0.0129404	0.159203
i	0.078168	0.0394838	0.369124	0.111486	0.0743857	0.00682408	0.320528
p	0.167373	0.0665219	0.279231	0.191028	0.209054	0.0196859	0.0671067
é	0.0042398	0.0102177	0.072535	0.887386	0.00895394	0.00311736	0.0135498
r	0.000900555	0.00139792	0.0571438	0.861558	0.0276142	0.00609474	0.0452905
é	0.0677228	0.0276652	0.173094	0.603072	0.0545922	0.00679089	0.0670628
n	0.0635021	0.00352392	0.192923	0.405299	0.28389	0.0189803	0.0318819
á	0.0404141	0.0302755	0.121965	0.587189	0.0935838	0.0296191	0.0969532
l	0.00588858	0.00117971	0.0369094	0.524976	0.33944	0.0628104	0.0287963
a	0.00209554	0.00246654	0.0317283	0.604808	0.143059	0.0513928	0.16445
a	0.00627674	0.00174957	0.0179885	0.492396	0.259474	0.122956	0.0991581
m	0.00851673	0.000852539	0.0188777	0.209855	0.380245	0.180283	0.201369
b	0.00641225	0.0164282	0.00339454	0.00981366	0.208109	0.565219	0.190623
á	0.0101363	0.00640036	0.00494654	0.0318068	0.0569462	0.751209	0.138555
s	0.017276	0.0102549	0.00527499	0.101907	0.07391	0.412393	0.378984
i	0.00419985	0.00334224	0.00648371	0.247285	0.127618	0.319334	0.291737
a	0.00143277	5.87514e-05	0.00559865	0.0516136	0.227089	0.160262	0.553946
s	0.00749992	0.000396731	0.0349061	0.0284732	0.269634	0.178011	0.481078
ú	0.0343386	0.00165275	0.0157411	0.0407191	0.320992	0.139766	0.44679
s	0.00315573	0.00135281	0.00213147	0.0119649	0.584562	0.108187	0.288647
u	0.00857027	0.000701909	0.00346807	0.0271859	0.775645	0.115691	0.0687381
</S>	0.00173616	6.46875e-05	0.00276823	0.0109999	0.195931	0.0499591	0.738541
