 	la	manière	dont	il	ont	surpris	le	voleur	dans	la	maison	m'	a	fait	rire	</S>
e	0.14907	0.705987	0.0419284	0.0543255	0.0291946	0.00225417	0.00272021	0.000450111	0.00399364	0.00158217	0.00325262	0.00199872	0.000927067	0.00122057	0.000116681	0.000978225
k	0.00517405	0.00350763	0.00149301	0.00161682	0.0667592	0.647156	0.16773	0.0635487	0.000427914	0.00313083	8.92317e-05	6.42465e-05	0.0012606	0.00379889	0.0307936	0.00344931
á	0.00217918	0.000641693	0.000232222	0.000911187	0.0301429	0.916392	0.00990952	0.00628215	0.00201686	0.01248	0.000785187	0.000233672	0.00293698	0.00163274	0.0119493	0.00127455
m	0.000708525	0.00165268	0.00145976	0.00576608	0.107018	0.737542	0.0503746	0.0521318	0.0135628	0.0115476	0.00058955	0.000265928	0.00374112	0.00673797	0.00204177	0.00485884
b	0.0036861	0.00089443	0.00024873	0.00140223	0.0248115	0.407888	0.304221	0.134559	0.0170822	0.0142197	0.000419887	5.39289e-05	0.00393541	0.00404066	0.00255224	0.0799847
í	0.0420461	0.0259588	0.0013144	0.00884197	0.0221946	0.258727	0.417495	0.110961	0.0165736	0.00949001	0.00123445	0.000463741	0.00352897	0.00223622	0.00124669	0.0776867
s	0.0215758	0.0166812	0.0366819	0.0265283	0.068187	0.128326	0.254382	0.0160828	0.0692563	0.0373446	0.00343815	0.00819348	0.0408543	0.0340673	0.0150362	0.223365
í	0.0372645	0.0181245	0.00631105	0.00470937	0.0391217	0.33971	0.108379	0.023602	0.0146577	0.0124315	0.00234482	0.00334038	0.0452669	0.0504736	0.0345952	0.259668
l	0.296867	0.179317	0.101719	0.0323406	0.0194686	0.0288841	0.104184	0.00559626	0.0331049	0.0416784	0.0112958	0.0167016	0.0227493	0.0238013	0.0103586	0.0719337
í	0.104536	0.029262	0.0841269	0.0481197	0.0416438	0.0633966	0.0238422	0.00818838	0.0216816	0.0148777	0.00518933	0.0109531	0.0295548	0.027084	0.0584839	0.42906
