 	cet	enfant	hurlait	dans	la	maison	</S>
m	0.535982	0.460973	0.00013642	0.000990746	0.00169525	0.000171392	5.05277e-05
w	0.00197274	0.997654	0.000179042	6.03763e-05	5.28084e-05	3.95377e-06	7.72959e-05
á	0.000427579	0.999465	2.2965e-05	2.82713e-05	1.0087e-05	4.33771e-05	3.03274e-06
n	0.0269796	0.971911	6.71326e-05	3.71014e-05	0.000176222	0.000124581	0.000703836
a	0.0858224	0.699233	0.0333231	0.013133	0.0126205	0.0139145	0.141954
w	0.835027	0.0867696	0.0481555	0.00982935	0.0113585	0.00222702	0.00663285
ó	0.452794	0.0503388	0.0756888	0.0921991	0.094174	0.0303863	0.204419
á	0.0568681	0.0116592	0.579152	0.0916773	0.0342903	0.00467543	0.221678
d	0.00122318	0.000535311	0.758791	0.212156	0.00377581	0.00192163	0.0215976
z	0.00824337	0.000831805	0.649229	0.310366	0.00499307	0.000943588	0.0253928
e	0.509613	0.0176333	0.341266	0.0950053	0.0137571	0.018514	0.00421097
l	0.0465642	0.00793224	0.269274	0.480503	0.0858894	0.00892444	0.100913
á	0.00734123	0.00155651	0.195758	0.344835	0.152182	0.0358862	0.262441
a	0.130761	0.0104899	0.0669571	0.2545	0.31722	0.1463	0.0737721
y	0.000625395	0.00314057	0.278341	0.645045	0.0199979	0.0233366	0.0295135
έ	0.00126119	8.61249e-05	0.29986	0.654055	0.0162669	0.00401619	0.024454
έ	0.00268165	0.000359554	0.16238	0.524697	0.0498464	0.00578976	0.254246
n	0.00835477	0.00119284	0.0232901	0.134176	0.428665	0.260954	0.143367
d	0.01319	0.0010536	0.00105152	0.00699936	0.37284	0.59352	0.0113456
z	0.00813282	0.00109199	0.00508836	0.0195644	0.325521	0.621426	0.019176
έ	0.00153339	0.000928517	0.00907259	0.0454105	0.380474	0.510644	0.0519373
s	0.00103526	0.000124581	0.00741363	0.0583869	0.419071	0.132203	0.381765
á	0.000863274	0.000129564	0.018359	0.106327	0.189524	0.14181	0.542987
n	0.00504372	0.000100556	0.0148945	0.054032	0.231248	0.280971	0.41371
d	0.000839325	0.000271621	0.0011395	0.00493926	0.233305	0.733386	0.0261194
é	0.00146194	0.000568493	0.00122163	0.00189602	0.100282	0.852596	0.0419742
e	0.000291797	6.46699e-05	0.00918164	0.0479561	0.238416	0.214072	0.490018
</S>	0.0030503	0.000419928	0.0122269	0.0388738	0.240629	0.0841995	0.620601
