 	ibara	caresse	les	seins	de	ngala	</S>
i	0.960582	0.0246793	0.0042335	0.00178884	0.00797295	0.000667362	7.64776e-05
b	0.922132	0.0760439	0.0011095	0.000457011	0.000135398	1.54123e-05	0.000106458
a	0.936158	0.0630968	0.000255233	0.000330488	9.39119e-05	1.12509e-05	5.4494e-05
r	0.871508	0.123468	0.00168205	0.00217077	0.000356819	4.51545e-05	0.000768606
a	0.864993	0.0886055	0.0177234	0.00724091	0.00471114	0.000511324	0.0162147
b	0.104448	0.399836	0.378809	0.0514801	0.0231891	0.000601519	0.0416367
o	0.031728	0.332532	0.170626	0.109165	0.0411864	0.00320365	0.311558
l	0.0781989	0.645893	0.209653	0.0343721	0.00888867	0.000845792	0.0221483
á	0.0217069	0.114633	0.398894	0.102805	0.0603783	0.00989925	0.291684
a	0.0102576	0.113053	0.460558	0.160685	0.141519	0.0469307	0.066996
p	0.00100828	0.0212423	0.203868	0.707242	0.0308375	0.0175642	0.0182373
y	0.000204903	0.00443447	0.0261188	0.942758	0.0139835	0.00112333	0.0113767
e	0.000181443	0.00692487	0.143311	0.766932	0.0560893	0.00448048	0.0220808
r	0.000391498	0.0120126	0.175657	0.569735	0.169738	0.00343664	0.0690298
á	0.000159089	0.00953146	0.141446	0.613393	0.153658	0.0194541	0.0623585
n	0.000348276	0.00172655	0.0951499	0.175388	0.552422	0.135183	0.0397822
g	0.000195673	0.000733813	0.0161948	0.0134146	0.143662	0.793711	0.0320877
a	5.27827e-05	8.09875e-05	0.00234058	0.000879601	0.0077713	0.983188	0.00568652
l	9.27109e-05	0.00168003	0.0450326	0.015304	0.194721	0.554878	0.188291
a	0.000526793	0.00222011	0.0298385	0.0630108	0.183081	0.205758	0.515565
a	6.58886e-05	0.00136806	0.0353885	0.0436212	0.0997846	0.0613069	0.758465
b	0.0032473	0.0106254	0.0524359	0.164016	0.221899	0.119487	0.42829
έ	0.00476906	0.0135351	0.0292844	0.495936	0.229257	0.0152092	0.21201
ε	0.00223225	0.00536334	0.0285227	0.147524	0.0743168	0.00282155	0.73922
</S>	0.00021632	0.00318443	0.0384148	0.0222962	0.161826	0.0114442	0.762618
