 	celui	qui	se	noie	dans	le	fleuve	ne	sait	pas	nager	</S>
o	0.629715	0.14052	0.145922	0.0196561	0.0111763	0.00974688	0.00576626	0.0113374	0.00599436	0.0172089	0.00132638	0.00163077
l	0.049189	0.0229379	0.0941641	0.75539	0.0164932	0.00800316	0.00558552	0.0077928	0.00711497	0.00665314	0.0216385	0.00503814
é	0.00121405	0.000838371	0.00698983	0.960817	0.0128437	0.00352162	0.000631718	0.00243012	0.00243793	0.000714503	0.00228129	0.00527925
b	0.0028229	0.00238465	0.0705409	0.870718	0.0162582	0.0048652	0.00137391	0.00283593	0.00227509	0.0012084	0.00284627	0.0218707
h	0.0182447	0.0143188	0.192028	0.61202	0.076857	0.0294961	0.00685373	0.00980211	0.00728367	0.0039826	0.00205681	0.0270564
i	0.0451786	0.014462	0.0917827	0.697921	0.0411363	0.0206022	0.00486101	0.00766173	0.00779406	0.00271496	0.00513031	0.0607552
i	0.0316563	0.147649	0.203082	0.0254692	0.198355	0.231597	0.105195	0.0132587	0.0078795	0.00552315	0.00504856	0.0252868
s	0.00687103	0.00965703	0.0439339	0.0243479	0.295786	0.344618	0.200735	0.0233122	0.0127586	0.00681038	0.00523537	0.0259349
á	0.00130733	0.00522802	0.00722381	0.00853847	0.344998	0.403266	0.146609	0.0219269	0.017091	0.00575772	0.00927785	0.028776
n	0.00717601	0.0225476	0.00865191	0.00152266	0.105696	0.3398	0.440111	0.0283702	0.0121454	0.00740732	0.0142788	0.0122927
d	0.00107672	0.00776292	0.00329029	0.0017265	0.204663	0.412867	0.323121	0.0142077	0.00924347	0.00755791	0.00629345	0.00818967
z	0.00100222	0.00347547	0.000572423	0.00063693	0.0764463	0.239843	0.614328	0.0287149	0.00903961	0.00372723	0.00317145	0.0190423
á	0.000401309	0.000736494	0.000464454	0.00170369	0.127571	0.335926	0.436656	0.0529772	0.0128946	0.00438358	0.0132574	0.0130283
l	0.000970624	0.00163053	0.00924729	0.00762357	0.0692967	0.296058	0.306246	0.159459	0.0641105	0.0361933	0.0166616	0.0325019
é	0.00301709	0.00657796	0.0204564	0.0147908	0.101437	0.29956	0.336696	0.106367	0.0338579	0.0199307	0.00688539	0.0504239
m	0.00228611	0.00536975	0.0239268	0.0143186	0.100958	0.120275	0.252514	0.231108	0.150374	0.0632591	0.00994768	0.0256623
b	0.0142705	0.00166497	0.00257762	0.00317078	0.056805	0.118922	0.309088	0.194024	0.139984	0.0633663	0.0453962	0.050731
í	0.00173683	0.000798302	0.00506495	0.0155174	0.0769905	0.250571	0.188241	0.20824	0.101688	0.0597609	0.0369871	0.0544051
m	0.0127343	0.00316926	0.0177451	0.00371768	0.0364033	0.101635	0.205427	0.276728	0.182736	0.120328	0.0181883	0.0211887
o	0.0057296	0.000349613	0.000519545	0.0011709	0.0174153	0.09184	0.268591	0.190597	0.169028	0.115151	0.0903235	0.0492848
r	0.00122666	3.43548e-05	0.000200404	0.00184141	0.0273953	0.0297364	0.0278338	0.183544	0.269745	0.29377	0.0600355	0.104637
o	0.00510072	0.000511966	0.000803465	0.00676496	0.0293267	0.0777327	0.180955	0.166087	0.153789	0.109554	0.125142	0.144232
y	0.000601276	0.000855867	0.00203434	0.000668859	0.014528	0.02991	0.0635227	0.11238	0.25443	0.289911	0.0537433	0.177414
é	0.0103288	0.0162118	0.00838336	0.00134753	0.0203784	0.037832	0.0754283	0.118491	0.220158	0.158629	0.286853	0.0459583
é	0.00159234	0.00166754	0.00253058	0.000616213	0.00625502	0.0135851	0.0227976	0.0845207	0.225335	0.250442	0.138455	0.252203
d	0.000976366	0.000704901	0.00273246	0.00416675	0.0163009	0.00800305	0.00687868	0.0529824	0.195073	0.251638	0.110229	0.350315
í	0.00103399	0.000166808	0.00119068	0.0132814	0.0357375	0.00964194	0.00771745	0.0454019	0.192512	0.148745	0.161354	0.383217
o	0.00132793	0.000338556	0.00236747	0.00150385	0.0196122	0.0120357	0.0166891	0.0588113	0.203288	0.274111	0.0798272	0.330087
y	0.000244888	0.000272425	0.00121899	0.0115914	0.0140907	0.00598055	0.00155116	0.0190881	0.0644078	0.144273	0.431281	0.306
é	0.00077297	0.00136017	0.000649995	0.00377079	0.0270286	0.0137213	0.0253448	0.0316265	0.107941	0.164809	0.277423	0.345552
b	0.000118855	6.55511e-05	0.000354664	0.000756588	0.0032056	0.00314767	0.0078111	0.0235378	0.103492	0.0826273	0.181825	0.593058
h	0.00027657	0.000182108	0.000508817	0.00024329	0.00193799	0.0044731	0.00782655	0.0807486	0.211805	0.276486	0.0752485	0.340264
á	0.000881263	7.21722e-05	0.00110637	0.00488718	0.0051061	0.0133385	0.0252139	0.0518391	0.0933851	0.0504966	0.0649685	0.688705
o	0.00110083	0.00105569	0.00386453	0.000899459	0.0129659	0.0215371	0.0285536	0.0355772	0.166922	0.220376	0.170344	0.336804
t	0.000527285	0.000649013	0.00242673	0.00790402	0.0334671	0.0150117	0.00552776	0.0284312	0.0827952	0.14036	0.340496	0.342404
s	0.000794659	0.000371643	0.00124838	0.00355439	0.00655068	0.0044965	0.00338147	0.0350375	0.0701136	0.149301	0.127349	0.597801
á	0.000319131	5.05542e-05	0.00013571	0.000627842	0.00153114	0.00227178	0.00287229	0.0394041	0.135357	0.126983	0.443645	0.246803
b	0.00119914	0.000294376	0.00124532	0.00244867	0.00757145	0.00532175	0.0032453	0.0109915	0.0841104	0.0801705	0.123391	0.68001
h	0.000885562	0.00128399	0.00207716	0.000664283	0.0029995	0.00398749	0.00206033	0.0186238	0.0784476	0.119141	0.143558	0.626272
