 	les	enfants	ont	piétiné	l'	herbe	en	cherchant	les	criquets	</S>
b	0.609673	0.38328	0.00168576	0.000250179	0.000514999	0.000783752	0.000923601	0.000302301	0.000441477	0.00198108	0.000164261
á	0.0881919	0.893993	0.0109301	0.000502679	0.0010094	0.000622993	0.000777809	0.000244998	0.0018991	0.00169672	0.00013139
n	0.15709	0.831622	0.00688089	0.00140101	0.000892068	0.000318341	0.000150948	0.00016939	0.000241276	0.000513031	0.000721397
a	0.0946299	0.896459	0.00119341	0.00144624	0.00156993	0.000295924	5.91298e-05	9.8337e-05	0.000143651	0.00232425	0.00178003
á	0.184435	0.118524	0.524226	0.0810322	0.0194369	0.0126898	0.00756149	0.00436338	0.00524675	0.0017163	0.0407681
m	0.0315289	0.00332252	0.525237	0.280794	0.0856876	0.0202914	0.0130885	0.0135768	0.0115743	0.00327869	0.0116202
i	0.0157524	0.0139714	0.456298	0.4019	0.0770378	0.0140373	0.00617804	0.00324242	0.0030815	0.000451462	0.00804992
b	0.00464994	0.00193603	0.168261	0.667421	0.119307	0.0144747	0.00635537	0.00591	0.00267941	0.00196906	0.00703654
í	0.00879033	0.00155162	0.127791	0.695015	0.108415	0.0180864	0.0143153	0.00482134	0.00247598	0.0014017	0.0173359
n	0.00854982	0.00548146	0.0979983	0.62304	0.14591	0.0502213	0.0246602	0.015771	0.00616559	0.00220609	0.019996
d	0.1564	0.0234007	0.0701411	0.422372	0.231688	0.0587713	0.0112953	0.0121028	0.00194073	0.00146796	0.0104206
á	0.102492	0.0127156	0.0547116	0.319135	0.306143	0.0937231	0.0163237	0.0102685	0.00563579	0.00742004	0.071432
p	0.0124862	0.00315235	0.0430402	0.138699	0.299566	0.3826	0.0673136	0.0249627	0.0136076	0.00612813	0.0084435
f	0.0324513	0.00356772	0.0148813	0.02633	0.151656	0.317508	0.175379	0.224402	0.00589113	0.00782051	0.0401129
ú	0.00580549	0.000356257	0.00408481	0.0970761	0.18163	0.43421	0.156109	0.105777	0.00489563	0.000584042	0.00947151
l	0.00902801	0.000892827	0.00348118	0.0517431	0.153506	0.431783	0.200625	0.118662	0.010915	0.00856375	0.0107999
ú	0.00393847	0.000266871	0.00331059	0.071395	0.248117	0.372204	0.12338	0.0783392	0.0191606	0.0264763	0.0534124
m	0.00071788	4.16106e-05	0.00248513	0.0219787	0.0980654	0.391464	0.310031	0.10105	0.0403773	0.00230264	0.0314865
í	0.00581018	0.000184245	0.00108641	0.00752338	0.026309	0.117671	0.0924103	0.138661	0.147565	0.0131465	0.449632
p	0.00560838	0.000126917	0.00364995	0.0060465	0.0219013	0.0917217	0.294479	0.340687	0.178285	0.0144881	0.0430059
f	0.000880825	3.84415e-05	0.00054112	0.0012823	0.00567553	0.0421947	0.135458	0.735211	0.0462503	0.00906877	0.0233994
ú	0.00104801	2.63206e-05	0.000348406	0.00466288	0.0105366	0.0476835	0.148976	0.621434	0.0890964	0.0104635	0.0657238
r	0.0124399	0.000697612	0.000445394	0.0043196	0.0151144	0.0849997	0.21351	0.519367	0.0821152	0.0508515	0.0161391
a	0.0100616	0.000877938	0.000586597	0.00843506	0.0246852	0.0810089	0.105134	0.558205	0.0717484	0.0792513	0.0600059
l	0.000923109	0.000163957	0.000388556	0.00249055	0.00758219	0.0300602	0.118531	0.330179	0.113382	0.0436344	0.352665
i	0.0101695	0.000153861	0.0048448	0.0062047	0.0157969	0.0423157	0.0480464	0.257956	0.252545	0.0473846	0.314583
n	0.00295264	0.000167323	0.00226244	0.00261033	0.0048652	0.0170137	0.0314548	0.12628	0.201012	0.180427	0.430955
y	0.0122985	0.00124892	0.00087621	0.0136868	0.0250106	0.0297875	0.00764842	0.0676025	0.13459	0.321453	0.385797
ε	0.0105321	0.0013753	0.000478763	0.00491649	0.010267	0.00939384	0.00377796	0.0431282	0.0384839	0.764533	0.113113
n	0.00104407	0.000723477	7.57293e-05	0.00139852	0.00216447	0.00383734	0.00207473	0.0216202	0.0198321	0.899805	0.0474244
y	0.000392151	9.00435e-05	4.34967e-05	0.000840562	0.00140887	0.00424877	0.00825662	0.177518	0.0750813	0.642526	0.0895949
έ	0.0119554	0.0027868	0.000257355	0.00113302	0.00294319	0.00947104	0.017252	0.239071	0.108346	0.317091	0.289692
</S>	0.000329313	2.74512e-05	8.85049e-05	0.000500922	0.00169966	0.00615761	0.0108639	0.090216	0.11758	0.33938	0.433157
