 	les	oiseaux	viennent	nombreux	sur	ce	palmier	à	huile	car	celui-ci	produit	de	meilleures	noix	</S>
a	0.68587	0.189235	0.0278166	0.00118654	0.00734571	0.0109918	0.0164564	0.00627719	0.0037666	0.00684424	0.0171175	0.0185621	0.00683268	0.00161415	7.10351e-05	1.25558e-05
n	0.191196	0.650121	0.105208	0.0221376	0.00179203	0.00231705	0.00253408	0.00246159	0.00312361	0.0047602	0.000909896	0.00196283	0.00621184	0.00234479	0.00154708	0.00137271
y	0.0259194	0.934972	0.00921059	0.000361286	0.00177241	0.00356321	0.00154083	0.00218442	0.00335951	0.00412262	0.00105941	0.00185004	0.00438453	0.00103025	0.00125254	0.00341687
ω	0.0211803	0.920531	0.00847363	0.00205096	0.00264905	0.00975173	0.00552143	0.0037334	0.00360299	0.00832171	0.00338491	0.00307923	0.00328574	0.00109687	0.00119955	0.00213749
s	0.00828559	0.959679	0.00989446	0.000835377	0.00104739	0.00243828	0.000156823	0.000567782	0.000469843	0.00128904	0.000216271	0.000927365	0.00200647	0.0048945	0.000459879	0.0068322
í	0.0445226	0.0992359	0.131635	0.0131011	0.0454295	0.028351	0.00283956	0.0143865	0.0163552	0.0495495	0.00368668	0.00785582	0.0480811	0.0193885	0.0118141	0.463768
b	0.343838	0.0370837	0.463007	0.0224743	0.0335015	0.00795285	0.00826688	0.0119414	0.0100569	0.0073923	0.00470443	0.00885911	0.00700689	0.00782348	0.00512257	0.0209694
á	0.626132	0.0267057	0.188497	0.010879	0.0330747	0.0116408	0.0084878	0.00875486	0.00877758	0.0132032	0.0210115	0.012315	0.00978611	0.00156152	0.00438812	0.0147843
a	0.472863	0.0454169	0.126438	0.0365867	0.0350411	0.0201685	0.042174	0.0281978	0.0341769	0.0309273	0.0291246	0.0196515	0.01695	0.0087321	0.0365677	0.0169831
p	0.0150846	0.00974531	0.38099	0.471901	0.0227642	0.00253477	0.00151754	0.00442831	0.00563213	0.00420548	0.00325991	0.00758459	0.0120435	0.00414634	0.00375108	0.0504114
f	0.00149771	0.00011644	0.0340515	0.931942	0.0092621	0.00148403	0.000452856	0.00190051	0.00166246	0.00158899	0.00116327	0.00154808	0.00411496	0.00108225	0.000409728	0.00772297
u	0.00532142	5.45755e-05	0.0306188	0.895469	0.0103435	0.00369876	0.00084346	0.00459349	0.00424303	0.00615559	0.00607536	0.00632855	0.0114435	0.00152713	0.000347834	0.0129362
b	0.00221784	0.000896815	0.0117429	0.803459	0.0240649	0.0362804	0.00946377	0.0166458	0.0201982	0.0185694	0.0194158	0.0128656	0.00958635	0.00193204	0.00177117	0.0108902
h	0.0031492	0.00077547	0.037017	0.49505	0.0600652	0.0394808	0.0203215	0.0305101	0.0303446	0.0944811	0.1279	0.0299967	0.022152	0.00173742	0.00167777	0.00534067
á	0.00452544	0.000641977	0.00714243	0.156834	0.149384	0.24031	0.0402368	0.0489488	0.0509874	0.110055	0.113668	0.0428349	0.0166011	0.00258243	0.0044398	0.0108087
m	0.00547829	0.000497182	0.0044734	0.0295878	0.247844	0.339798	0.100353	0.114172	0.0494008	0.0496057	0.0319468	0.0149178	0.00466033	0.00240291	0.00253863	0.00232335
í	0.00304972	4.55076e-05	0.0047684	0.00184849	0.0280788	0.202763	0.361475	0.134627	0.0970553	0.0461096	0.0170096	0.00942998	0.0083614	0.00603736	0.0609497	0.0183913
b	0.00123337	0.000137573	0.00186914	0.00263691	0.0206635	0.0706476	0.390136	0.143011	0.131204	0.0578712	0.0650496	0.0386543	0.0133606	0.00635951	0.0501248	0.00704157
í	0.00229959	0.000134755	0.00239425	0.0226119	0.0117703	0.0503109	0.319937	0.0793739	0.0774713	0.0386469	0.175502	0.14513	0.037342	0.00581138	0.0198954	0.0113675
a	0.000641491	0.000172677	0.000816476	0.00556888	0.00740735	0.0205577	0.189458	0.0544637	0.0790872	0.0725186	0.390019	0.124291	0.0225879	0.00373976	0.0178175	0.0108523
l	0.00128719	4.44642e-05	0.00585028	0.00192717	0.0113516	0.0226074	0.0653096	0.138457	0.164793	0.137249	0.112441	0.195984	0.08293	0.0297972	0.00803903	0.0219321
ó	0.00573091	0.00117352	0.00603645	0.0064326	0.0220884	0.0308783	0.00771625	0.0340149	0.058836	0.13222	0.00896031	0.0394785	0.199873	0.104668	0.0250626	0.31683
s	0.00156425	0.00149745	0.000227212	0.000920959	0.00984204	0.0322307	0.00380939	0.0189413	0.0171218	0.0493533	0.00781384	0.0341798	0.0766117	0.590247	0.077224	0.0784153
w	0.00431237	0.00115127	0.000422223	0.00405803	0.0342872	0.0998792	0.00930818	0.0304052	0.0393187	0.0971115	0.00569351	0.0430164	0.153127	0.37283	0.0327086	0.0723707
έ	0.0010305	3.26832e-05	0.000114563	0.0019728	0.0103876	0.101267	0.00989237	0.0348406	0.0339557	0.167066	0.0171147	0.0425529	0.174379	0.31618	0.0526174	0.0365964
m	5.68842e-05	6.90965e-06	9.22416e-05	0.00195073	0.00410911	0.0248878	0.00699571	0.0290396	0.0391559	0.179418	0.0778386	0.14855	0.228753	0.179181	0.0122872	0.0676775
b	0.000706371	2.97424e-05	0.000440394	0.000525896	0.00741761	0.0903983	0.0354052	0.096534	0.0707184	0.137292	0.0617157	0.0832788	0.108219	0.130689	0.0649238	0.111706
ε	0.00132033	6.99352e-05	0.000341032	0.00545126	0.00427418	0.115704	0.0170711	0.0560703	0.0596626	0.211126	0.176751	0.0985999	0.133567	0.062138	0.0275635	0.0302906
t	0.000534314	2.30317e-05	0.000380408	0.00146197	0.00509878	0.0173605	0.00725192	0.0290111	0.0260583	0.0762745	0.0352898	0.0990222	0.223314	0.256545	0.0289738	0.193401
s	0.00638131	0.00114906	0.00116597	0.0267584	0.0120248	0.0231781	0.0131269	0.0205395	0.0146798	0.105158	0.242074	0.18265	0.205235	0.0898265	0.00904102	0.0470118
í	0.000130491	1.03997e-05	9.29863e-05	0.0305786	0.00294537	0.00804951	0.00312198	0.00778551	0.0101727	0.0894059	0.145586	0.220054	0.238588	0.200243	0.00853618	0.0346987
n	0.00309058	0.000556603	0.00167486	0.00389257	0.00582473	0.0118959	0.0219434	0.0170874	0.0335966	0.0914453	0.112696	0.175749	0.14295	0.135082	0.0709342	0.17158
a	0.038868	0.0222144	0.00718025	0.0048485	0.033227	0.0667063	0.0178237	0.0227958	0.0357064	0.165853	0.0200978	0.0340077	0.119145	0.126813	0.0759966	0.208716
d	0.00172224	0.000226499	0.000959332	0.000475212	0.00790516	0.00962293	0.00713108	0.0176357	0.0197754	0.0645052	0.0131227	0.0655648	0.180204	0.217811	0.0823666	0.310973
í	0.00041623	0.00020463	0.000145858	0.00182851	0.00706238	0.00671193	0.000847599	0.00165072	0.00270616	0.0105562	0.000994022	0.00603448	0.0598834	0.125548	0.056374	0.719036
a	0.000840318	0.000315165	0.000154373	0.000935158	0.00468805	0.00872848	0.0079729	0.0100232	0.017638	0.0468704	0.008174	0.0455015	0.118443	0.189979	0.141499	0.398237
í	0.00123671	0.000718158	0.0046372	0.00307518	0.00722948	0.00354243	0.00933997	0.0092645	0.0182762	0.01766	0.00794821	0.0426961	0.0767893	0.128341	0.297584	0.371661
d	0.000407562	0.000729369	0.00605583	0.00628241	0.0148477	0.00322014	0.010116	0.00879868	0.0229673	0.0134939	0.0052477	0.0347251	0.0854078	0.101004	0.407586	0.279111
