 	mon	voyage	pour	le	village	est	annulé	</S>
n	0.456034	0.17209	0.0979693	0.0925304	0.169145	0.009869	0.000173109	0.00218866
g	0.995847	0.00084655	0.00112931	0.0015778	1.24405e-05	0.000276406	0.000284475	2.56933e-05
á	0.975796	0.01108	0.00510169	0.00249805	0.000108846	0.000379799	0.0049511	8.45788e-05
o	0.197983	0.0388283	0.156841	0.264686	0.0164816	0.0611822	0.117411	0.146586
s	0.0321602	0.853037	0.0559278	0.00756982	0.0126344	0.00532349	0.0268593	0.00648818
í	0.0786569	0.865073	0.0182095	0.000934801	0.000337672	0.00125234	0.0198575	0.0156779
n	0.232511	0.364271	0.1198	0.0253442	0.0259821	0.0112142	0.0474528	0.173424
á	0.252858	0.124817	0.324398	0.133705	0.100514	0.00844918	0.00649065	0.048768
m	0.082355	0.018482	0.234638	0.53907	0.096591	0.0220962	0.00112032	0.00564738
á	0.154914	0.114793	0.325351	0.288654	0.0127252	0.0686887	0.00637617	0.0284983
p	0.145993	0.013949	0.156469	0.23927	0.384067	0.0194688	0.00922505	0.0315594
o	0.00412721	0.00329821	0.0431646	0.0539202	0.876417	0.00762354	0.00627279	0.00517682
o	0.00477006	0.00635916	0.0206294	0.0395585	0.916114	0.00793671	0.00221241	0.00242011
ó	0.00294051	0.00525505	0.0610503	0.254464	0.0307865	0.586092	0.0135627	0.0458489
m	0.00701781	0.0244475	0.0587723	0.0565584	0.00990019	0.735565	0.039852	0.067887
i	0.00232385	0.0264494	0.036754	0.0213563	0.00167779	0.374462	0.134409	0.402568
t	0.000589532	0.044135	0.0266322	0.0114895	0.0284657	0.209503	0.395239	0.283946
ú	7.43336e-05	0.00727348	0.023956	0.013637	0.0352892	0.15058	0.504896	0.264293
n	0.00135152	0.00100327	0.00403795	0.0186976	0.139054	0.0701269	0.418138	0.34759
g	0.00961743	0.00210021	0.0490853	0.150529	0.0246732	0.0733471	0.48028	0.210368
a	0.0556828	0.00308836	0.083356	0.211863	0.089083	0.131251	0.336758	0.0889175
</S>	0.00152956	0.000599947	0.0126471	0.0373418	0.00435004	0.239976	0.272192	0.431363
