 	cette	robe	de	raphia	est	très	ample	c'	est	pourquoi	personne	ne	se	prononce	pour	la	por-	ter	</S>
b	0.256007	0.13229	0.0132665	0.0148124	0.0126693	0.0173906	0.043885	0.0362949	0.037806	0.0283729	0.0766323	0.0634869	0.144372	0.0649794	0.038769	0.0119256	0.00443655	0.000430376	0.00217323
v	0.161773	0.259548	0.0619676	0.0565364	0.0159287	0.00573562	0.043378	0.0359281	0.0362755	0.0683952	0.0455046	0.0300287	0.0611269	0.021495	0.0671315	0.0195318	0.00672639	0.000365107	0.00262422
a	0.0378543	0.219263	0.00806935	0.0147686	0.00139092	0.00179015	0.00167956	0.00529772	0.0117545	0.0630581	0.0342087	0.0930906	0.195722	0.162163	0.100188	0.0391687	0.00566585	0.0012399	0.00362662
a	0.0274805	0.770517	0.0109579	0.0136177	0.00510156	0.00269726	0.00147631	0.00597195	0.0114557	0.0230827	0.0150305	0.0224874	0.0317843	0.0137172	0.00802925	0.00491029	0.00449716	0.00276088	0.0244249
s	0.144641	0.187962	0.0998567	0.0249247	0.0179612	0.00769781	0.00498367	0.0205431	0.037658	0.02092	0.0462331	0.040983	0.0611935	0.0128051	0.0333795	0.0228766	0.0513606	0.00551863	0.158502
í	0.358539	0.0738322	0.1319	0.0474036	0.00631465	0.00187759	0.00271612	0.0122051	0.014244	0.0477889	0.022623	0.0150428	0.0170725	0.00698591	0.0419661	0.0468581	0.0273723	0.00298021	0.122278
b	0.28977	0.0367809	0.103023	0.064521	0.00470608	0.00286245	0.00355679	0.0129444	0.0191336	0.0984408	0.0467741	0.0349288	0.0680446	0.0200991	0.0474708	0.0316137	0.0278157	0.00527112	0.0822428
v	0.0490563	0.162918	0.096967	0.050581	0.00841541	0.00500361	0.00925258	0.0126028	0.0102493	0.0523006	0.0389287	0.0445854	0.161922	0.105214	0.123724	0.0443934	0.0102929	0.00244812	0.0111457
ú	0.0288312	0.31764	0.0465916	0.0502128	0.00724231	0.00369948	0.00769762	0.0113419	0.0136402	0.0569933	0.0267043	0.0454728	0.108059	0.0635097	0.132467	0.0458493	0.0120777	0.00195246	0.0200173
ó	0.0704468	0.136984	0.220008	0.0219817	0.00972225	0.0126058	0.00927475	0.0119673	0.0325775	0.151115	0.0852114	0.0914258	0.0559809	0.0239696	0.0266138	0.0183383	0.00977553	0.00228418	0.00971788
p	0.0593645	0.0157698	0.238797	0.0820212	0.0357198	0.00989217	0.00513031	0.0250677	0.089284	0.0449829	0.125344	0.102783	0.0605117	0.0259831	0.0248387	0.0137269	0.0176015	0.00124959	0.0219331
é	0.0148791	0.0184737	0.0450083	0.013386	0.0523749	0.0373289	0.00910829	0.0125869	0.0408452	0.0599922	0.0875112	0.122387	0.103917	0.227063	0.073976	0.0434602	0.00717488	0.00333067	0.027197
n	0.00679909	0.031569	0.0751113	0.0399442	0.0463706	0.0119683	0.00530524	0.0167955	0.0425041	0.0623505	0.0909394	0.102298	0.129385	0.132613	0.0516534	0.0250167	0.0140301	0.0148351	0.100511
d	0.00737142	0.0177303	0.0736634	0.0573787	0.0328059	0.0128238	0.00832811	0.0188208	0.0414283	0.121533	0.0814495	0.0993575	0.141523	0.197768	0.0338139	0.0171356	0.00310304	0.00285847	0.0311072
í	0.0292062	0.033695	0.0928802	0.0355852	0.0205299	0.00629376	0.0039165	0.0119789	0.0305982	0.166708	0.0780193	0.0632717	0.0490473	0.112616	0.0391015	0.0392087	0.00924771	0.0181806	0.159915
o	0.00973946	0.00166512	0.0513188	0.0786519	0.0675642	0.0380096	0.0188109	0.0533911	0.117089	0.0888591	0.098507	0.0950862	0.0945933	0.0719628	0.0702168	0.0309736	0.00649593	0.000732581	0.00633261
n	0.00718914	0.00879534	0.0329135	0.0882501	0.084093	0.0278975	0.0197024	0.0423548	0.0640407	0.0238829	0.046714	0.0700044	0.0663608	0.0921787	0.123171	0.119829	0.0685769	0.0056914	0.0083543
έ	0.0163369	0.00114589	0.019035	0.10821	0.0181592	0.0116302	0.0251226	0.0349822	0.0375815	0.224478	0.0684475	0.0509555	0.0608838	0.0459388	0.0931251	0.0816115	0.0164209	0.00439114	0.0815443
d	0.000485137	0.00121338	0.0323094	0.0511561	0.0296176	0.0161387	0.0164345	0.0167989	0.0349677	0.0389317	0.04724	0.0772397	0.0783363	0.0829254	0.133575	0.203672	0.101004	0.0123133	0.0256418
i	0.00341492	0.0013467	0.0173208	0.082692	0.0660991	0.0326753	0.026232	0.0378237	0.0399684	0.0668193	0.0460911	0.0534669	0.0256736	0.0584273	0.12418	0.193997	0.0621159	0.0282288	0.0334274
a	0.000585566	0.000145793	0.01728	0.0490399	0.062643	0.0725072	0.0346641	0.0469754	0.0712178	0.0283479	0.0446607	0.0598339	0.035355	0.0267198	0.122521	0.165229	0.131852	0.0126879	0.0177342
b	0.00172407	0.000955904	0.0128419	0.0408957	0.0432367	0.0328184	0.0204561	0.0370019	0.0521042	0.0204877	0.0320872	0.0430436	0.0432124	0.0445183	0.131009	0.163274	0.18264	0.0195698	0.0781236
v	0.00179147	0.00357822	0.016378	0.0530492	0.0329394	0.01409	0.00767289	0.0118982	0.0269811	0.0173679	0.0152492	0.042172	0.162749	0.0848724	0.155916	0.161105	0.108285	0.00893956	0.0749658
u	0.00121807	0.00202945	0.00991667	0.0510881	0.0243051	0.0167865	0.0250836	0.0195857	0.0273492	0.0270192	0.0207861	0.0655125	0.177489	0.121372	0.177681	0.124756	0.0503801	0.00360783	0.0540339
u	0.000613165	0.000171568	0.00295586	0.00944928	0.0317061	0.0891785	0.0724765	0.0232811	0.0398509	0.033182	0.0436679	0.0784495	0.0555965	0.0683735	0.126098	0.152345	0.104691	0.0493831	0.0185316
b	0.000644537	0.000335464	0.00429011	0.00791536	0.0307927	0.0376673	0.0149817	0.0160938	0.0234463	0.00671257	0.0130887	0.0220193	0.0144541	0.0145923	0.0659434	0.119521	0.442777	0.0906023	0.0741222
v	0.00094916	0.00194455	0.0150443	0.0313402	0.0662523	0.044013	0.0120327	0.019643	0.0432051	0.0247103	0.0259888	0.0499287	0.138125	0.0615986	0.134668	0.120213	0.0883606	0.0223461	0.0996365
ú	0.00120543	0.00278688	0.00887216	0.0391584	0.0351411	0.0592307	0.0596816	0.0484991	0.0400201	0.0596895	0.0231057	0.0567513	0.0596566	0.0428583	0.158253	0.142094	0.0466411	0.0344929	0.0818625
a	0.00228028	0.000195476	0.00306739	0.00736355	0.0159368	0.0453517	0.0238352	0.0246083	0.0512125	0.0470642	0.0601071	0.0759607	0.0290869	0.0200717	0.0866521	0.110398	0.201385	0.135644	0.0597785
ó	0.000911446	0.000433142	0.00849001	0.0123777	0.0149587	0.010126	0.00536024	0.00921826	0.0107471	0.00296804	0.00428106	0.00771217	0.00766432	0.00487588	0.0361091	0.0646245	0.469536	0.13539	0.194216
d	0.00212167	0.00224127	0.0219264	0.0135185	0.0145084	0.00739014	0.00207359	0.00393128	0.00806575	0.00328738	0.00365064	0.0065687	0.00556842	0.00398116	0.017993	0.0455624	0.604551	0.197672	0.0353883
í	0.000661314	0.00125746	0.00751738	0.0159641	0.00948987	0.0029342	0.00172588	0.00260492	0.00372673	0.00168532	0.00151151	0.00151043	0.00109088	0.000528113	0.00581894	0.0164194	0.282235	0.509621	0.133698
o	0.00080147	0.000233115	0.00619106	0.0259407	0.0200228	0.0277327	0.0138511	0.0119805	0.0182399	0.0106092	0.00684446	0.0124945	0.0113351	0.00391254	0.030575	0.0493372	0.299874	0.333136	0.116888
d	0.000224579	0.000884651	0.00197855	0.00262075	0.00183195	0.00281838	0.000818166	0.000920222	0.00202097	0.00174815	0.00117559	0.00179605	0.00205537	0.00168476	0.00516362	0.0104005	0.125852	0.74006	0.0959463
i	3.31594e-05	0.000573744	0.00161771	0.00106421	0.00354113	0.00405293	0.00141583	0.000876815	0.00120541	0.000504959	0.000669832	0.000842793	0.000447035	0.000568632	0.0017117	0.00510662	0.101204	0.836122	0.0384415
á	4.01431e-05	9.18745e-05	0.00111664	0.000526658	0.00212524	0.00841109	0.00180156	0.000729119	0.00158693	0.000940187	0.00101494	0.00154444	0.00100129	0.000861783	0.00504648	0.0143019	0.24307	0.583623	0.132166
