 	il	est	arrivé	au	bout	de	quelques	minutes	</S>
w	0.838876	0.104377	0.0128629	0.00771104	0.0108088	0.0218639	0.00156981	0.000917532	0.00101333
a	0.371101	0.192499	0.0157399	0.0339029	0.150625	0.111625	0.0298124	0.0906586	0.00403518
á	0.0821583	0.464196	0.313379	0.0717973	0.0319969	0.0183317	0.00712221	0.0026029	0.0084152
y	0.0111004	0.196552	0.616946	0.094012	0.0260552	0.0130329	0.0158254	0.00880958	0.0176659
ε	0.00330865	0.104129	0.608426	0.0762132	0.048068	0.00468653	0.00964566	0.00320161	0.142321
i	0.0280703	0.0524161	0.233977	0.287597	0.155438	0.0228303	0.0217841	0.0179625	0.179924
ó	0.0497244	0.0931309	0.139621	0.306953	0.25135	0.0676704	0.0260634	0.00620496	0.059282
n	0.000509112	0.00388844	0.0532359	0.333185	0.429161	0.103201	0.0418265	0.0246666	0.0103261
g	0.00102482	0.0054873	0.0241235	0.180284	0.376383	0.0925145	0.0910232	0.154406	0.0747532
o	0.00365035	0.0104627	0.0166409	0.192895	0.394499	0.158697	0.00895228	0.150778	0.0634249
l	0.000166297	0.000981746	0.00115765	0.0214726	0.098183	0.0478364	0.00566366	0.585539	0.239
o	0.00543598	0.00434728	0.00397826	0.119265	0.322579	0.33725	0.0041263	0.066652	0.136367
y	0.00270429	0.0154458	0.0304936	0.0805644	0.170573	0.379665	0.0889926	0.0892575	0.142304
á	0.0285185	0.0425309	0.0445149	0.0853057	0.200637	0.260161	0.223086	0.065955	0.0492903
b	0.0111592	0.0155931	0.0173135	0.0521873	0.199706	0.289966	0.27245	0.10395	0.0376747
e	0.0170567	0.017996	0.0212164	0.0895823	0.222661	0.356189	0.0676078	0.1597	0.0479909
á	0.000749116	0.00284776	0.00725481	0.0554171	0.10581	0.280423	0.0148107	0.117262	0.415425
a	0.00340271	0.00557107	0.0119506	0.0120266	0.0161721	0.0557072	0.48452	0.118007	0.292643
m	0.000335995	0.0105703	0.0498956	0.0643227	0.0561753	0.0696779	0.262922	0.418904	0.0671964
i	0.000316906	0.00271619	0.00342733	0.0247377	0.0312898	0.048181	0.430416	0.352847	0.106068
n	3.79219e-05	0.000368871	0.00167209	0.0173475	0.00975307	0.0203789	0.0908399	0.49979	0.359812
í	0.000148794	0.000324082	0.000656195	0.00672138	0.0109605	0.00968765	0.0334791	0.762387	0.175635
t	7.6581e-05	0.000606999	0.00153453	0.00880571	0.0168779	0.0578171	0.03118	0.241905	0.641196
i	0.00258882	0.00503997	0.00709838	0.042786	0.0984059	0.168038	0.0322526	0.0876049	0.556186
</S>	0.000135088	0.000277671	0.000402554	0.00382047	0.00845314	0.0327463	0.00477353	0.157492	0.791899
