 	la	manière	dont	ils	ont	fermé	la	maison	laisse	libre	accès	au	voleur	</S>
e	0.435026	0.393306	0.0906783	0.0521469	0.019586	0.00128657	0.0018052	0.0014618	0.00156635	0.000748349	0.00181449	0.000327428	0.000177229	7.00118e-05
k	0.00724902	0.00962035	0.0140488	0.0131866	0.156332	0.664775	0.041094	0.0117902	0.0190368	0.0183538	0.0390474	0.00309139	0.000917939	0.00145738
a	0.0632863	0.0198284	0.0118259	0.0155994	0.136401	0.515145	0.0674745	0.00176513	0.0589861	0.0272128	0.0631802	0.00611384	0.0108773	0.00230436
n	0.00176918	0.00706136	0.0158667	0.0341757	0.107342	0.65609	0.0651796	0.006994	0.0426536	0.0190232	0.0306338	0.00498471	0.00396814	0.00425848
g	0.0698866	0.0891116	0.0440143	0.00348026	0.157669	0.242766	0.0833346	0.0407385	0.0678723	0.0508637	0.0815899	0.0332042	0.00808208	0.0273875
í	0.047172	0.0944955	0.0551284	0.00632842	0.106413	0.287066	0.102097	0.0308972	0.0927617	0.0392952	0.0236484	0.00734801	0.00165037	0.105699
l	0.0248893	0.0178567	0.128148	0.0109804	0.311762	0.182238	0.0658396	0.00465678	0.0152788	0.00710515	0.00686976	0.0105683	0.00209593	0.211711
í	0.0679439	0.0712491	0.0672278	0.00524745	0.292896	0.165752	0.0607263	0.00924309	0.0083296	0.00297534	0.00640412	0.0108505	0.00313169	0.228023
y	0.479813	0.144829	0.266454	0.0170223	0.031028	0.0236685	0.012633	0.00346439	0.00773024	0.00122138	0.000824295	0.00225076	0.000544444	0.00851736
é	0.18172	0.0515944	0.557095	0.00105824	0.0342484	0.022377	0.0333986	0.0050657	0.0103891	0.00127526	0.000971754	0.00384986	0.00136485	0.0955915
é	0.0979973	0.161065	0.543125	0.00554091	0.0688349	0.0289311	0.020145	0.0209102	0.0150991	0.00181816	0.000887642	0.00150925	0.000381144	0.0337555
k	0.0106225	0.00463917	0.00772544	0.0275795	0.264657	0.554785	0.037639	0.00844211	0.0216106	0.00730816	0.0109027	0.00151009	0.000823334	0.0417561
a	0.000592292	0.000251218	0.000599791	0.00660494	0.0937872	0.835159	0.0358607	0.000848205	0.00804881	0.0054727	0.0043033	0.00121906	0.000563595	0.00668895
n	0.001255	0.000564059	0.00515908	0.0183295	0.101737	0.81798	0.0198901	0.00357942	0.00649993	0.00717083	0.00899652	0.000501481	0.000207284	0.00812927
g	0.0155679	0.0101901	0.0328414	0.0104125	0.169088	0.306055	0.211487	0.0780582	0.0997536	0.0163518	0.0124182	0.00842427	0.00375522	0.0255972
i	0.0233006	0.0405107	0.252394	0.0527266	0.133713	0.234731	0.0924609	0.0368289	0.0543212	0.0089433	0.00545771	0.00360353	0.00206755	0.0589409
