 	à	ekyémbe	on	cultive	des	bananes	plantains	</S>
e	0.53681	0.437367	0.0161415	0.000548429	0.00384281	0.00428172	0.00096646	4.16741e-05
k	0.0682152	0.897001	0.00195972	0.0232405	0.00120256	0.00419167	0.00383437	0.000354712
y	0.00562208	0.987366	0.00076003	0.00101929	0.00021153	0.000619485	0.00415643	0.000245374
e	0.0135263	0.973762	0.0064592	0.0023578	0.00123171	0.00143663	0.000584241	0.00064217
m	0.0575374	0.85259	0.0163331	0.0111182	0.00696954	0.00639708	0.0039404	0.045114
b	0.237067	0.604628	0.0589428	0.0169166	0.0130928	0.0010057	0.00546869	0.0628788
e	0.209198	0.725446	0.0235972	0.00614101	0.0124895	0.00134779	0.000848781	0.0209318
b	0.145429	0.148372	0.624527	0.0183188	0.0251045	0.00558261	0.00162166	0.0310435
á	0.271994	0.0234838	0.361195	0.00328975	0.139623	0.129743	0.00914051	0.0615312
a	0.246732	0.0149475	0.620466	0.0219846	0.0617976	0.0103832	0.00375741	0.0199321
s	0.00170571	0.0039717	0.0197921	0.957633	0.00557265	0.00663458	0.000844855	0.00384554
i	0.000378882	0.000740995	0.000907322	0.996205	0.000747725	0.000191568	1.13159e-05	0.000817338
á	0.0031152	0.00142668	0.00535125	0.961063	0.0125774	0.00135699	0.000155132	0.0149546
á	0.0145087	0.00479577	0.222448	0.0261918	0.548259	0.133474	0.0139365	0.0363869
a	0.0179254	0.00491959	0.0474136	0.0978489	0.331745	0.409044	0.0526847	0.0384193
k	0.0135096	0.012686	0.0107702	0.0491786	0.121679	0.217298	0.529181	0.0456988
ω	0.000386684	0.00254549	0.000373177	0.00580554	0.0289917	0.18746	0.751421	0.0230156
</S>	0.000120368	0.00299828	0.00201379	0.00334531	0.0491692	0.239819	0.678229	0.0243049
