 	il	appuie	son	doigt	dans	la	pâte	de	manioc	</S>
w	0.963373	0.0120848	0.00239049	0.00536257	0.00591491	0.00539841	0.000723704	0.00307505	0.00144742	0.00022957
a	0.938836	0.0196459	0.0189544	0.0139583	0.00342585	0.0040876	3.18488e-06	0.00103922	3.32106e-05	1.60384e-05
l	0.399975	0.19841	0.136516	0.0216645	0.0848241	0.0761506	0.0075728	0.0235581	0.00315038	0.0481788
á	0.20099	0.0817322	0.158128	0.117436	0.13121	0.118361	0.00681874	0.0297452	0.00255526	0.153024
a	0.256503	0.0954806	0.160996	0.0882566	0.0896245	0.102884	0.00694574	0.0326186	0.00594627	0.160745
b	0.0172579	0.920605	0.0318711	0.00387169	0.00395348	0.00231818	0.00679835	0.000696479	0.00401014	0.00861775
h	0.015808	0.957556	0.0185289	0.00303852	0.00198265	0.00104815	0.000113663	0.000316809	0.0004267	0.00118091
í	0.0415827	0.82861	0.0857987	0.0165717	0.0063386	0.00506718	0.00251295	0.00151107	0.00364337	0.0083641
á	0.0131616	0.557366	0.073041	0.0154147	0.0328832	0.0240066	0.0240679	0.00650142	0.00628744	0.24727
ω	0.0286055	0.0312277	0.703749	0.147628	0.0353074	0.0251925	0.00620726	0.00881789	0.00317922	0.0100849
s	0.000942002	0.00917616	0.483426	0.388101	0.0490577	0.0154504	0.0417216	0.00261263	0.00534362	0.00416888
a	0.00208664	0.0122649	0.289816	0.604778	0.0282244	0.010474	0.0307029	0.00203706	0.00338701	0.0162294
b	0.0107939	0.0101708	0.440702	0.318827	0.0618926	0.0315482	0.0286944	0.00831664	0.00148793	0.087567
h	0.00516368	0.00983769	0.647992	0.0594743	0.0711025	0.0390718	0.0277708	0.0160511	0.0169292	0.106607
i	0.0116842	0.0126333	0.122252	0.0780357	0.0436115	0.0756851	0.0792409	0.0470509	0.0108278	0.518979
s	0.0116624	0.00330944	0.313661	0.126657	0.173576	0.0873711	0.0300074	0.0344121	0.00661293	0.212731
á	0.00110407	0.000914229	0.19269	0.396227	0.0911403	0.0687678	0.0362216	0.0304846	0.00623655	0.176214
o	0.0190884	0.00200401	0.192776	0.399419	0.119879	0.0837893	0.0812829	0.0352313	0.0414017	0.0251282
b	0.00195346	0.00427421	0.0675289	0.398932	0.142753	0.0559438	0.290748	0.00444798	0.0296531	0.00376573
ó	0.0045945	0.0178752	0.0567666	0.460397	0.134971	0.106252	0.0573872	0.0248202	0.123678	0.0132586
o	0.000342631	0.00372731	0.0519431	0.0784829	0.0687305	0.073141	0.412528	0.0188788	0.201742	0.0904833
</S>	0.000865189	4.52127e-05	0.0180385	0.0239391	0.29577	0.392481	0.0376186	0.18039	0.00738837	0.0434646
