 	le	foie	du	porc	est	délicieux	</S>
i	0.430131	0.450004	0.0908639	0.0192707	0.0086722	0.000644149	0.000414041
b	0.0491447	0.915291	0.0165676	0.0142838	0.00284585	0.000705487	0.00116127
a	0.00728715	0.976703	0.0103263	0.00182313	0.0011482	0.00215418	0.000557706
a	0.0260274	0.919587	0.0345406	0.00969318	0.00167248	0.00317744	0.00530143
l	0.366088	0.110523	0.393587	0.0322307	0.0368269	0.00365191	0.057093
á	0.0620263	0.01408	0.231961	0.0989807	0.0750109	0.0267928	0.491149
n	0.23957	0.0289437	0.226704	0.419322	0.0329075	0.0152847	0.0372675
g	0.0232555	0.00270819	0.019531	0.947971	0.00258241	0.000718355	0.00323357
u	0.00346092	0.00117455	0.00737942	0.984541	0.00120641	0.000336578	0.00190108
l	0.0272571	0.0020687	0.0878633	0.809417	0.0508937	0.00597065	0.0165299
u	0.0831415	0.00812341	0.211643	0.554942	0.102639	0.00674867	0.0327626
í	0.0250566	0.00110767	0.146221	0.124775	0.645731	0.0313803	0.0257286
d	0.0296496	0.000923503	0.0663879	0.0829011	0.62678	0.169616	0.0237424
í	0.0023193	6.50489e-05	0.00835992	0.0230067	0.278012	0.290279	0.397958
l	0.0176492	0.00028423	0.0318276	0.0292675	0.281845	0.299239	0.339887
a	0.00263269	0.00033988	0.0167062	0.013431	0.172511	0.504062	0.290317
m	0.00943923	0.00781056	0.0323485	0.0229225	0.149999	0.564579	0.212902
w	0.00817187	0.00548113	0.0141974	0.0495039	0.184247	0.455988	0.282411
á	0.00211433	0.00172433	0.00637828	0.0105587	0.197567	0.559489	0.222168
n	0.00134864	0.000614679	0.00304061	0.00317113	0.0323386	0.409548	0.549938
y	0.0160356	0.00739539	0.039445	0.0710605	0.144472	0.254504	0.467088
á	0.00688306	0.0040147	0.0340307	0.10816	0.0664142	0.111756	0.668742
á	0.00165441	0.000314051	0.00850877	0.0101056	0.0818987	0.0832895	0.814229
</S>	0.017938	0.00133711	0.0520624	0.0195822	0.221408	0.238153	0.449519
