 	le	petit	grillon	a	chanté	toute	la	nuit	</S>
e	0.614422	0.316857	0.0394461	0.0116761	0.000581226	0.00739868	0.00685753	0.000691989	0.00206941
t	0.0600537	0.760583	0.0287677	0.0281575	0.0144625	0.043546	0.00904365	0.0490197	0.00636653
é	0.10238	0.138687	0.043183	0.0778418	0.308487	0.19756	0.00952853	0.0524977	0.0698341
l	0.0690871	0.206786	0.10575	0.143399	0.199261	0.12658	0.0486772	0.0466309	0.0538279
é	0.357593	0.337399	0.186243	0.0341699	0.0193362	0.0135394	0.0157168	0.0118786	0.0241235
é	0.133282	0.0877422	0.317763	0.331788	0.0727675	0.0151759	0.0253877	0.00662521	0.00946891
y	0.00616186	0.00784602	0.0509411	0.358501	0.465548	0.0402838	0.0219531	0.00655104	0.0422142
έ	0.0085501	0.00853003	0.0509719	0.0862739	0.816469	0.0113985	0.00380023	0.00441759	0.00958864
n	0.0150991	0.0124489	0.0685153	0.238113	0.224667	0.038047	0.0287121	0.0218881	0.35251
d	0.103969	0.109546	0.127874	0.214678	0.0604314	0.129513	0.118315	0.0787335	0.056941
z	0.0553127	0.0920808	0.132519	0.171078	0.25839	0.138609	0.0450811	0.0302463	0.0766831
i	0.0225899	0.0104276	0.0368114	0.102408	0.227368	0.264272	0.130962	0.0518172	0.153345
k	0.0126272	0.0183787	0.124266	0.321286	0.0758403	0.136775	0.119204	0.0537964	0.137826
ó	0.0090785	0.000984889	0.00238753	0.0532936	0.0591303	0.410433	0.0805405	0.28388	0.100272
l	0.000905709	0.00102999	0.0112256	0.0804024	0.0741894	0.198122	0.105053	0.44004	0.0890317
i	0.0153368	0.0115941	0.0132308	0.063396	0.0661718	0.232201	0.179923	0.296102	0.122044
e	0.00757042	0.00320907	0.00938913	0.0670565	0.0444804	0.10343	0.265926	0.216893	0.282045
t	0.00202879	0.00094452	0.000910949	0.0127507	0.0521594	0.172546	0.169453	0.305905	0.283302
s	0.000553272	0.000354328	0.000431852	0.0108062	0.0522169	0.205195	0.108284	0.538311	0.083848
i	0.000461657	0.000113251	0.000199577	0.00674139	0.0305115	0.218528	0.141223	0.476395	0.125827
i	0.00224711	0.000604115	0.0026336	0.0251917	0.0233073	0.0600068	0.146056	0.208901	0.531052
n	0.00123593	0.000528458	0.00172027	0.0126134	0.00372126	0.068872	0.14972	0.125363	0.636226
a	0.00258559	0.00271864	0.0050415	0.0043904	0.00341516	0.061478	0.111323	0.108404	0.700644
</S>	0.000194197	0.000137596	0.000992865	0.00781146	0.00247042	0.0644395	0.181589	0.122626	0.619739
