 	cette	fille	est	enceinte	</S>
m	0.779702	0.209743	0.00650384	0.00289856	0.00115325
w	0.0215894	0.976392	0.000724258	0.00030657	0.000988049
á	0.00276683	0.997079	5.36601e-06	0.000132553	1.64143e-05
n	0.205522	0.790531	0.000523177	0.000342109	0.00308219
a	0.0639287	0.822052	0.0121457	0.0332421	0.0686312
o	0.878377	0.0839311	0.0287319	0.00448725	0.00447306
y	0.300591	0.124106	0.526398	0.029909	0.0189965
ú	0.838948	0.100752	0.0422042	0.0111197	0.00697561
r	0.904752	0.0594677	0.0118951	0.00895571	0.0149294
u	0.710917	0.247156	0.0126564	0.0168542	0.0124166
w	0.096967	0.0218776	0.827455	0.0268799	0.0268205
á	0.189462	0.0142652	0.531491	0.0519633	0.212818
á	0.252196	0.0446819	0.473743	0.128399	0.100981
m	0.0184963	0.00395502	0.698803	0.220519	0.0582271
i	0.0374189	0.0228876	0.555971	0.232549	0.151173
s	0.0175425	0.00471019	0.698239	0.142916	0.136592
ú	0.0155411	0.00768213	0.285657	0.527049	0.16407
a	0.0778721	0.00409386	0.161851	0.561733	0.194451
</S>	0.00292504	0.000145484	0.261901	0.318446	0.416583
