 	ses	parents	ne	veulent	plus	de	lui	parce	qu'	il	a	des	attributs	de	la	sorcellerie	</S>
i	0.672815	0.223156	0.0532265	0.00163714	0.0219441	0.0119785	0.00463898	0.00510162	0.0037483	0.00042747	9.64261e-05	0.00019677	7.80339e-05	0.000352532	0.000592506	6.12798e-06	4.80718e-06
b	0.152039	0.656726	0.128235	0.0504663	0.00280356	0.00127617	0.0011504	0.00202999	0.000942318	0.000789705	0.000929686	0.000597081	0.00034278	0.000386227	0.00032111	0.000233211	0.000730905
ó	0.214225	0.375257	0.312344	0.0235563	0.0193871	0.017037	0.0152303	0.00924655	0.00125806	0.000796013	0.000726028	0.00196601	0.00306745	0.000851341	0.000795632	0.000879182	0.00337781
r	0.0979824	0.483345	0.230304	0.0547689	0.0326903	0.0237395	0.0186953	0.0134485	0.00340719	0.00322221	0.00267157	0.00284707	0.0180871	0.00071418	0.000321941	0.00100588	0.0127493
o	0.170306	0.128303	0.126997	0.057413	0.0703055	0.0586866	0.0647025	0.0827561	0.0425708	0.0178083	0.0219101	0.0335633	0.0497093	0.017619	0.0114958	0.0106759	0.0351776
í	0.305414	0.180369	0.335016	0.0401091	0.048109	0.0191441	0.0139481	0.00715469	0.0119749	0.00836215	0.00706574	0.00521201	0.00140271	0.00579563	0.00312892	0.000796366	0.0069982
m	0.137016	0.148221	0.383938	0.115638	0.039983	0.0161646	0.0131493	0.00842716	0.0183122	0.0290155	0.0485155	0.0127713	0.00419167	0.00835196	0.00600305	0.00176716	0.00853372
i	0.115428	0.0870323	0.311438	0.182871	0.0636528	0.0635938	0.06475	0.0147337	0.00998125	0.0112693	0.0355239	0.0125648	0.00665051	0.00212561	0.000999371	0.000578032	0.0168079
t	0.04005	0.0738984	0.342857	0.446664	0.0375847	0.0151184	0.00721972	0.00283343	0.00137322	0.00212132	0.00918206	0.00460589	0.00794059	0.000879984	0.000339907	0.000723411	0.00660824
ó	0.00396996	0.00904433	0.0226512	0.936022	0.00787559	0.00461609	0.00295657	0.00276111	0.000388699	0.00107935	0.00266961	0.000846025	0.00125921	0.000105735	5.85378e-05	0.00125935	0.00243709
n	0.0074209	0.0148362	0.109563	0.703549	0.0644744	0.0251329	0.0121742	0.0125303	0.0070197	0.0119301	0.014261	0.00528375	0.00218978	0.0010428	0.000418518	0.00165598	0.00651671
á	0.0346654	0.0756756	0.179391	0.408694	0.116064	0.0356865	0.0301979	0.0349181	0.0201889	0.0137584	0.0124946	0.00783646	0.00774054	0.0023611	0.000465973	0.00175445	0.0181067
