 	j'	ai	passé	toute	une	semaine	à	boundji	</S>
n	0.752512	0.0679062	0.0235503	0.0309051	0.0228449	0.0475392	0.037406	0.0080403	0.00929577
g	0.987741	0.00687428	0.000341059	0.000296403	0.000914157	0.00210842	0.00125945	0.000392962	7.19396e-05
á	0.961426	0.026331	0.00274507	0.001986	0.00153788	0.00453667	0.000490799	0.000910923	3.58946e-05
í	0.0891991	0.218705	0.0798679	0.0505247	0.0527572	0.0246544	0.139158	0.20558	0.139554
l	0.00611313	0.0530245	0.823589	0.103804	0.00335026	0.00230457	0.00161354	0.00126423	0.00493675
e	0.00621285	0.0685897	0.608697	0.217933	0.0208464	0.0153878	0.00848486	0.00696734	0.0468815
s	0.00286678	0.014141	0.523967	0.406972	0.0277084	0.00521854	0.00480259	0.00189243	0.0124317
i	0.00331541	0.012938	0.349093	0.549736	0.0522566	0.0200786	0.00510017	0.00225597	0.00522684
i	0.0162783	0.164861	0.162212	0.253118	0.155534	0.046718	0.0515124	0.00687723	0.142888
e	0.00149755	0.0260419	0.0166718	0.0974961	0.360311	0.313007	0.0633568	0.0313007	0.0903173
y	9.91583e-05	0.00312399	0.0232505	0.201694	0.356015	0.279993	0.0263349	0.0862348	0.0232545
e	0.000235222	0.00457626	0.150841	0.158962	0.253187	0.398021	0.00940836	0.00712345	0.0176458
n	9.05843e-05	0.0022118	0.0437325	0.0942763	0.512084	0.265639	0.0129566	0.0101403	0.0588689
g	0.000537611	0.0171986	0.0488433	0.102509	0.242336	0.462854	0.0194395	0.0307268	0.0755544
a	0.000828479	0.00345712	0.0065534	0.0310803	0.125285	0.681553	0.0112162	0.0841226	0.0559035
e	0.000668167	0.00577876	0.0040753	0.0193687	0.135332	0.150302	0.562045	0.0509593	0.0714719
t	0.000257402	0.00124472	0.00131528	0.00883966	0.0489776	0.0540799	0.222017	0.554499	0.10877
s	4.49534e-05	0.000358861	0.000939982	0.00670713	0.0341816	0.0452185	0.0255278	0.814213	0.0728083
i	7.75438e-06	6.41566e-05	0.000754955	0.0130722	0.0516876	0.0874409	0.032081	0.728016	0.0868758
i	0.000111247	0.000461277	0.00221185	0.0113438	0.10127	0.149079	0.117662	0.143623	0.474239
n	0.00012849	0.00335858	0.00562587	0.00927025	0.0313743	0.0200221	0.280658	0.0823044	0.567258
a	0.00281634	0.00652276	0.00918393	0.0119326	0.0369992	0.178061	0.268638	0.122948	0.362899
s	0.00016686	0.000657496	0.000479584	0.000976738	0.0133296	0.0167196	0.291823	0.0424105	0.633437
é	0.00106264	0.00720638	0.0137728	0.0160074	0.0821935	0.129406	0.3016	0.174759	0.273992
b	0.00047285	0.00282107	0.00152099	0.00227712	0.0229968	0.0339004	0.398955	0.110831	0.426225
ω	0.000798784	0.00629222	0.000558299	0.00139619	0.00576525	0.0148864	0.309194	0.490516	0.170593
n	3.91448e-05	0.000118983	7.56011e-05	0.000429209	0.00368437	0.0177263	0.041753	0.76874	0.167433
g	0.000249023	0.000366553	0.0014068	0.00847188	0.0251006	0.0377572	0.141585	0.577339	0.207724
ω	0.000159564	9.33574e-05	0.000284059	0.00286368	0.0311057	0.114626	0.0552358	0.51002	0.285612
</S>	0.000201942	0.00081565	0.000720406	0.00271944	0.0200988	0.016915	0.413249	0.0468409	0.498439
