 	il	l'	a	rangé	au-dessous	</S>
w	0.966545	0.0263405	0.00243207	0.00430313	0.000310802	6.85695e-05
a	0.943789	0.0200087	0.00328965	0.0323269	0.000558774	2.69162e-05
á	0.170334	0.730988	0.0769834	0.00805019	0.0021403	0.0115034
k	0.0296159	0.760557	0.163174	0.0258774	0.0079326	0.0128433
a	0.0311845	0.490838	0.367716	0.0376152	0.0191373	0.0535089
n	0.0027669	0.298638	0.626171	0.0196614	0.0464862	0.0062768
i	0.0500176	0.320586	0.544467	0.0378351	0.0206412	0.0264526
m	0.0947206	0.0645464	0.127925	0.627331	0.0753138	0.0101629
ú	0.00197415	0.0034925	0.0164743	0.967189	0.00505533	0.00581436
a	0.00191018	0.0183763	0.197313	0.699513	0.0155174	0.0673696
m	0.00179139	0.0229599	0.304761	0.179058	0.398592	0.0928366
ó	0.000438163	0.00164006	0.0149461	0.135818	0.0130748	0.834083
t	0.00219465	0.00970875	0.0368975	0.114384	0.727519	0.109296
s	0.000939281	0.00849251	0.0183003	0.0523144	0.880918	0.039036
é	0.000783505	0.00478016	0.0150759	0.0522042	0.861074	0.0660824
</S>	0.000345539	0.00360682	0.0213975	0.0985916	0.555367	0.320691
