 	ma	femme	a	accouché	d'	un	garçon	</S>
m	0.924123	0.0535233	0.00983621	0.00334141	0.00287221	0.00435998	0.00178422	0.000159336
w	0.00145071	0.997883	0.000524116	5.0185e-05	1.7446e-05	8.71591e-06	4.63801e-05	1.96829e-05
á	0.195489	0.740409	0.00566823	0.00237506	0.00372683	0.0025565	0.0493328	0.000443145
s	0.9524	0.0410459	0.00174747	0.00164079	0.000342871	0.000524724	0.00134938	0.000949059
í	0.335008	0.155543	0.0777597	0.0411248	0.0980163	0.0432664	0.0100642	0.239218
y	0.560331	0.0687421	0.290182	0.01494	0.00888903	0.0291256	0.00108626	0.0267035
a	0.323706	0.0317492	0.404762	0.0298487	0.0796916	0.0700496	0.00493047	0.0552628
n	0.824326	0.0082422	0.137227	0.00527588	0.0045983	0.0075338	0.000298877	0.0124976
g	0.95575	0.021105	0.0107634	0.00665118	0.0013669	0.00142235	0.000137525	0.00280337
á	0.340111	0.225896	0.259619	0.0836276	0.0153087	0.0139895	0.00341571	0.0580324
á	0.0492576	0.000713865	0.837734	0.0590148	0.021188	0.020245	0.000634981	0.0112118
b	0.00266492	0.000524992	0.0847164	0.762311	0.11247	0.0132763	0.00110971	0.0229266
ó	0.00212767	4.79193e-05	0.0241191	0.904162	0.0454114	0.0095369	0.000750875	0.0138444
r	0.010111	0.00035756	0.0581104	0.717134	0.159697	0.0259745	0.00249096	0.0261251
i	0.102889	0.000155509	0.102995	0.377813	0.236884	0.0727374	0.00122857	0.105297
m	0.0170299	0.000289349	0.129119	0.0474731	0.247011	0.448864	0.077302	0.0329118
w	0.00508064	0.00909807	0.00381626	0.00381363	0.0195003	0.046277	0.900368	0.0120464
á	0.00128008	0.000115269	0.00687002	0.0405265	0.314125	0.286857	0.289011	0.061215
n	0.145679	0.000455495	0.0277836	0.0134308	0.264465	0.260517	0.113937	0.173732
a	0.0578075	0.00187147	0.0120366	0.00934371	0.435914	0.173494	0.0734524	0.236081
i	0.00193697	7.04076e-05	0.0330146	0.0143912	0.392357	0.354726	0.0211451	0.182359
b	0.00342583	0.000289113	0.00397148	0.000930296	0.195221	0.389571	0.12867	0.277921
a	0.00117726	0.000679667	0.00333153	0.0123781	0.0777605	0.192749	0.667569	0.0443549
a	0.000926595	3.71133e-05	0.00254492	0.0157458	0.151961	0.0931535	0.15649	0.579141
</S>	0.00166208	1.15185e-05	0.0188456	0.0110976	0.0476912	0.173826	0.0265387	0.720328
