 	l'	homme	qui	a	reçu	les	balles	respire	encore	</S>
m	0.548104	0.224454	0.11304	0.0229806	0.0279503	0.0328328	0.0270049	0.00173626	0.00119757	0.00069981
o	0.113398	0.824408	0.0275947	0.0109339	0.0139274	0.00267402	0.00167246	0.000327165	0.000424926	0.00463951
r	0.246436	0.709291	0.013226	0.00480159	0.00693472	0.00695074	0.00387093	0.00247083	0.000461412	0.00555698
o	0.301268	0.298656	0.15021	0.0706953	0.0872903	0.0317779	0.0156701	0.00910846	0.00612598	0.029198
y	0.298271	0.091935	0.448013	0.080657	0.0494076	0.0144997	0.00541381	0.000807089	0.000812713	0.0101824
e	0.364351	0.0655591	0.263205	0.0934617	0.0990564	0.0364511	0.0179668	0.0349734	0.00575162	0.0192236
e	0.248165	0.00956103	0.32336	0.171025	0.152522	0.0389754	0.0136681	0.00995169	0.00512711	0.0276454
n	0.0313721	0.0488644	0.0799304	0.234078	0.125121	0.219421	0.125036	0.0648756	0.0116849	0.0596154
ώ	0.151404	0.036015	0.180739	0.184208	0.291705	0.0564339	0.0317385	0.00143731	0.00360367	0.0627162
n	0.0279105	0.0152811	0.209887	0.227199	0.337431	0.104503	0.0543857	0.00215549	0.00429388	0.0169535
g	0.0801304	0.0262273	0.155499	0.237849	0.329335	0.0904997	0.0404648	0.00551079	0.00214049	0.0323434
í	0.0583798	0.0247172	0.19677	0.181485	0.350272	0.0942117	0.030778	0.0071475	0.00256022	0.0536793
a	0.0103095	0.000393042	0.0679032	0.151504	0.257544	0.29385	0.183419	0.0240115	0.0035415	0.00752397
t	0.00433109	0.0038068	0.0210278	0.117448	0.0769018	0.181585	0.455047	0.0686387	0.045474	0.02574
s	0.00039339	0.000561857	0.010629	0.08166	0.0527722	0.19236	0.224824	0.313968	0.0767823	0.0460488
w	0.00116144	0.000835876	0.0195115	0.0785908	0.0769051	0.207079	0.248964	0.282479	0.0604571	0.0240163
ω	0.00158566	0.000526169	0.00910756	0.0602822	0.0630344	0.20153	0.165718	0.405021	0.0191492	0.074046
a	0.00110446	0.000751372	0.018145	0.0448189	0.0811064	0.122296	0.203243	0.435595	0.0186031	0.0743379
s	0.00305224	0.000976429	0.00985647	0.0255742	0.036677	0.0553981	0.276239	0.316369	0.179289	0.0965687
á	0.00457634	0.00077912	0.0103516	0.0212337	0.0302171	0.0154519	0.112746	0.272147	0.166773	0.365725
a	0.00298893	0.000333952	0.00547919	0.0158216	0.0282425	0.0257105	0.0720404	0.168727	0.487142	0.193514
l	0.00177088	0.000743673	0.0027082	0.00659731	0.00782182	0.0138929	0.0664485	0.229228	0.450864	0.219925
á	0.00263277	0.000902982	0.00941146	0.0165991	0.0132012	0.0117511	0.0432817	0.108204	0.560264	0.233751
a	0.00544052	0.000585948	0.0097784	0.0216553	0.0281074	0.0149112	0.0360174	0.120016	0.506616	0.256872
f	0.00382806	0.0015579	0.00305523	0.00489735	0.00609316	0.00879466	0.032465	0.225079	0.409284	0.304946
w	0.000562989	0.000987781	0.00802311	0.0105659	0.00790261	0.0181837	0.0482401	0.497682	0.289763	0.118089
ε	0.00346198	0.00109082	0.00396455	0.00427819	0.00509118	0.0159686	0.0351728	0.658935	0.164657	0.10738
m	0.000452414	0.00037274	0.00199376	0.00232701	0.0049813	0.0134333	0.0432536	0.265089	0.103394	0.564702
ε	0.0044789	0.00144687	0.00599912	0.00436105	0.00860189	0.0180203	0.0333734	0.680116	0.0705536	0.173049
</S>	0.00539435	0.000627412	0.0030941	0.0044758	0.00916835	0.011796	0.0430272	0.0727222	0.0520663	0.797628
