 	qui	est	ce	qui	vérifie	mes	nasses	</S>
o	0.726552	0.204824	0.0450843	0.0110724	0.000912575	0.00622169	0.00423146	0.00110196
l	0.0128452	0.0580116	0.0179539	0.063834	0.81908	0.00589562	0.018024	0.00435601
ώ	0.00393522	0.0529241	0.0649858	0.0491542	0.757356	0.00621267	0.0108619	0.0545706
n	0.0042485	0.1021	0.134103	0.0615588	0.570952	0.00882469	0.0210939	0.0971188
g	0.109897	0.162678	0.187424	0.17331	0.191981	0.0821344	0.0567299	0.0358459
i	0.162865	0.0432407	0.165625	0.0752707	0.0759903	0.294113	0.0735605	0.109335
i	0.0731073	0.0298207	0.186008	0.172662	0.0450925	0.379114	0.049481	0.064714
k	0.0190371	0.0309486	0.0739506	0.139045	0.0767372	0.205314	0.26914	0.185828
ω	0.00378613	0.00239562	0.00309013	0.00283669	0.0216052	0.0481095	0.888934	0.0292429
n	0.000547724	0.00077321	0.00215751	0.00254955	0.00504692	0.0485156	0.928335	0.0120749
y	0.00568855	0.00417567	0.00677418	0.0163839	0.380068	0.135792	0.376555	0.0745632
i	0.00531009	0.00810461	0.0157183	0.0442274	0.561581	0.138464	0.10706	0.119535
m	0.00518159	0.00519588	0.0224054	0.0933416	0.081857	0.6128	0.0863703	0.0928483
á	0.0643347	0.0683152	0.115961	0.069748	0.0134058	0.388059	0.0519382	0.228237
n	0.0124995	0.00438113	0.0112147	0.0146379	0.00645749	0.46719	0.364889	0.118731
g	0.00165717	0.00023068	0.00164966	0.030991	0.0108717	0.854269	0.0225487	0.0777819
á	0.0010636	0.000393536	0.00253497	0.0436779	0.0358651	0.634662	0.082604	0.199199
n	0.0017467	0.00140748	0.00534659	0.0054354	0.011266	0.288726	0.504523	0.181548
d	0.00390052	0.00208717	0.00806774	0.0271511	0.0529453	0.418517	0.0790616	0.40827
a	0.000865445	0.000348413	0.00141719	0.0103342	0.0376411	0.177749	0.0625762	0.709068
</S>	7.33195e-05	0.000223546	0.00116152	0.00236875	0.033906	0.0258601	0.123742	0.812665
