 	tu	ne	veux	jamais	reconnaître	tes	actes	même	si	on	te	prends	la	main	dans	le	sac	tu	n'	acceptes	pas	</S>
n	0.33879	0.0671536	0.0967895	0.167065	0.18275	0.0686545	0.0336096	0.0284816	0.00250639	0.00739156	0.00136308	0.00113936	0.00074511	0.000456457	0.000410066	0.000661648	0.000293301	0.00074853	0.00037648	0.000462596	9.27487e-05	5.85798e-05
ω	0.485109	0.0123646	0.015225	0.0450823	0.0884606	0.28005	0.043841	0.0181091	0.00194507	0.00176272	0.00512382	0.000107231	0.000208777	6.77427e-05	0.000192944	0.000694924	0.000375927	0.000885725	4.44383e-05	1.80557e-05	0.000207563	0.000123181
o	0.149695	0.169685	0.0208801	0.0389736	0.131889	0.133545	0.186759	0.0344925	0.0389713	0.0184366	0.0187215	0.000980715	0.00371508	0.000767396	0.00135931	0.00722565	0.021663	0.00659701	0.00113563	0.000242113	0.00161675	0.0126476
d	0.00696453	0.370161	0.0531058	0.03829	0.017302	0.00886314	0.0256082	0.0147369	0.080924	0.0251683	0.00647287	0.0483996	0.045215	0.0708598	0.0291153	0.00979686	0.00458183	0.00044981	0.0123509	0.0163629	0.0212318	0.094039
í	0.0114139	0.329353	0.0325803	0.0344041	0.0575868	0.0557454	0.0949742	0.018378	0.103494	0.00621815	0.00806318	0.00291278	0.0117051	0.00319392	0.00926366	0.00490833	0.00188156	0.000230349	0.000760429	0.000393215	0.008464	0.204076
l	0.00427501	0.0702624	0.0982418	0.121078	0.0322994	0.0341132	0.0825479	0.0599668	0.0557409	0.0418824	0.0183163	0.0192187	0.0476202	0.012327	0.0373716	0.0290428	0.00756535	0.0026658	0.00815749	0.00325185	0.0157539	0.198301
e	0.0677963	0.0720154	0.048999	0.0525652	0.0359272	0.0423867	0.075816	0.072669	0.0613342	0.0638945	0.0495385	0.014367	0.0267346	0.00827387	0.0224991	0.038984	0.0410302	0.0379666	0.00625282	0.0021825	0.00574548	0.153022
t	0.00839312	0.158388	0.0842742	0.0457304	0.0474244	0.0469308	0.0678924	0.0309684	0.0566664	0.0360284	0.0411447	0.00640803	0.0202526	0.00755959	0.0170326	0.034089	0.024926	0.0155151	0.00756271	0.00205376	0.00756656	0.233193
ó	0.00213931	0.162883	0.160397	0.0705977	0.0596497	0.0518918	0.0826274	0.0347389	0.116704	0.0317796	0.0240321	0.0251089	0.0174705	0.0216299	0.00811335	0.0133937	0.0321075	0.0013375	0.00910463	0.00440103	0.0094503	0.0604429
n	0.00806688	0.240987	0.120456	0.0383288	0.0541154	0.0514377	0.0794104	0.0411261	0.083709	0.0406624	0.0205466	0.0279767	0.0230267	0.0174198	0.0145149	0.00923347	0.0103687	0.00471809	0.00605562	0.0030976	0.00468611	0.100056
