 	j'	ai	perdu	toutes	mes	cuillères	</S>
n	0.884507	0.0652159	0.0185444	0.015843	0.00997388	0.00540231	0.000513116
g	0.934324	0.0340971	0.00385458	0.00278722	0.0232536	0.00157625	0.000107305
á	0.962278	0.029652	0.00289256	0.00129919	0.00278793	0.00104286	4.7547e-05
a	0.143171	0.330004	0.135074	0.0367118	0.0644252	0.0285028	0.262111
l	0.0113263	0.438641	0.409096	0.0722019	0.0150432	0.00878218	0.0449101
ó	0.00960479	0.332975	0.428737	0.108243	0.0186151	0.0155846	0.0862405
r	0.0176579	0.254977	0.522389	0.144119	0.0161382	0.0151763	0.0295426
o	0.0703377	0.250799	0.365526	0.228904	0.0591425	0.0109102	0.0143805
á	0.0154049	0.0931834	0.106367	0.55622	0.1764	0.0304581	0.0219669
m	0.036813	0.101678	0.138072	0.239712	0.406849	0.0528934	0.0239817
i	0.000810435	0.0675168	0.0891107	0.255628	0.334223	0.0564449	0.196265
l	0.000271727	0.0362864	0.152242	0.438695	0.130015	0.112379	0.13011
é	0.00060035	0.020591	0.105525	0.327613	0.131879	0.179615	0.234176
m	0.000735151	0.0220659	0.0644516	0.220916	0.164777	0.418462	0.108592
b	0.000119343	0.00792911	0.0240697	0.138019	0.143305	0.206015	0.480543
á	0.000439882	0.00660341	0.0601098	0.0789447	0.242973	0.312143	0.298786
á	0.000784458	0.00603561	0.0171108	0.0581553	0.235344	0.430706	0.251864
t	0.00200835	0.0207176	0.0256912	0.0294772	0.177361	0.296491	0.448254
s	0.00105971	0.00704531	0.0217467	0.0755317	0.0930018	0.525802	0.275813
ω	0.000484778	0.0014714	0.00993556	0.0205433	0.0462076	0.8054	0.115958
</S>	0.000249464	0.00182393	0.00673423	0.02597	0.0749471	0.276518	0.613757
