 	nous	sommes	arrivés	au	bout	de	cette	route	</S>
b	0.328139	0.537497	0.0665809	0.034761	0.00587888	0.00885438	0.00810762	0.00958808	0.000593523
í	0.842071	0.0399031	0.0843228	0.0118604	0.00283355	0.007174	0.0113863	0.000267984	0.000180596
s	0.85427	0.0353099	0.105931	0.00200455	0.000679726	0.000829505	0.000897937	1.35851e-05	6.373e-05
í	0.22172	0.121844	0.589372	0.0117748	0.00827039	0.0138887	0.0310614	0.00012517	0.00194322
l	0.0781792	0.214225	0.25634	0.0790583	0.035359	0.0281531	0.0317956	0.00305599	0.273834
é	0.00551103	0.054066	0.350117	0.0943123	0.0766734	0.0542462	0.0400119	0.00123414	0.323828
s	0.00871952	0.316546	0.330087	0.213537	0.055578	0.0278686	0.0254008	0.000558458	0.0217044
ú	0.00078025	0.0533173	0.753861	0.110978	0.0510954	0.00842332	0.00719243	0.000560759	0.0137911
ú	0.00980665	0.116482	0.328833	0.336302	0.0835346	0.0275979	0.0355267	0.000961969	0.0609544
s	0.00352093	0.119659	0.104569	0.516834	0.119231	0.0582682	0.0549673	0.00323941	0.019712
u	0.00607004	0.0622868	0.0782782	0.242596	0.358392	0.0884711	0.125903	0.00395156	0.0340516
k	0.00411258	0.0280342	0.0274316	0.27206	0.461254	0.100047	0.0592139	0.0114213	0.0364251
á	0.00676205	0.0321458	0.0387337	0.43533	0.205611	0.0727691	0.00575096	0.154	0.0488976
á	0.0311074	0.126264	0.0919396	0.201322	0.216579	0.095244	0.0278164	0.0604607	0.149267
w	0.00220875	0.0198715	0.0332701	0.0505281	0.202801	0.301739	0.307957	0.0388967	0.0427283
o	0.00413519	0.0255063	0.0292628	0.159827	0.154904	0.159006	0.154732	0.142181	0.170445
</S>	0.00887823	0.00975441	0.00569084	0.0476056	0.0895408	0.157592	0.115471	0.316538	0.248929
