 	ils	ont	coupé	l'	arbre	olondo	qui	était	dans	mon	champ	</S>
b	0.957413	0.0354307	0.00162705	0.002168	0.00189864	7.08041e-05	0.000302207	2.00209e-05	5.7584e-05	0.000987294	1.15737e-05	1.31415e-05
á	0.907125	0.0804796	0.00260618	0.00434932	0.00218989	0.000120026	0.000242817	3.33334e-05	0.000162674	0.0026737	7.28993e-06	9.89549e-06
a	0.254309	0.627445	0.0603595	0.012746	0.00510544	0.00495613	0.00239223	0.00457472	0.00323189	0.00574791	3.10917e-05	0.0191014
á	0.160888	0.65755	0.0819962	0.0190531	0.00988699	0.00298143	0.0128673	0.00491664	0.00440358	0.00348154	3.8632e-05	0.0419369
l	0.000781728	0.0965145	0.751752	0.0419503	0.0177806	0.0673407	0.00254785	0.00712294	0.0065464	0.00127478	0.000369403	0.00601899
ε	9.52852e-05	0.0478593	0.71425	0.0653521	0.0335902	0.0984283	0.00251988	0.0209611	0.00734752	0.00158743	0.000559823	0.00744904
n	0.000524926	0.0316372	0.521545	0.203095	0.0699674	0.0505699	0.0112916	0.052115	0.00862794	0.00562411	0.00136213	0.0436393
g	0.0116704	0.064577	0.223757	0.368477	0.152698	0.00607038	0.0247472	0.0112658	0.0106644	0.112038	0.0066687	0.00736572
i	0.0178768	0.0262261	0.156956	0.331216	0.188204	0.00619576	0.0470524	0.00974291	0.0157078	0.162555	0.0221705	0.016096
o	0.0188837	0.0391188	0.0542285	0.428233	0.357066	0.00878514	0.0508646	0.0030389	0.00644646	0.0161825	0.00106771	0.0160843
l	0.000354324	0.00362241	0.0245654	0.185552	0.277484	0.486335	0.00587795	0.00568612	0.00643622	0.000789697	0.000362828	0.00293339
o	3.14033e-05	0.00119328	0.0250336	0.108998	0.175148	0.657578	0.00500159	0.00991785	0.00535142	0.000449802	0.000617225	0.01068
n	1.54847e-05	0.000416006	0.0140455	0.0616219	0.0929018	0.777624	0.00810574	0.0114431	0.00257251	0.000313005	0.00120892	0.029732
d	0.000606692	0.00754805	0.0882171	0.186223	0.171884	0.407041	0.0354908	0.0064057	0.00816139	0.00419282	0.00416376	0.0800656
ó	0.000602814	0.00229582	0.0442297	0.0853497	0.0598611	0.485804	0.015613	0.00862544	0.00945124	0.00254397	0.00446455	0.281159
m	0.00410152	0.0212641	0.0339384	0.136118	0.161703	0.113257	0.42739	0.0195698	0.0266198	0.00959683	0.000620466	0.0458215
ó	0.003141	0.00376401	0.00710132	0.0849427	0.191206	0.0840731	0.399407	0.0154222	0.0465048	0.055544	0.000321873	0.108572
ó	0.0050514	0.00609885	0.00536936	0.057487	0.16659	0.386422	0.143133	0.0863315	0.0501388	0.0158648	0.00616658	0.0713461
d	0.000749141	0.0166525	0.0202467	0.0338532	0.0957337	0.387183	0.0619133	0.248639	0.124125	0.00471368	0.000252535	0.00593787
z	2.82859e-05	0.000653201	0.00232862	0.00509554	0.0234787	0.0455883	0.00810124	0.67408	0.209037	0.00102195	0.000691849	0.0298955
e	7.1047e-05	0.000472581	0.00250756	0.0105667	0.0425951	0.157104	0.0409116	0.691961	0.0360516	0.00291658	0.00224319	0.0125987
s	0.00012054	0.000980827	0.00198536	0.0107313	0.0421768	0.0217899	0.0659217	0.422599	0.291454	0.01077	0.00336796	0.128103
á	3.91267e-05	0.000136203	0.00292782	0.0050902	0.0107964	0.0193374	0.024301	0.220704	0.355667	0.0951878	0.035374	0.230439
n	0.000173136	0.00121675	0.00278565	0.00899523	0.0243434	0.0133761	0.136018	0.218654	0.309146	0.128957	0.096737	0.0595985
g	2.87285e-05	3.96444e-05	0.000615718	0.00136435	0.00123723	0.00152695	0.014358	0.0256642	0.0290579	0.219443	0.65702	0.0496439
o	3.67561e-05	6.23303e-05	0.000153457	0.000461197	0.000902746	0.00269067	0.0170481	0.00662987	0.0093924	0.0309104	0.924146	0.00756598
n	6.59624e-07	3.62166e-06	0.00010647	0.000327625	0.000751789	0.00306013	0.00604185	0.0096538	0.0135847	0.0328832	0.853713	0.0798735
d	0.000103385	0.00028301	0.00237434	0.00266323	0.00356214	0.00400595	0.0411101	0.0489362	0.072645	0.0553456	0.106587	0.662385
a	0.000166803	0.000161919	0.00176032	0.0031422	0.00360498	0.0220005	0.0604596	0.0313979	0.0411768	0.0761897	0.375058	0.384882
y	0.000120156	0.000505615	0.000713916	0.00170236	0.00421319	0.00387812	0.0406184	0.0233883	0.169229	0.246988	0.0712358	0.437406
á	0.000476206	0.00198585	0.00289604	0.00899104	0.0162451	0.00114234	0.0681771	0.0180025	0.0898585	0.528536	0.0444847	0.219204
n	0.000746253	0.00222149	0.00417998	0.0124923	0.0180397	0.00245109	0.0416654	0.0161077	0.0341424	0.489548	0.286603	0.0918027
g	1.726e-05	1.44722e-05	8.11819e-05	0.000271282	0.000286686	0.000128794	0.00126965	0.001868	0.00254443	0.199688	0.776585	0.0172458
á	2.4e-05	1.81956e-05	2.68921e-05	0.000108217	0.000242768	0.000658479	0.00496769	0.00203878	0.00233559	0.0918613	0.862655	0.0350632
</S>	3.64658e-05	0.000152919	0.000375129	0.00121913	0.0011143	0.000502505	0.0146466	0.0143346	0.0467237	0.162368	0.0850984	0.673428
