 	le	prêtre	fait	du	bien	aux	pauvres	</S>
p	0.598181	0.32694	0.0255482	0.0085105	0.0239028	0.0138219	0.00238264	0.000712409
έ	0.0689097	0.898421	0.00889134	0.00576601	0.00322586	0.00203833	0.0119874	0.000760674
l	0.0494965	0.764916	0.0537793	0.0566934	0.0165283	0.0164225	0.0125902	0.0295742
ε	0.025678	0.897601	0.0297081	0.0172712	0.00896373	0.00623037	0.00477121	0.00977688
l	0.330398	0.136117	0.435713	0.0449731	0.0179469	0.0199254	0.00157332	0.0133534
á	0.144343	0.118399	0.296478	0.0750363	0.0393486	0.0473013	0.00723081	0.271863
a	0.479033	0.028034	0.221833	0.123016	0.0310807	0.0770524	0.0105729	0.0293782
y	0.0095262	0.0191942	0.233493	0.585311	0.0958296	0.0172771	0.0163693	0.0229997
a	0.0138817	0.00637755	0.206777	0.665778	0.0325536	0.0176228	0.00957327	0.0474361
m	0.0167537	0.0043278	0.176643	0.589906	0.0277589	0.0250626	0.0117178	0.147831
b	0.00626112	0.00246691	0.184897	0.561329	0.0693713	0.079489	0.0122667	0.0839192
á	0.0488042	0.0324788	0.0649779	0.15479	0.173664	0.081816	0.059253	0.384217
a	0.0104106	0.00371715	0.0583149	0.14938	0.151207	0.50175	0.0946974	0.0305223
k	0.0031261	0.00263475	0.0143594	0.0741693	0.256028	0.178	0.449029	0.022653
á	0.000329891	0.0010714	0.00423528	0.0645359	0.335579	0.0223243	0.524255	0.0476691
m	0.000970931	0.0079639	0.0157703	0.0990729	0.252716	0.0321679	0.466378	0.12496
b	0.00163961	0.000502957	0.01549	0.0850829	0.158778	0.275682	0.238348	0.224476
e	0.0087526	0.00381977	0.0109578	0.0681146	0.260552	0.12886	0.26797	0.250974
</S>	0.00505323	0.00526572	0.0185863	0.0345506	0.100349	0.141402	0.180317	0.514476
