 	l'	alcool	de	maïs	rend	soûl	</S>
o	0.860961	0.0403104	0.0522956	0.0187208	0.00579178	0.0206937	0.00122675
n	0.0818272	0.87913	0.0169513	0.00681155	0.0117356	0.00127533	0.00226894
g	0.0350286	0.748781	0.0337115	0.121431	0.0372228	0.0115933	0.0122323
a	0.04041	0.946412	0.00417313	0.00439392	0.00293674	0.000319211	0.0013546
n	0.472325	0.230387	0.118516	0.120355	0.027288	0.00431158	0.0268183
d	0.186349	0.239982	0.212321	0.0342589	0.0344675	0.011535	0.281088
a	0.213766	0.1896	0.211209	0.156198	0.082368	0.00873952	0.13812
m	0.0406034	0.0505721	0.644972	0.199753	0.0465485	0.0061166	0.0114344
ó	0.231505	0.0544982	0.338049	0.107203	0.173115	0.0136927	0.0819368
o	0.379939	0.0894506	0.208156	0.130529	0.100644	0.0299579	0.0613241
l	0.00737168	0.0277665	0.0779401	0.114457	0.69487	0.030731	0.0468632
á	0.00581194	0.0347857	0.0502901	0.155049	0.598699	0.0205033	0.134861
n	0.00906012	0.00242182	0.111308	0.531544	0.247581	0.0116141	0.0864706
g	0.00639118	0.00268878	0.0957514	0.582478	0.205518	0.0782385	0.0289342
á	0.0391358	0.00802828	0.0951912	0.633996	0.100761	0.0711055	0.0517822
s	0.00695925	0.00131779	0.0630189	0.205249	0.185229	0.44046	0.0977658
á	0.00879256	0.000542663	0.0167068	0.166826	0.39785	0.107837	0.301446
b	0.0433567	0.00151808	0.00803623	0.053687	0.115126	0.691309	0.0869668
a	0.000645532	6.68473e-05	0.0011261	0.00936876	0.00518982	0.978903	0.00469947
r	0.000457508	2.11939e-05	0.00301472	0.0236118	0.00810993	0.944197	0.020588
e	0.000611574	0.000181743	0.0113139	0.0666187	0.096005	0.340665	0.484604
</S>	0.00225443	0.00128184	0.063949	0.0830788	0.133665	0.171946	0.543826
