 	le	lingala	et	le	munukutuba	sont	deux	langues	du	congo	</S>
i	0.744079	0.229987	0.00370563	0.00149895	0.0147096	0.00308316	0.00208317	0.000280086	0.000327357	0.000217634	2.84942e-05
n	0.0740097	0.854532	0.00884262	0.00780366	0.0495625	0.000561937	0.000512009	0.000530392	0.000192234	0.00322554	0.000227651
g	0.0836826	0.832522	0.0230792	0.0202377	0.0177217	0.00518699	0.00529134	0.00727135	0.000727041	0.00208945	0.00219107
á	0.0885079	0.884714	0.0093571	0.00364044	0.00805025	0.000878887	0.00109508	0.00163342	8.91128e-05	0.000833584	0.00119984
l	0.22828	0.179838	0.215432	0.0673715	0.0195531	0.0492497	0.0361894	0.0513904	0.0309161	0.00264943	0.11913
a	0.0436605	0.319332	0.377352	0.0726823	0.012336	0.0208683	0.0192086	0.0299466	0.0256075	0.00251945	0.0764866
l	0.0734589	0.139613	0.254707	0.210656	0.0625007	0.0467212	0.0515344	0.0577173	0.0217563	0.00690095	0.0744345
a	0.0352296	0.212613	0.300189	0.194886	0.0669257	0.0288561	0.0216653	0.0578277	0.0206024	0.00408924	0.0571159
á	0.0572738	0.0642909	0.295008	0.255312	0.0502394	0.0789614	0.0716974	0.0409844	0.0333923	0.00307867	0.0497623
m	0.00288586	0.0335254	0.534274	0.303023	0.0740353	0.0106231	0.00990085	0.016999	0.00852087	0.000480683	0.00573147
u	0.00250599	0.006304	0.189623	0.307196	0.257006	0.0772917	0.0508411	0.089036	0.00896922	9.26587e-05	0.011135
n	0.00035294	0.00193086	0.0709735	0.314369	0.526278	0.012288	0.00475628	0.0595937	0.00342451	0.000368974	0.00566375
u	0.00666196	0.00797132	0.180707	0.530142	0.18933	0.0335692	0.0103483	0.019323	0.00547686	0.00214942	0.0143212
k	0.00303161	0.00348486	0.207929	0.371537	0.139596	0.177392	0.0288478	0.0218684	0.0189577	0.00175471	0.0256014
u	0.00570287	0.0036847	0.0773652	0.123785	0.692134	0.0572822	0.0156222	0.00476574	0.00299252	0.00313986	0.0135262
t	0.00395147	0.00115738	0.0207142	0.0687988	0.801878	0.0570543	0.00817221	0.00358357	0.00199786	0.00560789	0.0270841
ú	0.0229808	0.00181028	0.0164825	0.100819	0.658833	0.0738121	0.0167106	0.00396838	0.00838647	0.027233	0.0689637
b	0.00224702	0.000311225	0.0261019	0.0767305	0.044329	0.654287	0.125255	0.0240276	0.0254983	0.00089795	0.020315
a	0.0135844	0.00431878	0.0849904	0.138817	0.218217	0.222758	0.185356	0.0209554	0.034505	0.00128053	0.0752172
á	0.00171413	0.00233229	0.0218246	0.0187049	0.0243486	0.285307	0.420788	0.0839451	0.0361503	0.0027446	0.102141
d	0.000868811	0.00183341	0.0195004	0.0138421	0.00514291	0.123045	0.215144	0.481513	0.0982152	0.0020547	0.03884
i	0.000970224	0.000747276	0.0185716	0.0169173	0.00609421	0.203252	0.153715	0.372052	0.10616	0.00372149	0.117799
m	0.000845245	0.000354192	0.00999514	0.0291732	0.0141709	0.137159	0.212127	0.325582	0.185495	0.0355893	0.0495086
í	0.000737545	0.000128858	0.00139023	0.0124516	0.0213969	0.149596	0.30046	0.351226	0.0831862	0.0041587	0.0752676
e	0.00161597	0.0002861	0.00173957	0.0124529	0.0161261	0.0773143	0.176615	0.36166	0.166792	0.146359	0.0390395
m	0.000349316	0.000199584	0.00174671	0.00624043	0.00419689	0.0109408	0.0469819	0.481062	0.26954	0.119795	0.0589473
á	0.000643761	0.000387856	0.00319465	0.0119909	0.00745278	0.0541324	0.104558	0.543216	0.167382	0.0202487	0.0867933
k	0.000629437	0.000299294	0.00279398	0.0057656	0.00444801	0.030672	0.106449	0.213115	0.188825	0.319679	0.127324
o	0.000197204	4.01282e-05	0.000188956	0.0010116	0.00427956	0.00632672	0.0103215	0.0302736	0.0412818	0.83964	0.0664392
n	0.000446216	1.25053e-05	0.000570292	0.00606163	0.0201444	0.0164015	0.0100992	0.0413665	0.113732	0.667069	0.124096
g	0.000967941	0.00014834	0.00286779	0.0209461	0.0274601	0.012136	0.0190308	0.114688	0.179009	0.416836	0.205911
o	0.00032971	0.000424208	0.0023794	0.00414618	0.0147389	0.0135184	0.0215718	0.030973	0.0286153	0.712405	0.170898
</S>	0.000416633	0.000335293	0.00354842	0.00476405	0.00148764	0.0154286	0.0371129	0.0564236	0.201994	0.126316	0.552172
