 	il	est	venu	l'	accuser	</S>
w	0.729482	0.235061	0.0177363	0.0142201	0.00275928	0.00074097
a	0.56386	0.320944	0.019664	0.0889912	0.00484473	0.00169588
á	0.0802019	0.444203	0.394185	0.0650197	0.00179593	0.0145947
y	0.0320872	0.213442	0.491352	0.168847	0.0241116	0.0701603
ε	0.00626366	0.0634576	0.48777	0.187709	0.0170443	0.237755
ε	0.04122	0.116994	0.375622	0.317621	0.00680757	0.141735
o	0.0319954	0.11824	0.15853	0.465845	0.122873	0.102516
f	0.00128849	0.00732871	0.0633724	0.178491	0.692792	0.0567278
ú	0.00184107	0.0114689	0.0610029	0.0884244	0.667595	0.169668
n	0.00265141	0.0188135	0.027945	0.136699	0.637669	0.176223
d	0.0333867	0.0281841	0.00863749	0.092377	0.778418	0.0589963
á	0.0973097	0.0662476	0.0200922	0.0993907	0.603394	0.113565
w	0.0627868	0.0933963	0.0582774	0.335181	0.313547	0.136811
a	0.212839	0.144783	0.0302906	0.263995	0.0650568	0.283035
</S>	0.0313597	0.0160249	0.0188438	0.116914	0.079292	0.737566
