 	l'	amitié	en	question	prendra	fin	aujourd'	hui	</S>
o	0.506368	0.312604	0.152668	0.00924115	0.00701621	0.001835	0.00904973	0.00112303	9.58989e-05
n	0.0412483	0.909475	0.0278529	0.013207	0.000992828	0.00420675	0.00146228	0.000177938	0.00137711
d	0.0155298	0.927047	0.0313238	0.0175334	0.00357283	0.00357233	0.00018917	0.000177019	0.00105439
ú	0.0153546	0.964843	0.00597242	0.0125016	0.000306998	0.000377143	2.01245e-05	8.44779e-06	0.000616089
ú	0.00732547	0.952201	0.010753	0.0215362	0.0013068	0.00427007	0.00035507	0.000243561	0.00200851
m	0.19752	0.127312	0.41364	0.105502	0.0874888	0.00613926	0.018275	0.00263557	0.0414861
ú	0.568907	0.148513	0.129842	0.127891	0.0185803	0.00130581	0.00273984	7.18165e-05	0.0021488
a	0.140163	0.0630485	0.387366	0.30354	0.0446885	0.0062013	0.00963872	0.00463387	0.0407197
m	0.182864	0.0135622	0.167288	0.212207	0.209535	0.119623	0.0148948	0.00378913	0.0762362
έ	0.0405552	0.00518806	0.0274142	0.614579	0.244021	0.0498511	0.00638435	0.000196586	0.0118107
n	0.0789016	0.0210288	0.112534	0.289132	0.290379	0.13374	0.0322124	0.00254744	0.0395245
έ	0.0390761	0.0350541	0.0371646	0.347988	0.11613	0.397702	0.012608	0.00011387	0.0141631
m	0.0156657	0.00353158	0.0612978	0.157801	0.391848	0.244612	0.0908884	0.000640642	0.0337138
ó	0.0772451	0.0128635	0.0343379	0.36824	0.277073	0.0859814	0.0540007	0.0017276	0.0885302
o	0.0619581	0.00912375	0.0893895	0.0927855	0.283898	0.159973	0.168042	0.0724771	0.0623538
s	0.00320154	0.00884126	0.00346018	0.0322055	0.119091	0.663808	0.0633025	0.0806517	0.0254387
í	0.000371184	0.0012207	7.19457e-05	0.00202514	0.00235536	0.989704	0.00167977	0.000890201	0.00168175
á	0.00294154	0.000784279	0.00212867	0.0212158	0.0393901	0.495979	0.0991642	0.0702765	0.26812
p	0.00239716	0.000445906	0.005217	0.00810088	0.0222815	0.0402213	0.437245	0.383386	0.100705
á	9.04e-05	8.1311e-05	0.000368398	0.000269298	0.00138953	0.00125329	0.0115183	0.959903	0.0251266
b	0.000272592	7.11795e-05	0.000183143	0.000166902	0.00116637	0.00945668	0.0080134	0.95716	0.02351
h	0.000540658	9.36013e-05	0.00214448	0.000663535	0.00483565	0.017107	0.081412	0.715871	0.177332
a	0.000793399	0.000755483	0.00192656	0.000816551	0.00775185	0.0483738	0.033721	0.759767	0.146095
</S>	0.00272887	0.00218739	0.00172063	0.00208966	0.0095232	0.0418394	0.137326	0.341322	0.461264
