 	cette	femme	est	criblée	de	dettes	</S>
o	0.846604	0.138015	0.00405694	0.00592014	0.00317889	0.00217425	5.09364e-05
y	0.116715	0.8565	0.0177098	0.00738783	0.000768732	0.000681525	0.000237372
ú	0.88467	0.110746	0.00185008	0.00115521	0.000441336	0.000471861	0.000664816
r	0.982715	0.0133706	0.000333336	0.000720544	0.00053638	0.000235354	0.00208845
u	0.893598	0.0738699	0.00861611	0.00729188	0.0075208	0.00374213	0.00536099
w	0.132816	0.0308461	0.739745	0.0242551	0.0416757	0.00271298	0.0279491
ó	0.395356	0.0525681	0.423446	0.0481576	0.0422839	0.0129857	0.0252025
á	0.0188111	0.00580857	0.821568	0.0601402	0.029012	0.0023477	0.0623121
m	0.00240882	0.00032423	0.390601	0.540712	0.0275259	0.010734	0.0276937
i	0.0168685	0.00338223	0.522579	0.329451	0.0729113	0.0204106	0.0343971
y	0.00316053	0.000560895	0.0580004	0.897298	0.0160166	0.0091691	0.0157941
í	0.0217577	0.000653475	0.142698	0.744165	0.0541766	0.0198595	0.0166902
n	0.0236979	0.00121075	0.211641	0.465482	0.135069	0.0333676	0.129533
á	0.020592	0.000120604	0.106164	0.546342	0.213189	0.0641284	0.0494641
m	0.0084376	0.000453179	0.0786537	0.110531	0.694959	0.080435	0.0265302
í	0.00939784	0.0129659	0.00517363	0.0319584	0.480651	0.35511	0.104743
b	0.00464796	0.00229114	0.0111066	0.0164379	0.11904	0.762675	0.0838017
y	0.000207692	3.0989e-05	0.000982008	0.0281654	0.030453	0.925142	0.0150192
é	4.91368e-05	4.77268e-06	0.000575933	0.059524	0.0198943	0.884846	0.0351054
m	0.00128403	4.60786e-05	0.0240102	0.301216	0.116079	0.392308	0.165056
b	0.00187524	5.41664e-06	0.00141782	0.0191272	0.113375	0.689307	0.174892
o	0.00238482	1.61671e-05	0.000854398	0.0586867	0.0628591	0.543605	0.331594
</S>	0.00641065	4.30861e-05	0.00331104	0.0246054	0.0529393	0.12767	0.785021
