 	les	aînés	incitent	les	jeunes	à	la	bagarre	</S>
a	0.631811	0.30323	0.0421737	0.0110289	0.00552082	0.00261545	0.00348136	0.000107746	3.19073e-05
n	0.0125035	0.860103	0.121879	0.000468269	0.000620631	0.000447	0.000740583	0.0027653	0.000473388
y	0.00717268	0.909101	0.0751243	0.00245601	0.00246923	0.00114725	0.0010773	0.000649016	0.000803139
s	0.00779336	0.965331	0.0219001	0.00198974	0.00162417	0.000335756	0.00024279	0.000217863	0.000565074
b	0.0151222	0.946849	0.0303644	0.00267139	0.00155195	0.000532327	0.000262697	0.00102735	0.00161914
h	0.0121186	0.953367	0.0112198	0.00521497	0.00280423	0.00114561	0.000598988	0.00440535	0.0091259
í	0.0283459	0.90226	0.0488938	0.00262419	0.000789962	0.00111462	0.000393142	0.000700247	0.0148785
b	0.351875	0.231856	0.0389753	0.242651	0.0271252	0.0143664	0.0142171	0.0025162	0.0764178
á	0.347102	0.0384319	0.0255637	0.26906	0.117077	0.0461511	0.0285089	0.00387757	0.124227
a	0.350007	0.00316134	0.0673514	0.452986	0.0746016	0.0142624	0.0125919	0.00705424	0.0179843
b	0.0233931	0.0255992	0.536545	0.169185	0.103439	0.0587357	0.0113967	0.0200351	0.0516709
v	0.0120643	0.0360212	0.720361	0.0986805	0.0580926	0.0410695	0.00590166	0.00746891	0.0203404
u	0.00379343	0.0178707	0.800675	0.0713463	0.0645618	0.0333035	0.0048866	0.00129222	0.00227017
n	0.0599733	0.0115698	0.562781	0.243119	0.0886634	0.0230957	0.00526459	0.00151148	0.00402197
ú	0.0107092	0.00659938	0.128354	0.471706	0.150525	0.152677	0.0595794	0.00197287	0.0178773
s	0.00806159	0.00188066	0.0113442	0.595173	0.203559	0.0989557	0.0737515	0.00118076	0.00609398
á	0.0163884	0.00495627	0.0404424	0.373709	0.278112	0.155996	0.0750046	0.0187257	0.0366657
b	0.00472998	0.00197188	0.00864576	0.175376	0.548252	0.106233	0.104903	0.0448294	0.00505964
á	0.019898	0.00480525	0.0152804	0.163984	0.494595	0.0859583	0.0438147	0.163067	0.00859739
n	0.00753364	0.000540817	0.00406421	0.125034	0.418991	0.165501	0.0864699	0.1507	0.0411643
a	0.0026459	0.00596402	0.0225365	0.0913113	0.525533	0.168538	0.0764455	0.0481242	0.0589013
b	0.000867282	0.000424011	0.00127284	0.093329	0.219836	0.286001	0.308315	0.0250437	0.0649113
á	0.00641946	0.00235298	0.00169506	0.0809241	0.375804	0.173447	0.0851565	0.171309	0.102892
n	0.00501573	0.00112591	0.00106921	0.0116302	0.0358753	0.0504732	0.120197	0.614586	0.160027
d	0.00561481	0.0171231	0.0109496	0.0322778	0.105664	0.141467	0.309794	0.0936721	0.283439
z	0.00235736	0.00620763	0.0050963	0.0170477	0.0878771	0.0977175	0.156214	0.288619	0.338863
é	0.000181834	0.00450401	0.0102414	0.00862467	0.030692	0.0880833	0.073378	0.571309	0.212986
s	0.00257555	0.0103137	0.0316664	0.0518836	0.114454	0.0717392	0.10304	0.119857	0.494471
i	0.00242328	0.0206655	0.00930872	0.0240523	0.0324298	0.0573088	0.0948993	0.349495	0.409417
</S>	0.00159786	0.000476967	0.000356848	0.00949744	0.0242389	0.0771408	0.124482	0.0442902	0.717919
