 	le	véhicule	qu'	il	vient	d'	acheter	est	encore	tout	neuf	</S>
o	0.819205	0.108998	0.0340719	0.0178706	0.00532755	0.0058474	0.00275843	0.0025266	0.00169769	0.000997948	0.000377482	0.000322306
t	0.0194433	0.975215	0.00317044	0.000143676	0.000277859	0.000230225	0.000280103	0.000170463	0.000323732	0.000369432	8.73634e-05	0.000288162
ω	0.01451	0.979704	0.00167617	0.000393291	0.000374679	0.000426758	0.000243662	0.000447088	0.000342432	0.000497088	0.000968991	0.000416136
m	0.00164016	0.99767	0.000350815	4.75063e-05	2.99088e-05	3.93825e-05	5.07475e-05	6.24482e-05	2.92135e-05	7.15884e-06	3.55469e-06	6.89832e-05
b	0.149496	0.315234	0.406455	0.0339699	0.0103602	0.0149902	0.00639052	0.0130367	0.00160728	0.00378964	0.00459558	0.0400751
í	0.444661	0.270282	0.075726	0.039386	0.0337745	0.0239375	0.00504933	0.0193426	0.0127001	0.00333143	0.00116657	0.0706429
l	0.16344	0.0523509	0.663619	0.0638333	0.013357	0.00791139	0.000176409	0.00643982	0.00225857	0.00114972	0.000769687	0.0246945
i	0.507949	0.082674	0.197173	0.0551497	0.0361499	0.0323206	0.00115559	0.0112089	0.0186598	0.00672808	0.00189474	0.0489367
m	0.290152	0.00729651	0.437117	0.17345	0.0444763	0.0152697	0.00743211	0.00376502	0.00392035	0.00285943	0.00124634	0.0130157
ó	0.11982	0.000686312	0.049307	0.195069	0.17079	0.32858	0.103158	0.0227005	0.00347448	0.000843587	0.000715011	0.00485617
ó	0.159587	0.010457	0.301374	0.285612	0.0856843	0.103159	0.027041	0.0141816	0.0040036	0.00224631	0.00214069	0.00451365
s	0.0294131	0.00192472	0.00884437	0.066752	0.0989922	0.0892169	0.663462	0.0241369	0.0105697	0.00154571	0.000832508	0.00431016
ó	0.001729	0.000686901	0.000912734	0.00548116	0.0379626	0.0243496	0.911355	0.00296694	0.00544234	0.00143762	0.00162448	0.00605122
m	0.0693991	0.00120993	0.0520148	0.053387	0.0741358	0.324292	0.381209	0.00540019	0.00980813	0.00328767	0.00350482	0.0223519
b	0.0612212	0.00130097	0.0294913	0.0803784	0.111001	0.299866	0.34301	0.0161253	0.0175344	0.00680269	0.0095924	0.0236768
í	0.0716724	0.00336892	0.0657602	0.241426	0.155103	0.100782	0.0222198	0.0767256	0.0248721	0.0221918	0.0123122	0.203567
w	0.010231	0.000155769	0.0529302	0.14552	0.178922	0.27462	0.0117078	0.191002	0.0616255	0.029715	0.0155942	0.0279756
a	0.0109871	0.000560503	0.0505393	0.286696	0.266575	0.153196	0.00551753	0.0996603	0.0180415	0.06567	0.0113555	0.0312007
ó	0.00625749	0.000213913	0.0351119	0.0469852	0.0651189	0.18474	0.0055287	0.219582	0.123371	0.160554	0.0687184	0.0838182
s	0.0212211	0.00631293	0.00887938	0.0206156	0.0515177	0.110266	0.0413769	0.300032	0.25449	0.0646102	0.0814985	0.0391794
á	0.0051572	0.0005222	0.00305569	0.00443598	0.0349384	0.197869	0.140086	0.112076	0.249493	0.034264	0.0281071	0.189996
a	0.00256809	0.000172849	0.00236004	0.00271355	0.0124723	0.0943189	0.00871794	0.0740381	0.141204	0.11103	0.233795	0.316609
ó	0.0021335	0.000212139	0.00255409	0.00535811	0.00822679	0.0203775	0.0026259	0.127023	0.234034	0.145387	0.228312	0.223758
t	0.0191154	0.0114471	0.00506366	0.00708112	0.0203577	0.118835	0.0725947	0.0975145	0.139425	0.0651877	0.369757	0.0736218
s	0.000544404	0.00271099	0.00132538	0.0037687	0.00618297	0.0139668	0.00106975	0.0293712	0.0175465	0.108589	0.711919	0.103006
ω	0.000758691	0.00118436	0.00124319	0.00306141	0.00311337	0.00288056	0.000263047	0.0159194	0.00790652	0.0791118	0.83413	0.0504277
p	0.000642706	0.000295964	0.00326622	0.00384166	0.00885788	0.0236947	0.000164706	0.0477485	0.0626655	0.140452	0.292526	0.415844
f	0.00126778	0.00131123	0.00514848	0.00598152	0.00475303	0.00377703	0.000126886	0.0285694	0.0139695	0.246369	0.555501	0.133225
ú	0.000743662	0.0037363	0.00119502	0.00217529	0.00190429	0.00320803	0.000129882	0.0149659	0.00639072	0.115477	0.774318	0.0757563
ú	0.00182493	0.000249894	0.000185355	0.000369119	0.000745753	0.00889484	8.92971e-05	0.00432316	0.00480612	0.0591549	0.575969	0.343388
</S>	0.0096597	0.000117181	0.0020198	0.00089164	0.00205473	0.0342505	0.000171253	0.0321105	0.101184	0.167527	0.150347	0.499667
