 	hier	soir	les	bandits	ont	ravi	de	l'	argent	à	ces	femmes-ci	</S>
a	0.961612	0.015861	0.00632678	0.00359625	0.000801739	0.00918439	0.000595674	0.000459637	9.30891e-05	0.000125745	0.000682551	0.000631682	2.96253e-05
p	0.665662	0.28521	0.0284512	0.0115517	0.00110251	0.00299408	0.000612636	0.00069252	0.000464286	0.000382102	0.00106701	0.00137775	0.000432123
f	0.432941	0.551047	0.00486806	0.00666987	0.000356512	0.00186143	0.000476243	0.000158757	3.81892e-05	0.000115065	0.000223004	0.000841957	0.000402581
é	0.409782	0.536433	0.0197199	0.0228378	0.00125693	0.00429009	0.00109122	0.000449313	0.000185127	0.000754597	0.00100545	0.000712604	0.00148238
é	0.211177	0.596867	0.0881674	0.0211732	0.0055273	0.00889823	0.00475601	0.00282985	0.00186074	0.00548968	0.00387761	0.00581505	0.0435615
á	0.163622	0.295325	0.396428	0.0536288	0.0242507	0.0046075	0.00187399	0.00156772	0.000667581	0.00489252	0.00353009	0.000775156	0.0488309
p	0.0130282	0.0714964	0.609876	0.142514	0.069243	0.0542815	0.00759732	0.00236356	0.00196372	0.00480802	0.00811871	0.00220192	0.0125076
i	0.0261996	0.322193	0.237994	0.339876	0.018938	0.0324222	0.00622042	0.00155795	0.000444881	0.0020541	0.0027963	0.00388618	0.00541717
n	0.0378956	0.182461	0.367412	0.303314	0.0308262	0.057534	0.00670994	0.00145792	0.0013064	0.00192767	0.00215144	0.00327879	0.00372447
y	0.0161416	0.18281	0.376351	0.31851	0.0483165	0.032374	0.00410006	0.00291375	0.0019202	0.00251999	0.00302642	0.00117816	0.00983894
i	0.0219558	0.179316	0.254007	0.361983	0.0399986	0.0357823	0.0121003	0.0154089	0.00352545	0.0124018	0.00468756	0.00240034	0.0564322
a	0.00300067	0.00479451	0.234655	0.236068	0.266138	0.154841	0.0222057	0.0282928	0.0243995	0.00854335	0.00343818	0.0005552	0.0130674
y	0.00169709	0.00193726	0.0413965	0.283115	0.270714	0.332487	0.0348954	0.00770481	0.0154957	0.00389615	0.00279635	0.00141917	0.00244509
ú	0.000510643	0.00143804	0.0297142	0.124278	0.0698587	0.558283	0.0936653	0.053075	0.0326924	0.0118325	0.00611473	0.000219977	0.0183174
r	0.000272697	0.000580714	0.0127829	0.0733844	0.015152	0.70815	0.106976	0.0515023	0.0198069	0.00209386	0.00158118	7.50612e-05	0.00764161
u	0.000192308	0.000541016	0.0149787	0.198198	0.0470406	0.557961	0.088631	0.0603591	0.0220873	0.00453076	0.00230929	3.62121e-05	0.0031343
b	0.000346699	0.00136644	0.0228532	0.0318281	0.0759024	0.310875	0.189158	0.25012	0.0614786	0.0257932	0.0105045	0.00325949	0.0165144
á	0.00566142	0.00267057	0.0806122	0.11751	0.0694381	0.231137	0.0725403	0.0693545	0.0065307	0.164063	0.103274	0.00594841	0.0712608
m	0.000514682	0.000383159	0.00876789	0.0173095	0.027907	0.16958	0.23124	0.201223	0.102178	0.139197	0.0516228	0.0284092	0.021667
b	0.000101764	2.77598e-05	0.000788439	0.00467363	0.0162808	0.0151532	0.0700712	0.173007	0.557354	0.0495651	0.0397242	0.000587141	0.0726656
ó	3.09811e-06	4.5488e-06	8.78755e-05	0.00316812	0.00167674	0.00379879	0.0294388	0.0411713	0.9089	0.00644254	0.00202767	0.000326184	0.002954
n	2.83264e-05	0.000100496	0.000744036	0.00897846	0.00762588	0.00275083	0.00939289	0.0136699	0.93997	0.00608722	0.00100224	0.000759435	0.00889033
g	0.000958985	0.00240217	0.0015942	0.0140954	0.00255934	0.0199084	0.0951957	0.279169	0.472019	0.0544934	0.00802944	0.00695252	0.0426219
ω	0.000211375	0.00033788	0.000206358	0.00348029	0.000823774	0.00438803	0.0283776	0.0855051	0.858488	0.010799	0.00133758	0.00165336	0.00439191
e	0.000286267	0.00059698	0.000970546	0.00095241	0.00283004	0.0039121	0.0209702	0.0793293	0.0454607	0.464936	0.162357	0.0360937	0.181304
k	0.00236012	0.00386376	0.00822653	0.0046165	0.0056006	0.0264315	0.0326633	0.0196687	0.00738541	0.140985	0.227442	0.385472	0.135285
ω	0.000631916	0.000568232	0.00421876	0.00115966	0.000449259	0.00948145	0.0193078	0.00489764	0.00142494	0.0276872	0.0342023	0.876277	0.0196941
k	0.00017361	0.00147149	0.000654458	0.00106977	0.000417536	0.0036119	0.0155438	0.0148191	0.0103147	0.0426744	0.0183759	0.852473	0.0384004
