 	le	vent	soufflait	et	le	voyageur	avait	de	plus	en	plus	froid	</S>
o	0.948785	0.0347029	0.00170016	0.00269929	0.00562288	0.00247619	0.00111069	0.00106959	0.000641647	0.000268686	0.000877196	3.9134e-05	6.18982e-06
p	0.00751683	0.990416	0.000952295	7.48517e-05	0.000125332	0.000211141	6.62967e-05	7.37189e-05	0.000110097	5.9892e-05	0.000120343	0.000105732	0.00016799
ε	0.00173141	0.980792	0.00977206	0.000263014	0.000411299	0.0012097	0.000331576	0.000720243	0.00114579	0.000483487	0.000171017	0.00245497	0.000513169
p	0.00187251	0.985903	0.00711237	0.000126864	0.000442834	0.00134032	0.000100648	0.000367411	0.000655073	0.000390582	0.000229002	0.000477333	0.000982148
ε	0.369873	0.425475	0.00798339	0.00884303	0.0100689	0.00610546	0.0250965	0.017566	0.0235564	0.0162643	0.00882003	0.01198	0.0683676
m	0.402727	0.0638815	0.13449	0.064917	0.0591859	0.0113321	0.0433497	0.0259267	0.0236199	0.032684	0.0334703	0.00691549	0.0975009
ó	0.466467	0.0139439	0.0324229	0.0787656	0.115487	0.00444996	0.115108	0.0450165	0.0323717	0.0250021	0.0140449	0.00220255	0.0547186
o	0.201555	0.00407445	0.0841705	0.175821	0.23166	0.0507177	0.0673807	0.0432996	0.0291577	0.0295481	0.0173598	0.00571379	0.0595426
f	0.00390611	0.00607098	0.282648	0.0500453	0.15304	0.476009	0.00324069	0.00460155	0.00451502	0.00474628	0.00227318	0.0034655	0.00543873
ú	0.000978704	0.0072673	0.132825	0.0487068	0.140797	0.617716	0.00915797	0.00827985	0.00635334	0.00664867	0.00113516	0.0019634	0.0181709
l	0.00600087	0.0947578	0.644467	0.0410753	0.115155	0.0739383	0.00142598	0.00190079	0.00253308	0.00250614	0.000525431	0.0017564	0.0139581
a	0.0123924	0.00311211	0.0144712	0.413738	0.319498	0.0178773	0.0655264	0.0310084	0.0283528	0.0207665	0.0231321	0.00897868	0.0411468
o	0.00447355	0.000151903	0.0106302	0.392446	0.408874	0.0447217	0.09203	0.0137575	0.00512627	0.00583313	0.00529103	0.00161798	0.015047
b	0.000726842	0.00177862	0.0285047	0.0296285	0.118078	0.760932	0.0257508	0.0146118	0.00664854	0.00406139	0.000848013	0.0039199	0.00451172
h	5.95888e-05	4.00424e-05	0.0010037	0.00546945	0.021376	0.952438	0.00444011	0.00582468	0.00267896	0.00279522	0.000615737	0.000540401	0.00271783
é	2.31605e-05	3.32602e-05	0.000646275	0.00104164	0.0065992	0.987748	0.000413436	0.00117386	0.000571461	0.000697431	0.000141138	0.000306354	0.000604227
m	0.000423519	0.00210694	0.00724919	0.0145858	0.0547583	0.835291	0.0126223	0.0166084	0.0107508	0.0103335	0.00501346	0.0117026	0.0185541
b	0.000403893	0.000276442	0.0070666	0.0157265	0.0815652	0.291379	0.187392	0.195428	0.0983037	0.0433069	0.00389648	0.0033647	0.0718908
i	0.000561365	0.00101658	0.0267517	0.0228759	0.057754	0.453908	0.0849823	0.126702	0.0593905	0.0403505	0.0104733	0.00520389	0.110029
l	0.000308538	0.0004708	0.00119266	0.00975632	0.0214121	0.027585	0.267712	0.323593	0.223345	0.0702428	0.0166607	0.00402664	0.0336952
á	0.000691115	0.00106199	0.00496162	0.0218464	0.0200015	0.0124276	0.207257	0.304414	0.183242	0.065302	0.0099228	0.00656677	0.162305
a	0.00189244	0.000515348	0.000822798	0.00436413	0.00629639	0.00260497	0.270335	0.307527	0.23294	0.0872281	0.0558421	0.00720455	0.0224268
y	0.00132476	0.000471565	0.0102061	0.00322425	0.00909849	0.0250197	0.0343274	0.211335	0.277101	0.262493	0.102126	0.0487828	0.0144897
ú	0.00349828	0.00090415	0.0421218	0.0304841	0.0511999	0.0135775	0.0611468	0.15118	0.14578	0.16064	0.0815695	0.139385	0.118513
r	0.00434958	0.000802738	0.00981402	0.0104481	0.028923	0.0071051	0.0917182	0.248325	0.253207	0.144012	0.0327099	0.0340927	0.134493
á	0.000475832	0.000150192	0.00143368	0.012379	0.0215535	0.00493306	0.0932838	0.331129	0.256529	0.176542	0.0407761	0.0096898	0.0511259
p	0.000634916	0.000543352	0.00133663	0.0054241	0.00453853	0.00282047	0.0847558	0.142916	0.190118	0.262811	0.177674	0.0701636	0.0562634
y	5.3373e-05	0.000127422	4.2063e-05	0.000199622	0.000481855	0.000679849	0.00504766	0.0289317	0.084056	0.0654406	0.0387465	0.756082	0.0201108
é	6.51726e-05	0.00017332	3.11865e-05	7.07783e-05	0.000137594	0.000879598	0.00138124	0.0132192	0.0352767	0.0664877	0.0310934	0.809305	0.041879
b	1.07632e-05	0.000264927	3.40346e-05	5.59419e-05	0.000153202	0.000738924	0.00183198	0.0135995	0.0470901	0.0888627	0.0885737	0.637265	0.12152
h	6.73238e-06	5.32286e-05	8.14767e-05	0.000181574	0.000289593	0.000805035	0.0035294	0.0285449	0.0814312	0.090274	0.0546707	0.565971	0.174161
i	2.99179e-05	0.000105744	0.00050295	0.000947528	0.00085811	0.0032476	0.00866782	0.0258306	0.0583265	0.102042	0.0601799	0.359776	0.379485
</S>	0.000169593	0.000394003	0.000565619	0.00137963	0.00209407	0.00135189	0.00562981	0.0138406	0.0321864	0.0768553	0.226134	0.29429	0.345108
