 	tu	peux	parler	comme	tu	veux	mais	n'	insulte	pas	les	autres	</S>
t	0.80338	0.0346489	0.0102832	0.0518549	0.0453891	0.015165	0.00653601	0.0132867	9.05365e-05	0.00230934	0.014861	0.00200986	0.000185436
i	0.285277	0.284948	0.0426125	0.0669367	0.0660687	0.0432845	0.0502994	0.0299457	0.00668943	0.0243625	0.0374655	0.0514816	0.0106284
á	0.0206592	0.497364	0.0727046	0.0572435	0.0625069	0.0641155	0.0519678	0.0713761	0.0253786	0.0231273	0.00880861	0.00268675	0.0420616
l	0.284708	0.307428	0.0642192	0.026945	0.0302856	0.011148	0.00740543	0.0180776	0.0164967	0.0165832	0.0225613	0.00600535	0.188136
á	0.0949093	0.0629596	0.116488	0.0526323	0.0929228	0.0313442	0.115741	0.0443635	0.00950384	0.0512124	0.0294167	0.00365797	0.294849
n	0.458723	0.0348854	0.0687767	0.0789473	0.091489	0.0177993	0.0340711	0.0217089	0.00486242	0.0193924	0.0276046	0.0156165	0.126124
ω	0.812399	0.031562	0.0393032	0.0195954	0.0319212	0.00384279	0.0264529	0.0045546	0.000691015	0.00553127	0.0100468	0.00491787	0.00918195
l	0.0193258	0.0681544	0.373136	0.168932	0.0550706	0.0181877	0.0381407	0.0217724	0.00469852	0.0273846	0.0566782	0.0173127	0.131206
í	0.0105559	0.206011	0.176842	0.0293788	0.0144266	0.0199441	0.0416698	0.033773	0.0252017	0.0639888	0.0256215	0.00779083	0.344796
ó	0.0448661	0.0974969	0.273479	0.221383	0.0504228	0.0519857	0.0121683	0.0190956	0.0158555	0.0273947	0.0301397	0.0256578	0.130055
t	0.000891035	0.0893249	0.798521	0.0571719	0.00207661	0.0070242	0.00203827	0.000899175	0.0239654	0.00501481	0.00286157	0.00239324	0.00781842
a	0.000160033	0.200663	0.599417	0.0476863	0.00256859	0.018795	0.00440689	0.00279171	0.0575178	0.0114207	0.00303857	0.00241863	0.0491166
a	0.000302965	0.137762	0.629176	0.0867204	0.00418699	0.0223551	0.00426757	0.00658553	0.0307501	0.0132825	0.00759144	0.00339405	0.0536262
w	0.0036583	0.0119861	0.189414	0.401317	0.15847	0.104229	0.00959799	0.0271611	0.0072321	0.0160012	0.026516	0.00723079	0.0371868
á	0.0091552	0.0303372	0.124181	0.202458	0.276363	0.0618591	0.0363112	0.0855998	0.0116399	0.0401987	0.0361964	0.0145402	0.07116
á	0.00616861	0.00221667	0.0234209	0.23532	0.338569	0.178614	0.0444218	0.0287344	0.0168881	0.0156006	0.0209103	0.0216364	0.0674996
o	0.00811665	0.00774161	0.0584775	0.112771	0.22451	0.373606	0.0738802	0.0317984	0.043043	0.0191467	0.0188333	0.00792615	0.0201501
t	0.000400503	0.0144452	0.106618	0.0803843	0.0201724	0.284961	0.0725276	0.00944611	0.363301	0.0150844	0.00518382	0.0170724	0.0104041
ú	7.19147e-05	0.0149538	0.0554865	0.0227195	0.0128196	0.352859	0.0559845	0.0214902	0.347777	0.0554948	0.00726036	0.00680942	0.0462734
ú	0.000131966	0.000902612	0.0199843	0.02129	0.00869545	0.312938	0.126714	0.0453346	0.161773	0.114623	0.0229814	0.00337324	0.161259
a	7.23169e-05	0.000696859	0.00787099	0.0229559	0.0717085	0.307516	0.13963	0.218158	0.0473707	0.0840304	0.0508172	0.00766137	0.0415119
b	0.000616606	0.00304465	0.0214602	0.019963	0.0302161	0.123683	0.122342	0.143076	0.235994	0.162855	0.0741016	0.0260375	0.0366093
i	0.000292505	0.0132659	0.0169682	0.048438	0.0179135	0.0716537	0.0169693	0.0652013	0.0847024	0.166659	0.169722	0.240446	0.0877672
a	0.000309155	0.00321508	0.00915504	0.0246428	0.0193409	0.0453983	0.0344809	0.0984157	0.185405	0.123962	0.0748999	0.0821903	0.298585
</S>	0.00056639	0.00224791	0.00903527	0.00881305	0.0148108	0.0481862	0.0476765	0.115434	0.0841005	0.246466	0.192444	0.0574254	0.172793
