 	ses	cheveux	bouffent	autour	de	sa	tête	</S>
s	0.672711	0.316766	0.00508986	0.000774181	0.00112718	0.00328486	0.000204029	4.22402e-05
u	0.223332	0.730513	0.0190212	0.00160691	0.00355737	0.00994117	0.000603803	0.0114252
é	0.0263281	0.901214	0.0356226	0.00538094	0.00420746	0.00105062	0.000154826	0.026041
y	0.281246	0.253947	0.387703	0.0305402	0.004419	0.00286973	0.00200079	0.0372736
á	0.337583	0.41458	0.189265	0.0136833	0.00935388	0.009019	0.00277093	0.0237443
w	0.202864	0.0778846	0.583373	0.0458013	0.0194923	0.034558	0.00481521	0.0312119
a	0.353908	0.0795354	0.254531	0.094037	0.0534827	0.106249	0.021082	0.0371751
é	0.0390463	0.00370779	0.847358	0.0508691	0.00992831	0.0157653	0.0022766	0.0310485
m	0.0397987	0.012471	0.113477	0.645112	0.0787497	0.0247944	0.0113973	0.0741999
i	0.0268344	0.0183425	0.0189782	0.423075	0.257952	0.094098	0.0209378	0.139782
f	0.0028754	0.0085885	0.0247482	0.787641	0.124246	0.00698657	0.00820639	0.0367085
u	0.00112721	0.00731751	0.0381672	0.807018	0.0791074	0.00232975	0.00804137	0.0568911
u	0.000656551	0.00303283	0.0292702	0.861637	0.0681712	0.00293864	0.00172128	0.0325729
l	0.00220419	0.00047532	0.00178871	0.508706	0.228306	0.158016	0.0173231	0.0831811
á	0.00542488	0.000990883	0.00100076	0.322649	0.321604	0.244494	0.0202249	0.0836109
m	0.00770058	0.00424941	0.00619905	0.158659	0.265786	0.351979	0.188273	0.0171541
í	0.0130628	0.0118501	0.00109353	0.0306958	0.19234	0.128714	0.0459327	0.576312
b	0.00380043	0.000705043	0.00163264	0.0186932	0.0702403	0.0374004	0.813403	0.0541246
o	0.00136174	0.00021428	0.000153339	0.0113821	0.0641667	0.0102774	0.89405	0.0183948
ó	0.000901888	0.00209635	0.00187628	0.154754	0.100224	0.0445154	0.572919	0.122713
</S>	0.0150164	0.000894882	0.00133782	0.0361799	0.0552176	0.393302	0.104923	0.393129
