 	nous	avons	déjà	trouvé	une	maison	</S>
b	0.943156	0.0417546	0.00186403	0.00192708	0.0071863	0.00356305	0.000548733
í	0.990353	0.00766264	0.000550922	0.00028367	0.000522281	5.80903e-05	0.000569095
s	0.986493	0.012577	0.000450537	0.000262378	5.6175e-05	4.61767e-05	0.000115005
í	0.554789	0.28252	0.0105472	0.00534601	0.0300154	0.0150242	0.101758
l	0.152814	0.589601	0.104464	0.0176985	0.0061787	0.00198396	0.127259
é	0.0203364	0.405056	0.215787	0.0303047	0.019092	0.0152282	0.294196
m	0.00296657	0.465834	0.493931	0.0287951	0.00344629	0.000722307	0.00430487
i	0.0292441	0.205022	0.606519	0.139099	0.0146266	0.00245409	0.00303526
s	0.000619668	0.0758014	0.757489	0.162728	0.00123938	0.000345072	0.00177753
á	0.000333999	0.0234662	0.645222	0.325987	0.0034057	0.000647799	0.000936961
á	0.00166334	0.045851	0.306314	0.26204	0.142102	0.0207862	0.221243
o	0.00483342	0.0232588	0.115489	0.147262	0.501626	0.193565	0.0139654
d	0.000702857	0.000763879	0.0574131	0.855223	0.0552835	0.0281878	0.00242573
i	1.34905e-05	0.000296664	0.0267524	0.955094	0.0141633	0.000309995	0.00337037
á	2.26282e-05	0.00177479	0.0903798	0.790971	0.0850395	0.00338395	0.0284282
n	0.000236209	0.00440239	0.0111597	0.0218168	0.234655	0.668513	0.0592169
d	0.000498454	0.000218243	0.00011271	4.51236e-05	0.0333822	0.954532	0.0112112
é	6.18022e-05	4.05743e-05	4.05058e-05	3.62149e-05	0.012912	0.983548	0.0033614
e	0.000150297	0.00149014	0.00824208	0.0123805	0.205736	0.390558	0.381444
</S>	3.83478e-05	0.00105249	0.00510867	0.00611504	0.0915849	0.0387619	0.857339
