 	ses	cheveux	sont	brillants	</S>
w	0.724352	0.248098	0.0230638	0.00410053	0.000386361
a	0.804676	0.0985096	0.0874826	0.008539	0.000793207
s	0.323382	0.634121	0.0204383	0.00467123	0.017388
u	0.0240506	0.961542	0.00274098	0.00156542	0.0101008
é	0.127909	0.6546	0.137556	0.0161778	0.0637573
é	0.0494014	0.0318611	0.822359	0.0767934	0.0195856
d	0.0166466	0.00543658	0.597638	0.345197	0.035082
i	0.00912513	0.0489797	0.227978	0.181823	0.532094
k	0.0127141	0.0083921	0.223638	0.515291	0.239964
y	0.00808734	0.006089	0.0287753	0.878277	0.0787714
έ	0.145437	0.0244945	0.0691351	0.686071	0.0748628
n	0.00624984	0.00109414	0.0494558	0.243455	0.699745
έ	0.0453039	0.00960044	0.172757	0.463702	0.308637
n	0.00957754	0.00183504	0.0903342	0.199728	0.698526
έ	0.0384383	0.0109289	0.0586022	0.197523	0.694508
</S>	0.00721651	0.0035049	0.102319	0.224646	0.662314
