 	pour	aller	à	boundji	vous	passerez	par	oyo	</S>
m	0.953142	0.0207637	0.0152942	0.00677501	0.00278868	0.000188355	0.000879544	6.91292e-05	9.96524e-05
í	0.455394	0.296434	0.108325	0.0529557	0.0201191	0.0120977	0.0223463	0.000116044	0.032213
d	0.215665	0.678568	0.0202065	0.0653466	0.0150768	0.00135319	0.00085569	0.000135494	0.00279342
z	0.0342664	0.843207	0.0619558	0.0262961	0.00269219	0.00282848	0.00151892	8.87878e-05	0.0271463
w	0.116784	0.76061	0.0424088	0.0331879	0.00105809	0.0018831	0.00470809	0.000971831	0.0383879
a	0.172765	0.327433	0.110136	0.280312	0.013972	0.00275004	0.0110368	0.00121533	0.0803804
l	0.0527973	0.174412	0.486132	0.0645099	0.0133923	0.00554215	0.0102625	0.000368407	0.192584
á	0.201068	0.165578	0.252152	0.166523	0.0527791	0.0158467	0.0205133	0.000684825	0.124856
m	0.237771	0.0373126	0.410514	0.153195	0.0868238	0.028561	0.0268299	0.00296193	0.0160312
b	0.146232	0.137831	0.259781	0.323601	0.107394	0.0159883	0.00366921	0.000103075	0.00540096
o	0.00601129	0.00891027	0.0899075	0.79783	0.0865273	0.00823491	0.00156872	9.1643e-05	0.000918205
n	0.0186393	0.0486734	0.132472	0.732406	0.024035	0.0386885	0.00123366	7.02484e-05	0.0037815
d	0.0329759	0.0874726	0.192877	0.586683	0.0130836	0.0131627	0.0122595	0.000897977	0.0605881
z	0.121235	0.183408	0.0896348	0.540838	0.0294873	0.0148404	0.00288407	0.000509087	0.0171633
i	0.026262	0.0481327	0.0407034	0.782175	0.0399399	0.00425633	0.00252272	0.000291564	0.0557161
b	0.0533439	0.0248397	0.305753	0.0950666	0.308181	0.180333	0.0172492	0.000117236	0.0151162
í	0.0750185	0.0097954	0.0934103	0.0930603	0.555393	0.0865546	0.030901	0.00346384	0.0524031
n	0.0225377	0.000541729	0.0352434	0.0255359	0.816405	0.0426867	0.0176533	0.000269083	0.0391268
í	0.00758205	0.00173552	0.015464	0.0564327	0.751836	0.0235651	0.0464689	3.94835e-05	0.0968759
l	0.00272406	0.00158719	0.0800635	0.0261762	0.22951	0.46857	0.164742	0.00183123	0.0247957
é	0.00953675	0.00566891	0.0342664	0.0070883	0.126004	0.155528	0.166731	0.00692006	0.488257
e	0.00824403	0.00472196	0.0371346	0.0232206	0.127148	0.247157	0.386465	0.0591066	0.106802
l	0.00307016	0.0433647	0.0251693	0.0121344	0.0283867	0.417323	0.166698	0.251469	0.052385
e	0.000419715	0.0165277	0.0102623	0.00273647	0.00648158	0.609725	0.102512	0.205812	0.0455234
á	0.000196688	0.00761256	0.0163458	0.00633189	0.00399239	0.406376	0.276974	0.111995	0.170175
s	0.0046137	0.00189716	0.0164468	0.022128	0.0740264	0.0144665	0.422249	0.188214	0.255959
á	0.00446966	0.00269172	0.00775763	0.00513088	0.0257413	0.0954198	0.308207	0.238353	0.312229
o	0.00492265	0.000792184	0.0106009	0.00841174	0.036277	0.0101187	0.130736	0.665283	0.132858
y	0.000820342	0.00397444	0.00891045	0.00248036	0.00182886	0.0191245	0.0279953	0.874576	0.0602902
ó	0.000751533	0.0200774	0.0152231	0.00369738	0.00150426	0.0194969	0.0581285	0.767531	0.11359
o	0.000329156	0.00230026	0.0103428	0.00249316	0.00516751	0.0183052	0.0565905	0.351325	0.553146
</S>	0.00174613	0.000366178	0.00461214	0.0013372	0.00368369	0.0173711	0.0654188	0.110688	0.794777
