 	les	feuilles	du	manguier	sont	en	train	de	tomber	</S>
k	0.614449	0.31286	0.0476255	0.00692973	0.00740073	0.00552348	0.00392362	0.00092931	0.000304407	5.46353e-05
á	0.100729	0.87049	0.0164972	0.00210885	0.00309801	0.00162138	0.00201895	0.000728459	0.00212623	0.000582029
s	0.025907	0.850245	0.0368081	0.0070394	0.033607	0.0211191	0.00235067	0.00271273	0.00584781	0.0143634
i	0.0500207	0.898386	0.0262643	0.000100914	0.00802796	0.00585287	0.000547246	0.00159289	0.00239579	0.00681163
y	0.208303	0.26265	0.427887	0.0194702	0.0181297	0.0129072	0.0138422	0.00687558	0.00197193	0.027963
o	0.152045	0.154458	0.522382	0.00556524	0.0532471	0.0505832	0.00193238	0.0196971	0.00626817	0.0338214
m	0.0960136	0.020917	0.744398	0.0392469	0.0246513	0.0388761	0.00167076	0.0115375	0.00189712	0.0207914
b	0.0781091	0.00663066	0.418804	0.367392	0.0347174	0.0794407	0.00146488	0.00799552	0.000869056	0.00457713
á	0.0133629	0.00529077	0.0535168	0.721379	0.0234024	0.155529	0.0160672	0.00184549	0.00499216	0.00461471
n	0.011763	0.000509984	0.0152252	0.817191	0.0374376	0.096483	0.0144885	0.00269624	0.0012127	0.00299314
g	0.0259413	0.00870902	0.119956	0.671464	0.0276961	0.113928	0.00387845	0.00675282	0.00641265	0.0152613
é	0.0228054	0.0106054	0.234461	0.447897	0.0307485	0.228189	0.0076257	0.00633157	0.007011	0.0043257
b	0.0151852	0.00761232	0.174583	0.0109888	0.286229	0.172775	0.142865	0.153357	0.00956162	0.0268436
ó	0.0979904	0.0218048	0.0864419	0.00366576	0.230142	0.0980077	0.0623682	0.0702387	0.0548182	0.274522
y	0.0176299	0.0040708	0.171746	0.00379259	0.183767	0.131139	0.101833	0.307296	0.0145589	0.0641668
é	0.0328808	0.0146177	0.244955	0.0114446	0.158668	0.203935	0.0130963	0.142501	0.132695	0.0452073
e	0.0187639	0.00365206	0.22146	0.0146853	0.179064	0.21132	0.00889119	0.189889	0.0860659	0.0662089
k	0.000999994	0.00171631	0.0076891	0.000940443	0.0652975	0.0163871	0.00686351	0.233964	0.27537	0.390771
ó	0.00114846	0.0702769	0.0127086	0.000523697	0.0794869	0.0247502	0.0218841	0.0789973	0.473862	0.236361
m	0.000563968	0.00571834	0.0139481	0.000324286	0.0571131	0.042883	0.0231015	0.11772	0.478563	0.260064
i	0.00204454	0.000981295	0.00591347	0.00013234	0.00866427	0.0118983	0.000348653	0.119691	0.374636	0.47569
n	0.00475859	0.00117655	0.0349617	0.00589019	0.0943993	0.0587407	0.00876306	0.255903	0.0752258	0.460182
a	0.0091918	0.00607686	0.0258164	0.00907109	0.0340311	0.0483835	0.0093286	0.167668	0.39587	0.294563
</S>	0.00133928	0.000946044	0.0224395	0.00097377	0.0318905	0.017142	0.00602138	0.108347	0.0626073	0.748294
