 	il	a	une	barbe	rare	elle	ne	pousse	pas	vite	</S>
w	0.491601	0.142593	0.0760236	0.111163	0.0236661	0.0377894	0.0410796	0.00911423	0.0632947	0.00196287	0.00171271
a	0.786304	0.064417	0.0166864	0.0095561	0.00460185	0.0103526	0.0480481	0.0169892	0.0306496	0.0121646	0.000230265
a	0.113845	0.521737	0.178131	0.0315031	0.0179006	0.0132147	0.0417793	0.033003	0.0331137	0.0058907	0.00988178
d	0.0375552	0.247282	0.186036	0.0826178	0.068366	0.0700989	0.0742109	0.118854	0.0505472	0.00824345	0.0561882
í	0.00350795	0.0931387	0.242179	0.16435	0.314514	0.013774	0.0322763	0.0144474	0.0103173	0.00438188	0.107112
n	0.00351189	0.0352553	0.207877	0.139402	0.196622	0.0689223	0.0606205	0.0134787	0.0540911	0.00735671	0.212863
d	0.00227909	0.00825851	0.0409013	0.490486	0.437612	0.00367636	0.00326183	0.00255993	0.00159581	0.00124783	0.00812142
ε	0.000874393	0.00319016	0.0297675	0.57476	0.381774	0.00110623	0.00130334	0.000595725	0.000692876	0.000833695	0.00510225
l	0.00591146	0.0133284	0.0649469	0.407807	0.441932	0.012541	0.0123623	0.00417381	0.00389285	0.00815056	0.0249545
i	0.00936131	0.0408266	0.151722	0.229486	0.361846	0.0335576	0.0221764	0.00518132	0.0215056	0.00355948	0.120778
k	0.00533156	0.0334897	0.0797888	0.146771	0.423543	0.204683	0.0565531	0.0130902	0.01231	0.00263451	0.0218054
a	0.0010315	0.00262296	0.0184173	0.0851019	0.383887	0.31052	0.108002	0.0444377	0.00865399	0.00619926	0.0311262
á	0.00135592	0.0054143	0.0117	0.019311	0.224003	0.236128	0.119695	0.135168	0.0133908	0.0117038	0.22213
y	0.00551201	0.0148276	0.0199949	0.0167014	0.0886113	0.515342	0.175206	0.0855617	0.0313914	0.0035085	0.0433426
é	0.00902432	0.0266048	0.15983	0.0554499	0.287049	0.263822	0.108662	0.0390205	0.0160404	0.011739	0.0227575
e	0.00485888	0.00946329	0.0651351	0.0233461	0.166204	0.342991	0.204053	0.0852734	0.0358945	0.0293134	0.033467
t	0.000394489	0.00536447	0.018628	0.00495274	0.0332616	0.112999	0.349472	0.315783	0.0574769	0.0734847	0.0281821
ω	0.000142625	0.003371	0.0329576	0.00392181	0.058701	0.0888628	0.351762	0.228636	0.05607	0.0711287	0.104446
ώ	0.000442018	0.00366647	0.0138807	0.0110915	0.0532765	0.300403	0.220208	0.161334	0.0626866	0.058696	0.114315
l	0.00135219	0.00312014	0.0072742	0.00313486	0.0142803	0.221483	0.26681	0.171558	0.252261	0.0150634	0.043663
a	0.001121	0.00203345	0.00621666	0.00297743	0.0163831	0.0806548	0.183152	0.315366	0.0975222	0.096355	0.198219
o	0.00215066	0.00258956	0.00878461	0.00134869	0.006754	0.0940844	0.154152	0.339594	0.145607	0.138147	0.106787
d	0.000154005	0.0026835	0.0114142	0.00220993	0.0106432	0.0100403	0.0637471	0.0837774	0.133665	0.640272	0.0413932
í	3.29304e-05	0.00127671	0.0157158	0.00162824	0.0194978	0.0045314	0.0749957	0.0449302	0.142138	0.605133	0.09012
n	6.54888e-05	0.000632978	0.0107784	0.00082118	0.00927279	0.0172129	0.104852	0.0111029	0.294233	0.317943	0.233086
g	5.00644e-05	0.000352498	0.00457906	0.00484968	0.0812514	0.0109157	0.0587951	0.0867676	0.0628484	0.534759	0.154832
á	9.11498e-05	0.000189887	0.00149032	0.00438454	0.0461686	0.0279302	0.0738345	0.133738	0.0497047	0.454869	0.207598
</S>	0.000816787	0.00137853	0.0046108	0.0025859	0.00999601	0.0320972	0.0633738	0.0421345	0.210317	0.325004	0.307686
