 	asoua	est	le	sosie	de	son	père	</S>
a	0.667069	0.269059	0.041175	0.00733155	0.0030882	0.0119164	0.000256459	0.00010427
s	0.377223	0.606763	0.0153567	0.000415911	0.000129885	2.80744e-05	1.27929e-05	7.0254e-05
ú	0.530015	0.44514	0.0207627	0.00267361	0.0004335	0.000126704	0.000141493	0.000706251
a	0.682969	0.285844	0.0239906	0.00124891	0.000613373	9.96988e-05	0.000451614	0.00478276
á	0.145032	0.346062	0.388651	0.0357663	0.0159653	0.000951958	0.000712919	0.066858
d	0.026139	0.0336394	0.423076	0.453638	0.0328947	0.00224998	0.00373816	0.0246246
í	0.01919	0.0422368	0.404074	0.425071	0.0423208	0.0020553	0.00131417	0.0637385
l	0.00690013	0.0102846	0.161332	0.652725	0.0829064	0.0134415	0.0017318	0.0706784
e	0.00875892	0.0102747	0.18103	0.580006	0.125216	0.0220952	0.0122247	0.0603952
f	0.00700994	0.00810288	0.100728	0.476517	0.267733	0.0478015	0.0217271	0.0703811
á	0.000619298	0.0030121	0.0631537	0.706726	0.156515	0.00507408	0.0309241	0.0339756
á	0.000657612	0.00257044	0.049499	0.574789	0.0869196	0.0164839	0.0964102	0.17267
n	0.00189118	0.00244484	0.0266325	0.0632361	0.342836	0.43146	0.095948	0.0355516
y	0.00175781	0.00812072	0.032974	0.0480257	0.259125	0.443308	0.136379	0.0703103
á	0.00138554	0.00270447	0.0202818	0.0245243	0.106663	0.700245	0.120764	0.0234312
y	0.000313297	0.000580079	0.0212466	0.0628152	0.321488	0.191789	0.101379	0.300389
á	0.0156294	0.0137538	0.0685247	0.0542906	0.216173	0.255721	0.29511	0.0807981
t	0.00281123	0.00140404	0.00982075	0.0223356	0.210272	0.400684	0.230555	0.122118
á	0.000302921	0.000975915	0.00580109	0.0227389	0.113184	0.0504957	0.718679	0.087822
á	0.000770221	0.000767084	0.00864733	0.0270004	0.0745853	0.0993966	0.600794	0.188039
</S>	0.00144045	0.00166031	0.0119781	0.0179087	0.0781986	0.203656	0.18733	0.497828
