 	le	fillet	s'	est	accroché	à	une	branche	</S>
o	0.791489	0.144593	0.0387704	0.00422099	0.00728141	0.00832157	0.00449334	0.000505914	0.000323547
k	0.0126737	0.970547	0.0102954	0.00244551	0.00127462	0.000736164	0.00101237	9.86076e-05	0.000916108
i	0.00544589	0.984053	0.00213623	0.000762018	0.00428725	0.000991926	0.000550914	0.00112055	0.000652417
a	0.0130038	0.896874	0.0446327	0.00958092	0.0189788	0.0062549	0.00488506	0.00193646	0.00385288
ó	0.24716	0.0216741	0.664429	0.0485764	0.00489835	0.00296891	0.0018998	0.000595417	0.00779756
m	0.0117525	0.00219901	0.396012	0.507497	0.0545253	0.00945615	0.00522296	0.00156261	0.011773
i	0.0191535	0.000569888	0.131342	0.499185	0.205818	0.0792317	0.0230889	0.000447596	0.0411632
b	0.00159077	0.00252786	0.0628847	0.437588	0.432325	0.0203987	0.00511396	0.00182143	0.0357485
h	0.00291728	0.00284044	0.0570433	0.302906	0.549384	0.0413469	0.00805166	0.0146956	0.020815
á	0.00133052	0.00764284	0.0400009	0.161509	0.728942	0.0381964	0.00527954	0.00491638	0.0121825
r	0.0024876	4.60159e-05	0.0273409	0.189274	0.536669	0.13889	0.0226406	0.037284	0.0453676
á	0.0125947	0.000331635	0.0346058	0.134842	0.430384	0.246084	0.0753871	0.00905139	0.05672
á	0.0061655	9.96493e-05	0.0575239	0.106586	0.249649	0.377375	0.161671	0.0189894	0.0219401
m	0.0163894	0.00101144	0.0348441	0.0559969	0.133757	0.383966	0.337936	0.0189598	0.0171394
ó	0.00366103	0.000140156	0.00635506	0.0221039	0.139605	0.347915	0.144186	0.0487402	0.287293
ε	0.0120577	0.0040479	0.0141852	0.0109846	0.0392748	0.279432	0.344909	0.26369	0.0314186
t	0.0014875	0.00121738	0.00990113	0.0239364	0.180719	0.291579	0.211491	0.242469	0.0372001
á	0.00162569	0.00132284	0.00872795	0.0161199	0.0584304	0.151757	0.0878312	0.611217	0.0629679
b	0.000297493	7.68916e-05	0.000934336	0.00449186	0.0263511	0.0418835	0.0310632	0.800148	0.0947538
h	0.00197743	0.00082133	0.00161462	0.00429332	0.0511493	0.0815992	0.0462263	0.69463	0.117689
e	0.00216489	0.00033385	0.00234964	0.00421439	0.127077	0.124518	0.0362673	0.623193	0.0798821
y	0.000723636	0.00080352	0.0026692	0.00170248	0.0308344	0.128398	0.229951	0.332113	0.272805
á	0.0145726	0.0007247	0.0267586	0.0264427	0.047204	0.233464	0.319713	0.0705647	0.260555
i	0.0281834	0.00273041	0.0220582	0.0125643	0.0299908	0.146604	0.393505	0.145336	0.219028
b	0.00531953	0.0018076	0.0198375	0.022692	0.0638692	0.126211	0.138516	0.404441	0.217306
v	0.00162859	0.000374241	0.0141404	0.0203471	0.0517942	0.0895944	0.055169	0.712807	0.0541452
ú	0.0035413	0.000218406	0.00147193	0.00336042	0.0774242	0.0838625	0.0656353	0.725449	0.039037
a	0.00130968	5.32436e-05	0.00131531	0.00256117	0.0528836	0.175996	0.161503	0.256597	0.347781
</S>	0.00660608	0.00025103	0.0272478	0.0252386	0.0607212	0.178847	0.216901	0.0221611	0.462026
