 	elle	a	un	pagne	neuf	</S>
w	0.946556	0.048878	0.00369152	0.000671013	0.000143263	6.01315e-05
a	0.948122	0.0389219	0.00981031	0.00270616	0.000373661	6.56728e-05
a	0.373019	0.540322	0.0735642	0.00551731	0.00111255	0.00646438
d	0.0805347	0.553158	0.223483	0.05406	0.00553904	0.0832258
í	0.0447353	0.535484	0.234621	0.0232817	0.000973293	0.160905
l	0.0278694	0.183672	0.323901	0.102175	0.0139526	0.348429
a	0.0739105	0.165871	0.481339	0.0894281	0.014011	0.175441
i	0.0901351	0.345191	0.396528	0.110286	0.0156061	0.0422531
p	0.00312273	0.0479763	0.301296	0.563748	0.060849	0.023008
ú	0.00150507	0.0130591	0.0500837	0.755058	0.164672	0.0156218
t	0.0184921	0.0180465	0.097797	0.658257	0.192987	0.0144212
a	0.0872166	0.0222507	0.0597613	0.304135	0.488998	0.0376384
l	0.00409411	0.00916221	0.0956678	0.24334	0.301198	0.346538
á	0.0030024	0.0051815	0.0923188	0.312612	0.337593	0.249293
p	0.0200886	0.0156996	0.0497747	0.125736	0.568467	0.220234
f	0.00290597	0.00304489	0.00696361	0.16153	0.76982	0.0557354
ú	0.000821262	0.00147285	0.0094431	0.0832163	0.802111	0.102935
ú	0.000513465	0.00031674	0.004267	0.113502	0.721588	0.159813
</S>	0.000928249	0.00187647	0.0214464	0.0793036	0.160186	0.736259
