 	je	ne	veux	pas	cohabiter	avec	toi	parce	que	tu	es	ennuyeux	</S>
n	0.721244	0.104189	0.0104909	0.060712	0.0084411	0.0187426	0.034818	0.0145006	0.0105481	0.00485533	0.00723669	0.00330714	0.000914822
g	0.99808	0.000641807	6.8029e-06	0.000300821	4.47277e-05	0.000117549	0.000332789	7.83738e-05	0.000116995	0.00020901	5.00789e-05	1.57696e-05	5.52452e-06
á	0.991416	0.00625521	0.000188685	0.000525454	0.000533808	0.000220327	0.000296471	2.79741e-05	5.84711e-05	0.000302923	9.91435e-05	7.07738e-05	4.64677e-06
i	0.0917307	0.252549	0.0484717	0.0634106	0.0456642	0.0416157	0.119101	0.0554414	0.0547692	0.0585317	0.0461619	0.0125979	0.109955
d	0.0237761	0.50201	0.230159	0.0241846	0.0697527	0.0185591	0.0108627	0.00743869	0.0102688	0.0206334	0.0175903	0.0177192	0.0470453
i	0.109232	0.664779	0.0538503	0.00867222	0.0586942	0.0201302	0.008163	0.00889722	0.00776543	0.0133618	0.00248183	0.0016627	0.0423098
p	0.00932272	0.4249	0.310167	0.101631	0.0393104	0.0153676	0.00309885	0.0118527	0.00595484	0.00658723	0.00876138	0.00423239	0.0588134
ó	0.00486396	0.0947862	0.810316	0.0382507	0.00288931	0.0062121	0.0100369	0.00851011	0.00405887	0.00238803	0.0028448	0.00803673	0.00680678
s	0.00427537	0.103625	0.758162	0.0391693	0.00800895	0.00985188	0.00891214	0.0172515	0.012236	0.00726565	0.00697999	0.00433091	0.0199313
á	0.000583746	0.0686976	0.722022	0.085506	0.0200499	0.012748	0.00461133	0.0101349	0.00891484	0.0071684	0.00819541	0.00706301	0.0443047
o	0.0274609	0.0577648	0.377528	0.268902	0.0490835	0.04773	0.0271937	0.0549066	0.0294877	0.0147624	0.0119943	0.00722191	0.0259645
d	0.000337508	0.0255802	0.160093	0.22411	0.531832	0.0457676	0.00305896	0.00124603	0.000683886	0.00110168	0.000684633	0.00165652	0.00384855
z	0.000901951	0.0162538	0.085376	0.0944549	0.691131	0.0807087	0.000867072	0.000415765	0.00062271	0.0011219	0.00129629	0.00756487	0.0192852
e	0.00140226	0.0405177	0.387922	0.0875657	0.333458	0.122693	0.00263127	0.00141455	0.000862351	0.00154127	0.00177885	0.005819	0.0123936
e	0.000505806	0.00951084	0.0425301	0.240934	0.582814	0.0519891	0.00136691	0.0023475	0.00178682	0.00136589	0.00393284	0.00374405	0.0571717
m	0.000140706	0.0167967	0.00831196	0.174077	0.595937	0.134813	0.00904225	0.00565978	0.00323191	0.00425396	0.00263331	0.0015882	0.0435141
á	0.000214237	0.00402925	0.000978755	0.0487037	0.458141	0.409399	0.0378509	0.0140109	0.00380515	0.000941085	0.0017949	0.00361113	0.0165192
e	0.00206983	0.00981773	0.015252	0.0814307	0.200552	0.340817	0.109541	0.0657998	0.0539616	0.0217441	0.0271291	0.0244822	0.0474034
b	0.00102975	0.00710804	0.00468699	0.0278873	0.43013	0.395543	0.0831169	0.0116452	0.00728024	0.0057906	0.0035769	0.0061579	0.0160465
é	0.00051127	0.00657678	0.00342239	0.0729761	0.246919	0.34764	0.207054	0.0394732	0.02101	0.00250533	0.00422587	0.025017	0.0226684
e	0.000128282	0.00177259	0.021313	0.0482274	0.278298	0.188918	0.0997629	0.0796454	0.0423939	0.00969733	0.0130801	0.0310574	0.185706
e	0.000152927	0.00729501	0.00310832	0.0717608	0.0918017	0.463109	0.144604	0.105489	0.0412392	0.0168938	0.0129089	0.00593284	0.0357047
p	0.000657691	0.0214445	0.00398981	0.0508975	0.100229	0.310755	0.116177	0.126349	0.0576502	0.0266936	0.0171061	0.0150009	0.15305
ω	7.01975e-05	0.00293959	0.0152546	0.0346498	0.0491785	0.147572	0.0852538	0.117837	0.101831	0.0304408	0.0523103	0.125433	0.237228
ώ	4.66254e-05	0.00111999	0.00742114	0.05342	0.0434214	0.112204	0.142915	0.0982792	0.0780669	0.0374984	0.0626899	0.0829673	0.27995
l	0.000733581	0.00828424	0.0030049	0.0261172	0.0309531	0.140531	0.110961	0.3676	0.184814	0.061116	0.0217805	0.0063122	0.0377924
a	0.00071026	0.0056677	0.00181835	0.0161658	0.0503169	0.146272	0.0726486	0.168725	0.179681	0.126152	0.036684	0.0167924	0.178366
n	0.000446773	0.00128006	0.000676919	0.00669683	0.00751297	0.0785867	0.173951	0.347894	0.208777	0.0604593	0.027305	0.010705	0.0757081
ω	0.0492706	0.00111474	0.000189075	0.0060834	0.0128779	0.0757047	0.14432	0.137089	0.149709	0.303062	0.0224093	0.00587883	0.0922927
k	0.00052947	0.000636814	0.000229236	0.00329811	0.00947606	0.07346	0.150109	0.204926	0.211629	0.249726	0.0262791	0.00428581	0.0654154
a	0.000139605	0.000577866	0.00044929	0.0130372	0.00613467	0.0551959	0.330693	0.22485	0.188878	0.0287602	0.0165139	0.0258907	0.108879
á	0.000132227	0.000509953	0.00108197	0.00614349	0.0129996	0.0565621	0.159582	0.201127	0.253581	0.0688255	0.0231849	0.0216412	0.194629
t	0.000450084	0.00188797	0.00105658	0.00301938	0.0063744	0.014019	0.0318136	0.270564	0.270528	0.222308	0.0399597	0.0103618	0.127657
s	0.000442558	0.00151781	0.00343153	0.00819256	0.00161595	0.0099341	0.033077	0.124914	0.208591	0.120003	0.115128	0.139618	0.233534
í	0.000142569	0.000121239	0.000611917	0.000916018	0.000979818	0.00989965	0.0636875	0.189677	0.391819	0.126254	0.0563118	0.0646989	0.0948807
n	0.00382798	0.000713177	0.000504952	0.0022126	0.0056109	0.0156467	0.0439152	0.153357	0.372402	0.148192	0.0416125	0.0315073	0.180498
a	0.00616383	0.000396104	0.00020981	0.000951431	0.0015013	0.00897898	0.0952959	0.146233	0.216223	0.261126	0.0186378	0.00791361	0.236369
n	0.000327832	0.000420263	0.000213224	0.00135153	0.000904949	0.00340266	0.0182596	0.136162	0.260954	0.374516	0.0785672	0.00991231	0.115008
ω	0.00652671	0.000536465	4.81265e-05	0.00167079	0.00313999	0.0102474	0.0258193	0.0487791	0.125391	0.653747	0.0371962	0.00365038	0.0832472
o	5.04083e-05	9.37815e-05	5.30334e-05	0.000753248	0.00172675	0.00684475	0.015671	0.0676773	0.119645	0.309652	0.0993669	0.0202039	0.358262
d	1.9529e-05	0.0164047	0.0199446	0.052009	0.0706993	0.0592291	0.00803249	0.0472035	0.0727234	0.11676	0.185724	0.22664	0.124611
í	8.42125e-05	0.00230269	0.00475397	0.0102394	0.22039	0.095459	0.00339419	0.0396129	0.0529147	0.0424639	0.0442988	0.0887717	0.395314
l	2.42474e-05	0.000809341	0.000691361	0.0083229	0.00830563	0.0162875	0.00884971	0.0620788	0.0906594	0.13781	0.245735	0.0790683	0.341358
a	0.000136271	0.000470312	0.000631441	0.00105037	0.00431035	0.00449504	0.00413569	0.0488193	0.0701218	0.216043	0.137065	0.0671032	0.445619
l	2.73655e-05	0.000216975	0.00015261	0.00125787	0.000528633	0.00337369	0.00975153	0.057276	0.0587895	0.0838524	0.22265	0.397569	0.164554
e	0.000946895	0.00143794	0.000667448	0.00164946	0.00829026	0.0114399	0.00643237	0.0420691	0.0851774	0.184281	0.141033	0.242344	0.274232
b	2.11524e-06	0.000110317	0.000184746	0.000820412	0.00116301	0.00205148	0.00156631	0.0134529	0.0250624	0.0430161	0.225213	0.446065	0.241292
h	1.57197e-05	0.000284515	0.000269574	0.00168941	0.00168468	0.00396825	0.00642348	0.0489583	0.105412	0.0524433	0.187869	0.428449	0.162532
ώ	1.75587e-06	3.49849e-05	6.83291e-05	0.00102236	0.00129738	0.0035509	0.00348159	0.0220052	0.0409847	0.0346003	0.188227	0.478239	0.226486
m	5.51626e-07	1.75671e-05	8.56516e-05	0.00120003	0.000807779	0.0053574	0.0072234	0.0394138	0.0555701	0.052266	0.288607	0.347919	0.201531
b	9.89215e-06	0.000101122	7.92703e-05	0.000728514	0.000779111	0.00331733	0.00764509	0.0318571	0.0290216	0.0173581	0.172257	0.43399	0.302855
ώ	0.000111038	0.000103678	2.91556e-05	0.00126422	0.0017121	0.00448043	0.046527	0.0387327	0.0442872	0.0195925	0.225568	0.524581	0.0930112
s	0.000172913	0.000216899	0.000177973	0.00255426	0.00120133	0.00725766	0.0265434	0.104301	0.102932	0.127098	0.207971	0.134912	0.284663
ώ	5.59525e-05	0.000512469	0.000352159	0.002475	0.00302857	0.0092719	0.0115509	0.0384008	0.0663696	0.157187	0.169623	0.152023	0.389149
</S>	0.000136789	0.000499576	0.000247906	0.000836431	0.00144566	0.00257477	0.0039118	0.0336773	0.0470023	0.127991	0.0979322	0.0498905	0.633854
