 	elle	brasse	la	pâte	</S>
w	0.984745	0.00176104	0.0126338	0.000762698	9.72146e-05
a	0.91998	0.00882112	0.0705541	0.000493445	0.000151641
l	0.614697	0.306629	0.0665119	0.00336563	0.00879596
á	0.355593	0.0598336	0.251411	0.00395983	0.329203
a	0.65489	0.0304818	0.237057	0.00155586	0.0760159
t	0.217666	0.753679	0.0096399	0.00364155	0.0153734
s	0.0108664	0.982806	0.00153063	0.00102759	0.0037693
ώ	0.00973689	0.982537	0.00122976	0.0060396	0.000457113
m	0.0357863	0.886026	0.0428738	0.0113917	0.023922
b	0.0141363	0.810341	0.077488	0.00415062	0.0938838
ώ	0.0525779	0.523509	0.233637	0.000805865	0.18947
s	0.039849	0.304378	0.613779	0.0324507	0.00954341
ώ	0.0467713	0.256338	0.499948	0.031881	0.165062
p	0.0229065	0.127593	0.44716	0.284237	0.118103
ω	0.00231677	0.00839243	0.00853103	0.957895	0.0228645
t	0.00120807	0.0314009	0.00798593	0.955765	0.00364057
ω	0.00780553	0.0972054	0.0272469	0.798854	0.0688878
p	0.00374587	0.0120843	0.0702971	0.699638	0.214235
ώ	0.00636497	0.00700513	0.012568	0.90917	0.0648921
t	0.000564901	0.0057473	0.0376145	0.864626	0.0914476
ω	0.00153582	0.0238276	0.0220103	0.914366	0.0382602
</S>	0.00234719	0.00737726	0.0967162	0.641378	0.252181
