 	la	profondeur	du	puits	m'	a	fait	peur	</S>
o	0.936429	0.0195354	0.030716	0.00878966	0.00203058	0.000517313	0.00155532	0.000345475	8.09714e-05
l	0.0235833	0.965068	0.00655854	0.00083585	0.000541302	0.000767396	0.00140425	0.000267666	0.000974262
a	0.0460193	0.905829	0.0138325	0.00164582	0.00236368	0.00261311	0.00681152	0.000331387	0.020554
á	0.0171178	0.921631	0.0163423	0.00408154	0.00136963	0.00519577	0.0128206	0.000550835	0.0208907
m	0.349632	0.0127928	0.437372	0.0535176	0.10476	0.0124526	0.00812396	0.00507273	0.0162757
í	0.200276	0.00633283	0.518817	0.118982	0.0243471	0.0620984	0.0140392	0.00982136	0.0452855
b	0.0917224	0.033472	0.199985	0.518649	0.0626666	0.0200885	0.0101327	0.0167295	0.0465538
é	0.00928655	0.0119907	0.0586733	0.776617	0.0145577	0.0713878	0.0356897	0.0142098	0.00758724
á	0.00427813	0.00565713	0.0632207	0.858779	0.0141185	0.0140728	0.0100965	0.00516768	0.0246095
l	0.00469655	0.000356086	0.135914	0.252976	0.466131	0.0838579	0.0391384	0.00363163	0.0132976
á	0.00263246	0.00173008	0.0633571	0.052484	0.365631	0.171709	0.043427	0.00415217	0.294877
m	0.0172365	0.00344613	0.122627	0.0687252	0.454375	0.122152	0.1136	0.0391789	0.0586592
á	0.00764349	0.0060204	0.081219	0.194615	0.0460336	0.305998	0.208873	0.046392	0.103205
a	0.00794528	0.00290385	0.0755729	0.0813736	0.148201	0.224944	0.237683	0.0559232	0.165454
ó	0.001637	0.00128339	0.0159127	0.013419	0.134975	0.34708	0.393758	0.00520989	0.0867249
p	0.00568744	0.00293464	0.0769276	0.0134918	0.0607769	0.227418	0.517504	0.0158768	0.0793827
έ	0.000976215	0.00131343	0.0116108	0.00691872	0.00749974	0.172888	0.675604	0.00615341	0.117035
n	0.0113598	0.0022744	0.0618596	0.0121434	0.0735521	0.12179	0.395363	0.0589861	0.262672
g	0.0198562	0.00013885	0.0282064	0.0119031	0.54043	0.0780026	0.111013	0.165946	0.0445043
á	0.0565952	0.000166985	0.0345089	0.014147	0.376783	0.0584532	0.0609369	0.333049	0.06536
b	0.00106316	5.49856e-05	0.00582241	0.002449	0.0248413	0.0243817	0.0846675	0.685492	0.171228
ώ	0.00486301	0.00439123	0.0108344	0.0398841	0.0404237	0.033107	0.0688659	0.748824	0.0488063
m	0.00048718	0.000128041	0.000890503	0.00251612	0.00900462	0.00451686	0.0102378	0.917257	0.0549617
ώ	0.00108802	7.39577e-05	0.00224974	0.00256095	0.00220215	0.00628316	0.0207322	0.90518	0.0596298
</S>	0.00383967	0.000201375	0.0122892	0.00246012	0.0196175	0.0253292	0.127974	0.173574	0.634714
