 	hier	j'	ai	mangé	une	cuisse	de	poulet	</S>
l	0.900803	0.0799056	0.0065723	0.0028508	0.00634984	0.000584195	0.00230405	0.000283081	0.000347493
a	0.859663	0.0708264	0.0227419	0.00409946	0.0158367	0.0010738	0.00463367	0.0160457	0.00507934
p	0.839164	0.0768481	0.03296	0.0364682	0.00606992	0.000156534	0.00213985	0.00265833	0.00353453
ó	0.915868	0.00478858	0.00118678	0.00203742	0.0166188	0.0090143	0.00114439	0.0159616	0.0333805
a	0.928284	0.0127407	0.00672392	0.00276377	0.00880843	0.00375699	0.00225523	0.0042884	0.0303784
n	0.0716605	0.524313	0.335463	0.00797516	0.0268763	0.0033816	0.0122809	0.000343296	0.0177065
g	0.0159225	0.931617	0.0378654	0.00259987	0.00356193	0.000832585	0.00177465	2.98005e-05	0.00579655
á	0.00399938	0.969262	0.0180404	0.00633833	0.00160846	0.000197652	0.000216413	6.4606e-05	0.000273173
í	0.071657	0.123923	0.442941	0.0293715	0.149915	0.0297185	0.0594866	0.0122072	0.0807798
d	0.0132345	0.0395544	0.13204	0.543402	0.193761	0.0494633	0.0129785	0.00875106	0.00681615
z	0.000833325	0.00354271	0.0324166	0.898973	0.0372877	0.00606294	0.00499859	0.000827396	0.0150581
é	0.000966044	0.00418961	0.0241426	0.96735	0.00284815	6.43207e-05	0.000128685	2.73733e-05	0.000283118
e	0.00303598	0.0230387	0.124419	0.525082	0.175793	0.0477779	0.0313858	0.00879507	0.0606732
e	0.00284092	0.00971433	0.0118276	0.0236933	0.0787683	0.80027	0.0272102	0.0267116	0.0189641
b	0.00115834	0.00151611	0.00623956	0.018707	0.0605159	0.811064	0.0383261	0.0416076	0.0208657
ε	0.000484787	0.000340342	0.00114228	0.00120941	0.00906774	0.973199	0.00580542	0.00530911	0.00344233
l	0.00129972	0.000560501	0.0010733	0.000626848	0.0252001	0.904637	0.0206924	0.00920183	0.0367083
ε	0.0147286	0.0116986	0.0124493	0.00175582	0.112247	0.455619	0.205529	0.0498212	0.136152
y	0.00033545	0.00160037	0.0193422	0.000410381	0.112827	0.19523	0.500468	0.0454308	0.124356
á	0.00729231	0.00915112	0.0449168	0.0110015	0.215531	0.132187	0.230311	0.204715	0.144894
t	0.00485524	0.0153169	0.0300156	0.00575778	0.0213861	0.0100759	0.180579	0.678118	0.0538954
s	0.0133535	0.00283345	0.00132016	0.000730226	0.00888658	0.0196824	0.0379457	0.889392	0.0258561
ó	0.000180146	0.000116214	8.69035e-05	2.03308e-05	0.00290902	0.0197659	0.0160272	0.949337	0.0115572
s	0.000300015	9.58053e-06	4.86463e-05	3.50038e-05	0.00147818	0.0271194	0.00698407	0.936354	0.027671
ó	0.000140614	8.98671e-06	1.7031e-05	7.4397e-05	0.00221341	0.0217338	0.0190375	0.857969	0.0988054
</S>	0.00298197	0.000625005	0.00188864	0.000279851	0.0267617	0.0578727	0.153125	0.200249	0.556217
