 	sa	femme	et	lui	ont	la	même	pointure	</S>
w	0.931872	0.0475737	0.00750291	0.00483822	0.00314184	0.00244697	0.00219502	0.000355009	7.44029e-05
a	0.581779	0.321002	0.0236857	0.018906	0.0163561	0.00711125	0.0227851	0.00793651	0.00043796
b	0.768419	0.134014	0.0294546	0.0321413	0.0147034	0.0123311	0.00375213	0.00328879	0.00189631
á	0.193603	0.101061	0.343349	0.0898756	0.104547	0.0350401	0.018801	0.0864479	0.027275
a	0.184831	0.0266262	0.153467	0.0487474	0.0479717	0.0257024	0.0268887	0.0658525	0.419913
l	0.0181879	0.0334326	0.578142	0.0864488	0.0808024	0.0355897	0.02804	0.00831327	0.131044
a	0.0448989	0.0029125	0.324355	0.0872643	0.106194	0.100443	0.0432263	0.0331696	0.257536
m	0.405879	0.0179398	0.288077	0.144469	0.0461319	0.0341431	0.0218391	0.0134506	0.0280703
w	0.369315	0.341709	0.164892	0.0728831	0.0360169	0.00772899	0.000388955	0.00155685	0.00550879
á	0.0365926	0.643891	0.14231	0.0935109	0.053534	0.0184827	0.000579468	0.00609611	0.00500323
s	0.721916	0.00402425	0.119096	0.102566	0.0236582	0.00973631	0.00302624	0.00220805	0.0137689
í	0.192725	0.00257746	0.152791	0.165398	0.0430032	0.0656973	0.0204508	0.0294297	0.327927
b	0.0675437	0.00105327	0.302801	0.388185	0.139403	0.0430203	0.0400377	0.00572071	0.0122351
á	0.0816068	0.00344459	0.145425	0.220421	0.347754	0.0780965	0.0553801	0.0520502	0.0158217
a	0.0345003	5.84648e-05	0.181679	0.243115	0.315786	0.0930497	0.0734332	0.0263996	0.0319782
l	0.00240379	0.000549185	0.0675122	0.125197	0.39188	0.309011	0.0519527	0.0154503	0.0360435
á	0.000693822	0.000141417	0.0364378	0.0562157	0.141682	0.41127	0.0425053	0.0524562	0.258598
r	0.00198164	0.000199778	0.0160387	0.0903759	0.104434	0.375188	0.14199	0.058083	0.211709
á	0.0236144	6.69984e-05	0.0255704	0.116464	0.11698	0.39246	0.156071	0.107583	0.0611898
i	0.0177538	0.000167129	0.0149157	0.0865353	0.0836362	0.208299	0.364861	0.178395	0.045437
t	0.00243381	0.000454659	0.0061762	0.0144296	0.0434208	0.27275	0.150488	0.344692	0.165155
á	0.00183021	0.000207289	0.00672528	0.0203159	0.0333681	0.21183	0.0911884	0.501859	0.132676
m	0.0050658	6.96217e-05	0.00773348	0.037284	0.0366878	0.125261	0.129718	0.310754	0.347426
b	0.00651553	0.000265941	0.0128455	0.0310202	0.0391917	0.177829	0.0951058	0.47156	0.165666
í	0.00797084	0.000365602	0.0164387	0.0517069	0.0479537	0.264712	0.0747183	0.274288	0.261846
o	0.021036	5.67816e-05	0.0124138	0.0282469	0.0252161	0.0998613	0.207607	0.121465	0.484097
p	0.0011817	0.00070007	0.0295245	0.0197576	0.0266308	0.170998	0.127831	0.40793	0.215446
ω	0.000122783	0.0012966	0.017071	0.00644757	0.00852484	0.142601	0.0653845	0.219896	0.538655
ώ	0.00718793	0.000268259	0.00676085	0.0107621	0.0103925	0.117083	0.115449	0.29658	0.435516
</S>	0.0193708	5.32405e-05	0.0212487	0.0406903	0.0240549	0.0829587	0.300413	0.132353	0.378858
