 	sa	folie	s'	est	aggravée	</S>
o	0.976763	0.0169444	0.00475675	0.000958876	0.000371464	0.000205205
b	0.0773757	0.906877	0.00611053	0.00264097	0.00610046	0.000894919
h	0.00358119	0.992947	0.000720488	0.000525175	0.00179578	0.00043052
ó	0.00589841	0.97983	0.00512825	0.00236068	0.00339738	0.0033852
a	0.447599	0.348126	0.0534716	0.0236913	0.0758289	0.051284
á	0.787752	0.104251	0.0758187	0.00538035	0.000778435	0.0260195
w	0.678025	0.0769538	0.174754	0.0362173	0.0024654	0.031584
a	0.296469	0.386632	0.14371	0.0786661	0.026473	0.0680501
ó	0.199249	0.356086	0.257116	0.0536139	0.00852179	0.125413
m	0.124223	0.0579704	0.582155	0.179357	0.0108359	0.0454584
i	0.0560636	0.00274982	0.184758	0.656637	0.00283337	0.0969583
s	0.0586781	0.0526374	0.330872	0.442242	0.0354391	0.0801313
á	0.0352294	0.00921127	0.177269	0.518464	0.0173318	0.242494
á	0.0249317	0.00286886	0.215376	0.363306	0.113925	0.279592
o	0.043037	0.00567913	0.34908	0.406014	0.117424	0.0787659
k	0.00288823	0.0190859	0.0482865	0.202538	0.709615	0.0175867
a	8.05763e-05	0.0120341	0.00388961	0.0151192	0.954227	0.0146494
s	0.000188714	0.00538599	0.0196813	0.0397177	0.863201	0.071825
a	0.00401132	0.0561631	0.130448	0.142373	0.386583	0.280421
s	0.00413808	0.00176265	0.0814737	0.145489	0.311627	0.45551
a	0.01405	0.0185294	0.0496319	0.0910059	0.262385	0.564398
</S>	0.00917879	0.00108528	0.0440135	0.0538437	0.223239	0.66864
